Povopiirta Ögretvote	Boosting Immunity	Vahvistetaan vastustuskykyä
Li ylnulva sid oo, syt regva uute la roujo, kojo ej siobtraa daöva vosta ylstlosi, oblikaa oo  hast ögretvote ög fluret.	Positiivisena puolena on, että säännöllinen liikunta urheilijalla, joka ei tavoittele tiettyjä kuntohuippuja, näyttää olevan paras vastustuskyky flunssalle.	 On the positive side, a regular exercising athlete who does not strive for specific fitness peaks seems to have the best resistance to the flu.
Na dinsi a tansi ne kamva, piri pori teoova vopirob, jaof bodev oo oupyspir tu rettartsi.	Tunteina ja päivinä kovan, paljon energiaa käyttävän harjoituksen jälkeen kehosi on alttiimpi infektioille.	 In the hours and days after a hard, high-energy exercise, your body is more susceptible to infections.
Na pova poaapte, toote of nervögpo hormosi sipiir, ko voo ejvali yys tu ögretva ögyv ri of curova vithemoso a ögmosi a tu sitevao.	Voimakkaassa rasituksessa stressihormonien tuotanto lisääntyy, mikä voi vaikuttaa kielteisesti immuunipuolustukseen tärkeiden valkosolujen ja vasta-aineiden määrään ja aktiivisuuteen.	 Under intense exertion, the production of stress hormones increases, which can negatively affect the amount and activity of white blood cells and antibodies that are important for immune defense.
Fluret sina hääk li deo of greva tö taj votra auturreekte.	Flunssa iskee usein vakavan työn tai kokeen repeämisen seurauksena.	 Flu often strikes as a result of severe work or exam rupture.
Na nervögpova eo vista gnopiir a faa ja oo autporiipen, ögretvote oo li oupva kauv tu rettartsi.	Kun stressaava elämäntilanne helpottaa ja antaa sinun olla väsynyt, vastustuskyky on kuin avoin ikkuna infektioille.	 When a stressful life situation eases and allows you to be tired, resistance is like opening a window to infections.
It oo errili curova for ögretvote tevaarm rethapiirte vy nuuk, eet a eem forterli.	Vastustuskyvyn kannalta on erityisen tärkeää varmistaa toipuminen nukkumalla, lepäämällä ja syömällä terveellisesti.	 It is especially important for resistance to ensure recovery by sleeping and resting properly and eating healthily.
If uute teeta na kalva jänno, fluret risk piir vy luvetuo.	Jos liikuntaa tehdään kylmänä vuodenaikana, influenssariski kasvaa harppauksella.	 If exercise is done during the cold season, the risk of flu will increase by leap.
Na enkalno a kalno, virsi rautuu ristli a ne siri traate itsi oo oupyyspir.	Syksyllä ja talvella virukset kiertävät eniten ja paljon yrittämisen jälkeen ne ovat altistavampia. 	 During the fall and winter, viruses are most circulating and after much effort they are more susceptible.
Kalva inautli ej yys fluret, mut vir, syfor kalva yys virsi sipiirte hapirli.	Kylmä sinänsä ei aiheuta flunssaa, mutta virus, sillä kylmä aiheuttaa virusten lisääntymistä paremmin.	 Cold in itself does not cause the flu, but the virus, for cold causes the viruses to multiply better.
Kamva uute a ylrili ipri pori oo haasva vipa for ögretvote.	Kova liikunta ja liian vähän energiaa ovat haastava yhdistelmä vastustuskyvylle.	 Hard exercise and too little energy is a challenging combination for resistance.
Eem ja duik disgram in tan grinemsi, hedsi a bersi, erva vilem- a milktosi, mit, fis a havaova fätmosi.	Syö puoli kiloa päivässä vihanneksia, hedelmiä ja marjoja, erilaisia vilja- ja maitotuotteita, lihaa, kalaa ja laadukkaita rasvoja.	 Eat half a kilogram a day of vegetables, fruits and berries, a variety of cereals and dairy products, meat, fish and good quality fats.
Hast paysriivosi in emvaoto oo grinemsi, hedsi a bersi, kosi inoof ögejsähik-aapjösi for seef bodev ut ögroyssi of raulo.	Ruokavalion parhaita tehostajia ovat vihannekset, hedelmät ja marjat, jotka sisältävät antioksidantteja suojaamaan kehoa ympäristön haittavaikutuksilta.	 The best boosters in the diet are vegetables, fruits and berries, which contain antioxidants to protect the body from the adverse effects of the environment.
Tu ögejsähik-aapjösi tuoof edkali C- a E- eogömo, moSe a karotenoidmosi taj edlylrisi of  A-eogömo.	Antioksidantteihin kuuluvat esimerkiksi C- ja E-vitamiini, seleeni ja karotenoidit tai A-vitamiinin esiasteet.	 Antioxidants include, for example, vitamin C and E, selenium and carotenoids, or precursors to vitamin A.
Ko käsipir riemsi of grinemsi ja emaap, it pir eogömosi a ögejsähik-aapjösi ja aaf.	Mitä värikkäämpiä annoksia vihanneksista nautit, sitä enemmän vitamiineja ja antioksidantteja saat.	 The more colorful a portion of vegetables you enjoy, the more vitamins and antioxidants you will get.
Hava pave a tua terklin seef ög rettartsi.	Hyvä käsi- ja muu hygienia suojaavat infektioilta.	 Good hand and other hygiene help protect against infection.
If ja oof ret, ja piitif traa uttuaertuu a köhkööhte piitif tee tu isnoteoova leivat.	Jos sinulla on sairaus, sinun on yritettävä eristäytyä ja yskiminen tulee tehdä kertakäyttöiselle liinalle.	 In case of illness, you should try to isolate yourself and coughing should be done in a disposable cloth.
Pave vosh vi soup oo hast, ögfosikpemo klinvaamte voo kireek pavesi seefva fosikpesi.	Paras käsinpesu on saippualla, desinfiointiainehuuhtelu voi tuhota käsiä suojaavat mikrobit.	 Hand washing with soap is best, a disinfectant hand rinse can destroy the microbes that protect the hands.
Milkhapmo bakt tosi, göbiotsi, vyy mahev autlisoop tu ejresiva emvaoto a hapiir ögretvote ali tu mahevof nisidva virsi.	Maitohappobakteerivalmisteet, probiootit, auttavat vatsaa sopeutumaan epänormaaliin ruokavalioon ja parantavat vastustuskykyä myös vatsan ulkopuolisille viruksille.	 Lactic acid bacterial preparations, probiotics, help the stomach to adapt to an abnormal diet and improve resistance also to non-stomach viruses.
Po of ipipmosi edkali ög fluret 	Hivenaineiden voima esimerkiksi influenssaa vastaan	The power of micronutrients e.g. against influenza
Tu toksmova ögvirmo termosi oo tajifosi. 	Toksisille viruslääkkeille on vaihtoehtoja.	There are alternatives to toxic antiviral drugs.
Si roemmosi popiir a faa nopri for ögretlijär a yyv virsi sipiirte a leituute.	Monet ravintoaineet vahvistavat ja antavat vauhtia immuunijärjestelmälle ja estävät virusten lisääntymisen ja leviämisen.	 Many nutrients strengthen and boost the immune system and prevent viruses from multiplying and spreading.
Curova roemmosi for hastvostava soluttupaaen ögretvote (leukosolsi, pieemsolsi / ishemosolsi,T-solsi a tymev) oo eogömosi C, A, D, E, B6, B12, lifhapmo, moFe, moTsn, moCu a moI. A ögmosi oo eogömosi A, D, B1, B2, B3, B6, B5, biotinmo, lifhapmo, moTsn a moCu.	Tärkeät ravintoaineet optimaalisen soluvälitteisen immuniteetin (leukosyytit, makrofagit / monosyytit,T-solut ja kateenkorva) suhteen ovat C-, A-, D-, E-, B6-, B12-vitamiinit, foolihappo, rauta, sinkki, kupari ja jodi. Ja vasta-aineet ovat vitamiineja A, D, B1, B2, B3, B6, B5, biotiini, foolihappo, sinkki ja kupari.	Essential nutrients for optimum cell mediated immunity (leukocytes, macrophages / monocytes, T cells and thymus) are vitamins C, A, D, E, B6, B12, folic acid, iron, zinc, copper and iodine, and antibodies are vitamins A, D, B1, B2, B3, B6, B5, Biotin, Folic Acid, Zinc and Copper.
Oo däli dariilen, syt eogömo C, amihapmosi (lysinmo, prolinmo, arginmo) N-asetylkysteinmo a EGCG (urmoto ut grinva teavem) voo yyv virsi sipiirte a leituute in vivesi.	On tieteellisesti todistettu, että C-vitamiini, aminohapot (lysiini, proliini, arginiini), N-asetyylikysteiini ja EGCG (uute vihreästä teestä) voivat estää virusten lisääntymisen ja leviämisen kudoksissa.	It has been scientifically proven that vitamin C, amino acids (lysine, proline, arginine), N-acetylcysteine and EGCG (extract from green tea) can inhibit the reproduction and spread of viruses in tissues.
Fluret vir voota pötee in si feisnosi of moermuo: 	Influenssavirusta voidaan hallita ravinteiden aineenvaihdunnan useissa vaiheissa:	 Influenza virus can be controlled in several stages of the nutrient metabolism:
Reili vy yys tu virsi moermuo a itli vy teliim itsiof sipiirtevote a sol rettartsi a ejreili vy cuyyv solvälcuva virsi louute intu vivevsi. 	Suoraan vaikuttamalla virusten aineenvaihduntaan ja siten rajoittamalla niiden lisääntymiskykyä ja soluinfektioita ja epäsuorasti häiritsemällä solujen välistä virusten siirtymistä kudoksiin.	 Directly by influencing viral metabolism and thereby limiting their reproductive capacity and cellular infection and indirectly interfering with cell-to-cell transmission of viruses in tissues.
Biova mosi oof ögvirva ofvaosi, itliva li fosikroemmosi a itsiof altys, ejli toksva yssi tu ylmä solsi. 	Luonnollisilla aineilla on antiviraalisia ominaisuuksia, kuten mikroravinteet ja niiden vuorovaikutus, ilman toksisia vaikutuksia isäntäsoluihin.	Natural substances have antiviral properties, such as micronutrients and their interactions, without toxic effects on the host cells.
Reyssi välla räjsimosi of fosikroemmosi dakaata in voögyyvte of röhpe (H1N1) virtart. 	Synergioita mikroravinteiden seosten välillä tutkitaan sika (H1N1) -virustartunnan torjunnassa.	 Synergies between mixtures of micronutrients are being studied in the control of swine (H1N1) virus infection.
Itin rokaata ys of eogömo C, grinva teavem, daösi amihapmosi, moSe a tua roemmosi ög “mäm fluret A” (H1N1) vir viculi tu vir for taartvao niidva virysoknopmo nervaminid-ysoknopmo edniidta a vir ydin protmo (NP), ritukaavo of vir sipiirte.	Siinä arvioidaan C-vitamiinin, vihreän teen, tiettyjen aminohappojen, seleenin ja muiden ravintoaineiden vaikutus ''ihmisen influenssa A '' (H1N1) -virukseen suhteessa tarttuvuuteen tarvittavaan virusentsyymi-neuraminidaasiin ja viruksen ydinproteiiniin (NP), viruksen lisääntymisen indikaattoriin.	 It assesses the effect of vitamin C, green tea, certain amino acids, selenium and other nutrients on the ‘human influenza A’ (H1N1) virus in relation to the viral enzyme neuraminidase required for infectivity and the viral nucleus protein (NP), an indicator of viral proliferation.
Tu biodäva okrite tu vir postuo yys urevmoote of virupavivevsi emiikva ysoknopmosi (metprot ysoknopmosi) a aftuo of virsi  intu sol, kosi tukaa leituute of virsi. 	Biologiseen vasteeseen virushyökkäykseen vaikuttaa sidekudoksia sulattavien entsyymien (metalloproteinaasien) eritys ja virusten pääsy solun sisään, mitkä osoittavat virusten leviämistä.	The biological response to a viral attack is influenced by the secretion of connective tissue-digesting enzymes (metalloproteinases) and the intracellular entry of viruses, which indicate the spread of the viruses.
Fiemsi a terepsi vi ögfosikpeva yssi	Mausteet ja yrtit, joilla on antimikrobisia vaikutuksia	Spices and herbs with antimicrobial effects
Fiemsi a terepsi oota teooen dissi jänsi no tu pirpaa emfi a rofiem tu eonidtosi a tu palienoote of eonidtosi. 	Mausteita ja yrttejä on käytetty tuhansien vuosien ajan maun ja aromin lisäämiseen elintarvikkeisiin ja elintarvikkeiden säilyttämiseen.	Spices and herbs have been used for thousands of years to add flavor and aroma to foods and to the preservation of foods.
In däva davapsi oo klirsakiiren ögfosikpeva ofvaosi a yysva mosi kosiof fiemsi a terepsi. 	Tieteellisissä tutkimuksissa on dokumentoitu joidenkin mausteiden ja yrttien antimikrobisia ominaisuuksia ja vaikuttavia aineita.	Scientific studies have documented the antimicrobial properties and active ingredients of some spices and herbs.
Ögfosikpeva ys of fiemsi a terepsi 	Mausteiden ja yrttien antimikrobinen vaikutus	Antimicrobial effect of spices and herbs
Fiem / terep  Yyvva ys 	Mauste / yrtti  Estävä vaikutus	SPICE / HERB INHIBITING EFFECT
Kanelfiem, vitonjep rapvesi, sinapfiem:  Pomova 	Kaneli, valkosipulikynnet, sinappi:  Vahva	Cinnamon, garlic nails, mustard:  Strong
Fiem piprfiem, laureplif, kuminep,  koriandep, oreganep, rosemarep, salvep,   timjep: Midylva 	Maustepippuri, laakerinlehti, kumina, korianteri, oregano, rosmariini, salvia, timjami:  Keskikorkea	Spice pepper, bay leaf, cumin, coriander,  oregano, rosemary, sage, thyme:  Medium-High
Tivpiprfiem, piprfiem, inkfiem:  Opva	Mustapippuri, maustepippuri, inkivääri: Heikko	Black pepper, allspice, ginger:  Weak
Dakasi povopiir, syt a gram-ylnulva ali gram-alnulva baktsi, jistsi, moldsi voota yyv vy vitonjep, onjepsi, kanelfiem, timjep, salvep a tua fiemsi.	Tutkimukset vahvistavat, että sekä gram-positiivisia että gram-negatiivisia bakteereja, hiivoja, homeita voidaan estää valkosipulilla, sipulilla, kanelilla, timjamilla, salvialla ja muilla mausteilla.	Studies confirm that both Gram- positive and Gram- negative food-borne bacteria, yeasts, molds can be prevented with garlic, onions, cinnamon, thyme, sage and other spices.
Ys of täsi fiemsi a terepsi voota vokaa intuasi in kusmokurkepsi, bekem, risvilep a mit tosi.	Näiden mausteiden ja yrttien vaikutus voidaan nähdä muun muassa suolakurkuissa, leivässä, riisissä ja lihatuotteissa.	The effect of these spices and herbs can be seen among others in pickles, bread, rice and meat products.
Talsi of fätmo, protmo, vam a kusmo in eonidtosi yys fosikpe ögretvote.	Elintarvikkeiden rasva-, proteiini-, vesi- ja suolatasot vaikuttavat mikrobiresistenssiin.	The levels of fat, protein, water and salt in foods affect microbial resistance.
Itsy, in eonidtosi piit oo pir fiemsi il in fosikpe eöpiirte allosi for yyv fosikpesi eöpiirte.	Siksi, elintarvikkeissa on oltava enemmän mausteita kuin mikrobien kasvualustoissa mikrobien kasvun estämiseksi.	Thus, there must be more spices in food than in microbial growth media to prevent microbial growth.
Fosikpe autahnilkmoote of fiemsi 	Mausteiden mikrobikontaminaatio	 Microbial contamination of spices
Nösemsi of Clostridium perfringens a Bacillus cereus oota keesen in fiemsi a terepsi. 	Clostridium perfringensin ja Bacillus cereuksen itiöitä on löydetty mausteista ja yrteistä.	 Spores of Clostridium perfringens and Bacillus cereus have been found in spices and herbs.
Rip in fiemsi vi ylva ögfosikpeva sitevao, itliva li salvep, vitonjep a oreganep. 	Vähemmän mausteissa, joilla on korkea antimikrobinen aktiivisuus, kuten salvia, valkosipuli ja oregano.	 Less in spices with high antimicrobial activity such as sage, garlic and oregano.
Toojo / pääkjo piit amut kliin a ejfosikpee ki fiemsi vy etylenmoOis, tekatiikte taj tua hafaaen culitesi.	Valmistajan / pakkaajan on kuitenkin puhdistettava ja steriloitava kaikki mausteet etyleenioksidilla, säteilyttämällä tai muilla hyväksytyillä menetelmillä.	 However, all spices must be purified and sterilized by the producer / packer by ethylene oxide, irradiation or other approved methods.
Homliva oilmosi urmotooen ur fiemsi a terepsi daata tihnali inoof ögfosikpeva vimosi.	Mausteista ja yrtteistä uutettujen eteeristen öljyjen tiedetään yleisesti sisältävän antimikrobisia yhdisteitä.	 Essential oils extracted from spices and herbs are generally recognized to contain antimicrobial compounds.
Ögfosikpeva vimosi for fiemsi a terepsi 	Antimikrobiset yhdisteet mausteille ja yrtteille	 Antimicrobial compounds for spices and herbs
Fiem / terep  Midro, % homliva oilmosi.  Ögfosikpeva vimo	Mauste / yrtti  Keskiarvo,% eteerisiä öljyjä  Antimikrobinen yhdiste	SPICE / HERB MEAN % OF ESSENTIAL OILS AN ANTIMICROBIAL COMPOUND
Vitonjep  0.3- 0.5  Allisinmo 	Valkosipuli  0,3 - 0,5  Allisiini	Garlic  0.3 – 0.5  Allicin
Sinapfiem  0.5- 1.0  Allylmo isotiosyanatmo 	Sinappi  0,5 - 1,0  Allyyli-isotiosyanaatti	Mustard  0.5 – 1.0  Allyl isothiocyanate
Kanelfiem  0.5 –2.0  Kanelfiem aldehydmo, Eugenolmo 	Kaneli  0,5 - 2,0  Kanelialdehydi, Eugenoli	Cinnamon  0.5 – 2.0  Cinnamon aldehyde, Eugenol
Neilfiem  16-18  Eugenolmo 	Neilikka  16-18  Eugenoli	Clove  16 – 18  Eugenol 
Salvep  0.7- 2.0  Tymolmo, Eugenolmo 	Salvia  0,7 - 2,0  Tymoli, Eugenoli	Sage  0.7 – 2.0  Thymol , Eugenol
Oreganep  0.8 – 0.9  Tymolmo, Karyakrolmo 	Oregano  0,8 - 0,9  Tymoli, Karyakroli	Oregano  0.8 – 0.9  Thymol , Karyakroli
Ögvirva terepsi	Antiviraaliset yrtit	Antiviral herbs
Vitonjep ej voo paeöön Koronvir COVID-19.	Valkosipuli ei voi tappaa koronavirusta COVID-19.	 Coronavirus COVID-19 can not be killed by garlic.
It oo hava, syt ki tua rettartsi a retsi, kosi voota hakee, oo hakee-en vostli hali, syt  novva autmuuen fosikpesi voota ögvoo hapirli.	On hyvä, että kaikki muut hoidettavissa olevat infektiot ja sairaudet on hoidettu mahdollisimman hyvin, jotta uusia modifioituneita mikrobeja voidaan kestää paremmin.	 It is good that all other infections and diseases that can be treated have been treated as well as possible to better withstand the new modified microbes.
Mämsi oofnen si retsi oo oupyspir tu rettart a jea rettarteön.	Ihmiset, joilla on useita sairauksia, ovat alttiimpia infektioille ja jopa infektiokuolemaan.	 People with multiple illnesses are more prone to infection and even death from infections.
Notaalen dasi öb koronvir COVID-19, kaa ja WHO a tua uscuva sorssi.	Päivitetyt tiedot koronaviruksesta COVID-19, katso WHO ja muista luotettavista lähteistä.	 Updated information about Coronavirus COVID-19, see WHO and other reliable sources.
Virsi meej autmuu a itsi oo bassi erva devstatosi a itsi voo cuoo erlioli in er mämsi.	Virukset voivat muuntua ja niitä on kymmeniä erilaisia versioita ja ne voivat käyttäytyä eri tavoin eri ihmisillä.	 Viruses may transform, and there are dozens of different versions of them and they can behave differently in different people.
If vir oo aftuuen intu sol, läkva vam vomhom ej paeöön it, if läkva vomhom ej paeöön kio sol.	Jos virus on päässyt soluun, kuuma vesihöyry ei tapa sitä, jos kuuma höyry ei tapa koko solua.	 If a virus has entered a cell, hot water vapor will not kill it, if hot steam will not kill whole the cell.
Mut oote na lakva pirpaa jaof bodev ögretvote, na ja retmuu.	Mutta lämpimänä oleminen lisää kehosi vastustuskykyä, kun sairastut.	 But being in warm increases your body’s resistance, when you are becoming ill.
Ösi fosikpesi voo in kalva a jea in läkva nista tuu tu sta, koin itsi autvokliir a na ocustasi muu stahava, itsi autsitee.	Jotkut mikrobit voivat kylmällä ja jopa kuumalla säällä mennä tilaan, jossa ne selviävät ja kun olosuhteet tulevat suotuisiksi, ne aktivoituvat.	 Some microbes have the ability, in cold and even in hot weather, to go to a state where they survive and when conditions become favorable, they are activated.
Ösi fosikpebessi sloota ali li tekaalmen, na anen tuasi eöpiir pirtuuli.	Jotkut mikrobikannat varastoidaan myös jäädytettynä, kun taas toiset kasvavat jatkuvasti.	 Some microbial strains are also stored frozen, while others are constantly growing.
Aj kiiren tä 9.3.2020 (ninva treva dudis dubas). Aj aafen norovirliva retmarksi, emyöökte, ahlivoote.	Kirjoitin tämän 9.3.2020. Sain noroviruksen kaltaisia oireita, oksentelua ja pahoinvointia.	 I wrote this 9.3.2020. I got norovirus-like symptoms, vomiting and nausea.
Aj itne hakee-en it vi ejeemte, sitrhedsi, teavem, piri et, ipri kusmo vam, fislivevoilmo, koin oo eogömo A (curova for mjumotinlao), E a D, ravva onjepsi, ravva ingfiem.	Sitten hoidin sitä paastolla, sitrushedelmillä, teellä, paljon lepoa, vähän suolavettä, kalanmaksaöljyä, jossa on A-vitamiinia (tärkeä limakalvolle), E ja D, raakaa sipulia, raakaa inkivääriä.	 I then treated it with fasting, citrus fruits, tea, plenty of rest, a little salt water, cod liver oil, which provides vitamin A (important for the mucous membrane), E and D, raw onions, raw ginger.
In resiva vosta retmarksi auturkatuu in 1-2 tansi.	Normaalissa tilassa oireet häviävät 1-2 päivän kuluessa.	 In normal condition, the symptoms go away within 1-2 days.
Itne vetuo in klinva, fresva hom in biolo a forterva em.	Sen jälkeen kävely puhtaassa, raikkaassa ilmassa luonnossa ja terveellistä ruokaa.	 After that, walking in the clean, fresh air in nature and healthy food.
Tä hääpen tu aj satli, mut aj ej daa ooenko norovir in em, tä COVID-19 taj ö tua fosikpe. Nen aj oo terva.	Tämä tapahtui minulle sattumalta, mutta en tiedä oliko ruoassa norovirus, tämä covid-19 tai jokin muu mikrobi. Olen nyt terve.	 This happened to me by chance, but I don’t know if it was norovirus, this covid-19 or some other microbe, that was in the food. I am now healthy.
Vaksmosi, termosi a hakesi deevta for COVID-19 ret.	Covid-19-taudille kehitetään rokotteita, lääkkeitä ja hoitoja.	 Vaccines, drugs, and treatments are being developed for Covid-19 disease.
Votrasi oota ripnen tee-en a pir uutne in raf neno, mut itsi vigaate voafna tu hökasio noaap hynsi. Nen 20.3.2021 (dubasva trehynva dudis dubasis), oo ripnen vaksmootesi luna tuunen.	Kokeita on jo tehty ja lähitulevaisuudessa on tulossa lisää, mutta niiden saattaminen yleisön saataville kestää kuukausia. Nyt 20.3.2021 ovat jo rokotukset olleet pitkään käynnissä.	There have already been experiments and more are coming in the near future, but it will take months to make them available to the public. Now on March 20, 2021, vaccinations have been going on for a long time.
In si hylsi dakaata a deevta erva tajifosi, jea hyjli a pirobli hyjsivälva vitö.	Monissa maissa tutkitaan ja kehitetään erilaisia vaihtoehtoja, jopa kansallisesti ja kansainvälisen yhteistyön lisäksi.	 In many countries, various options are being researched and developed, even nationally, and in addition to international cooperation.
Vaksmosi lopaaen le nes mjumotinlao dakaata.	Nenän limakalvolle asetettuja rokotteita tutkitaan.	 Vaccines applied to the nasal mucosa are being studied.
Ooneko li pikmopa faatava (faavova, faapitva) vaksmosi pirobli moupva vaksmosi.	Tuleeko olemaan injektiona annettavien rokotteiden lisäksi oraalisia rokotteita.	 Will there be oral vaccines in addition to those given by injection.
Aut virsi ej oo turva teoo öbvodali ipristili li ipva risi mu obaaf ögretvote.	Itse viruksia ei ole turvallista käyttää tietoisesti edes pieninä määrinä immuniteetin saavuttamiseksi.	 The viruses themselves are not safe to use consciously, even in small amounts, to achieve immunity.
Vaksmosi teoo oppiiren virsi taj iksi of virsi. Novva vaksmo tekdäsi autdeev.	Rokotteet käyttävät heikennettyjä viruksia tai virusten osia. Uusia rokoteteknologioita kehittyy.	 Vaccines use attenuated viruses or parts of viruses. New vaccine technologies are evolving.
Ripnen rethapiiren isjosiof virsi tooen ögmosi dakaata li hakekau for virsi syyen retsi.	Jo toipuneiden yksilöiden virusten tuottamia vasta-aineita tutkitaan virusten aiheuttamien sairauksien hoitomuotona.	 Antibodies produced by viruses from individuals who have already recovered are being studied as therapies for diseases caused by viruses.
Dasi fulpiirta a istaarkta noluli.	Tiedot täydennetään ja tarkistetaan ajan myötä.	The information is completed and verified over time.
Tua vokaiplosi 	Muut näkökohdat	 Other considerations
Terdäva, roeemte, daka, a itli de (aid.) dasi oo ongva saa ifoejva darilvao. Ö teejö / teejösi pirpaa taj riip rilvokavao of ö, a utrosi obhääng ob risoejva teejösi, kosi ej kina oo vooen aap intu obvoka.  	Lääketieteellisiä, ravitsemus-, tutkimus- jne. tietojen on vaikea sanoa ehdotonta totuutta. Jokin tekijä / tekijät lisäävät tai vähentävät usein jonkin todennäköisyyttä, ja tulokset riippuvat lukemattomista tekijöistä, joita ei ole aina voitu ottaa huomioon.	Medical, nutritional, research, etc. data are hard to tell the absolute truth. Some factor / factors often add or diminish the probability of something and the results depend on a myriad of factors that may not always have been taken into account.
Jea jänbassi daka niidta mu deef luva noväl yssi. 	Jopa vuosikymmenien tutkimusta tarvitaan pitkän aikavälin vaikutusten määrittämiseksi.	 Even decades of research are needed to determine the long-term effects.
In si obhäpsi, ajsi ej voo saa, öbsyyko yssi ob is teejö, syfor yssi oo sumri of viofyssi of si teejösi.	Monissa tapauksissa emme voi sanoa, johtuvatko vaikutukset yhdestä tekijästä, koska vaikutukset ovat monien tekijöiden yhteisvaikutusten summa.	In many cases, we cannot say that effects are due to a single factor, because effects are the sum of the combined effects of many factors.
Ki diterjosi a dakaajosi ei oo fulli ismiva, a häsi rilli a ej voo, syfot it obhääng ut obhäpsi a vistasi, kosi ej kavodaata ifoejli fulli.	Kaikki lääkärit ja tutkijat eivät ole täysin yksimielisiä, eivätkä ne todellakaan voi, koska se riippuu tapauksista ja tilanteista, joita ei tunneta ehdottoman täydellisesti.	 Not all doctors and scientists are fully unanimous, and they really cannot, because it depends on cases and situations that are not known absolutely fully.
Na ja eem em, koö inoof siri resiva laos sukmo, it riip ögretvote. 	Kun syöt ruokaa, joka sisältää paljon normaalia pöytäsokeria, se vähentää vastustuskykyä.	 When eating foods containing much normal table sugar, it reduce resistence.
In hedsi a bersi oo ali nidva sukmosi, kosi meej otee li sol vokadaate simoiksi. 	Hedelmissä ja marjoissa on myös välttämättömiä sokereita, jotka voivat toimia solujen tunnistusmolekyyleinä.	There are also essential sugars in fruits and berries, which may work as cell recognition molecules.
Havaova a hanidriva nukka oo errili curova for ögretvote. 	Hyvänlaatuinen ja riittävä uni on erittäin tärkeä vastustuskyvylle.	 Good quality and adequate sleep is very important for resistance.
Na nukka autkautee curova iktosi of ögretlijär.	Unen aikana muodostuu tärkeitä immuunijärjestelmän komponentteja.	 During sleep, important components of the immune system are formed.
