"Vosa";"VosaParts";"Finnish";"English";"SL"
"aag kaedle";"aag ka-ed-le";"tuoda esille";"bring out";"V"
"aagen";"aag-en";"haettu";"fetched";"V"
"aagen";"aag-en";"toi";"brought";"V"
"aagen";"aag-en";"toi";"conveyed";"V"
"aagen";"aag-en";"toi";"fetched";"V"
"aagen";"aag-en";"toi";"took";"V"
"aagen";"aag-en";"toivat";"brought";"V"
"aagen";"aag-en";"toivat";"fetched";"V"
"aagen";"aag-en";"toivat";"took";"V"
"aagen";"aag-en";"tuotu";"brought";"V"
"aagen";"aag-en";"tuotu";"carried";"V"
"aagen";"aag-en";"tuotu";"imported";"V"
"aagen";"aag-en";"tuotu";"taken";"V"
"aagjo";"aag-jo";"tuoja";"bringer";"S"
"aagli";"aag-li";"tuoden";"bringing";"D"
"aagte";"aag-te";"tuominen";"bringing";"S"
"aagva";"aag-va";"tuova";"bringing";"A"
"aalt";"aalt";"vuorotella";"alternate";"V"
"aalt";"aalt";"vuorotella";"take turns";"V"
"aaltte";"aalt-te";"vuorottelu";"alternation";"S"
"aaltte";"aalt-te";"vuorottelu";"rotation";"S"
"aaltva";"aalt-va";"vuorotteleva";"alternating";"A"
"aap";"aap";"ottaa";"get hold of";"V"
"aap";"aap";"ottaa";"take";"V"
"aap";"aap";"ottaa";"take on";"V"
"aap";"aap";"ottaa";"take up";"V"
"aap for tee";"aap for tee";"ottaa tehdäkseen";"take to do";"V"
"aap for teo";"aap for te-o";"ottaa käyttöön";"enable";"V"
"aap for teo";"aap for te-o";"ottaa käyttöön";"start using";"V"
"aap greli";"aap gre-li";"ottaa vakavasti";"take someone seriously";"D"
"aap intu obvoka";"aap in-tu ob-vo-ka";"ottaa huomioon";"take into account";"V"
"aap ja";"aap ja";"ota";"take";"S"
"aap ja, oo ja hava";"aap ja oo ja ha-va";"ota, ole hyvä";"please take";"A"
"aap ki yr";"aap ki yr";"ottaa kaikki irti";"make the most of";"V"
"aap mu edka";"aap mu ed-ka";"ottaa esimerkiksi";"take for example";"V"
"aap mu ob";"aap mu ob";"ottaa kohteeksi";"take as a target";"V"
"aap mu ve";"aap mu ve";"ottaa jäseneksi";"affiliate";"V"
"aap no";"aap no";"ottaa aikaa";"take time";"V"
"aap obtarkgreli";"aap ob-tark-gre-li";"ottaa vaarin";"heed";"D"
"aap risk";"aap risk";"ottaa riski";"take a risk";"V"
"aap ru";"aap ru";"ottaa kiinni";"catch up";"V"
"aap ru";"aap ru";"ottaa kiinni";"seize";"V"
"aap ru";"aap ru";"ottaa kiinni";"snatch";"V"
"aap tuoväl";"aap tuo-väl";"ottaa askel";"take a step";"V"
"aap yr";"aap yr";"ottaa pois";"take away";"V"
"aap yr";"aap yr";"ottaa pois";"take off";"V"
"aap yr el";"aap yr el";"ottaa pois päältä";"take off";"V"
"aapen";"aap-en";"otettu";"taken";"v"
"aapen";"aap-en";"ottanut";"taken";"V"
"aapen";"aap-en";"otti";"took";"V"
"aapen rotut";"aap-en ro-tut";"otti kyydin";"took a ride";"V"
"aapenta";"aap-en-ta";"otettiin";"was taken";"V"
"aapjo";"aap-jo";"ottaja";"taker";"S"
"aapli";"aap-li";"ottaen";"taking";"D"
"aapli tu obtark";"aap-li tu ob-tark";"ottaen huomioon";"considering";"P"
"aapta";"aap-ta";"otetaan";"let's take";"V"
"aapta";"aap-ta";"otetaan";"will be taken";"V"
"aapte";"aap-te";"ottaminen";"uptake";"S"
"aapva";"aap-va";"ottava";"taking";"A"
"aar";"aar";"vihata";"detest";"V"
"aar";"aar";"vihata";"hate";"V"
"aarjo";"aar-jo";"vihaaja";"hater";"S"
"aark";"aark";"arastaa";"shy";"V"
"Abyssinlo";"Abyssin-lo";"Abessinia";"Abyssinia";"S"
"acethapmo";"acet-hap-mo";"etikkahappo";"acetic acid";"S"
"acetmo";"acet-mo";"etikka";"acetic";"S"
"acetmo";"acet-mo";"etikka";"vinegar";"S"
"ADC";"ADC";"ATK";"ADP";"S"
"ADC";"ADC";"ATK";"computing";"S"
"adenovir";"adeno-vir";"adenovirus";"adenovirus";"S"
"adrenalinmo";"adrenalin-mo";"adrenaliini";"adrenaline";"S"
"Adria fovamlo";"Adria fo-vam-lo";"Adrianmeri";"Adriatic Sea";"S"
"af";"af";"saanti";"access";"S"
"af";"af";"saanti";"intake";"S"
"afbauu";"af-bauu";"pokata";"make a bow";"V"
"afganjo";"afgan-jo";"afgaani";"Afghan";"S"
"Afganlo";"afgan-lo";"Afganistan";"Afghanistan";"S"
"afmä";"af-mä";"saamamies";"creditor";"S"
"afpoluu";"af-po-luu";"kurkottaa";"crane";"V"
"afpoluu";"af-po-luu";"kurkottaa";"stretch (out for)";"V"
"afpoluu";"af-po-luu";"kurottaa";"reach";"V"
"afpoluute";"af-po-luu-te";"kurkottaminen";"reaching out";"S"
"afpoluute";"af-po-luu-te";"kurkotus";"reaching out";"S"
"afrikans";"afrikans";"afrikaans";"Afrikaans";"S"
"Afrlo";"afr-lo";"Afrikka";"Africa";"S"
"afrovyo";"af-ro-vy-o";"meriitti";"merit";"S"
"afruu yvfulmu";"af-ruu yv-ful-mu";"kuroa umpeen";"catch up";"V"
"afrva";"afr-va";"afrikkalainen";"African";"A"
"aftuejva";"af-tu-ej-va";"luoksepääsemätön";"inaccessible";"A"
"aftuo";"af-tuo";"pääsy";"access";"S"
"aftuo";"af-tuo";"pääsy";"accessing";"S"
"aftuo";"af-tuo";"pääsy";"admittance";"S"
"aftuorovfa";"af-tuo-rov-fa";"pääsymaksu";"access charge";"S"
"aftuorovfa";"af-tuo-rov-fa";"pääsymaksu";"entrance fee";"S"
"aftuovotrasi";"af-tuo-vo-tra-si";"pääsykokeet";"entrance examinations";"S"
"Afturobatan";"af-tu-ro-ba-tan";"pääsiäismaanantai";"Easter Monday";"S"
"Afturojätan";"af-tu-ro-jä-tan";"pääsiäissunnuntai";"Easter Sunday";"S"
"Afturono";"af-tu-ro-no";"pääsiäinen";"Easter";"S"
"Afturono";"af-tu-ro-no";"pääsiäinen";"passover";"S"
"Afturono hatusaa";"af-tu-ro-no ha-tu-saa";"virpoa";"go trick-or-treating";"V"
"Afturono mägjo";"af-tu-ro-no mäg-jo";"trulli";"Easter witch";"S"
"aftuu";"af-tuu";"pääsevät";"can get";"V"
"aftuu";"af-tuu";"päästä";"access";"V"
"aftuu";"af-tuu";"päästä";"get to";"V"
"aftuu";"af-tuu";"päästä";"reach";"V"
"aftuu ismivao";"af-tuu is-mi-va-o";"päästä yksimielisyyteen";"reach a consensus";"S"
"aftuu mu friva";"af-tuu mu fri-va";"päästä vapaaksi";"break loose";"A"
"aftuu ylli";"af-tuu yl-li";"päästä yli";"get over";"D"
"aftuuen paveli";"af-tuu-en pa-ve-li";"käsiksi";"accessed";"D"
"aftuuen paveli";"af-tuu-en pa-ve-li";"päässyt käsiksi";"accessed";"D"
"aftuuen paveli";"af-tuu-en pa-ve-li";"päässyt käsiksi";"got hold of";"D"
"aföön";"af-öön";"ehtyä";"dry up";"V"
"aföönejva";"af-öön-ej-va";"ehtymätön";"inexhaustible";"A"
"aföönte";"af-öön-te";"ehtyminen";"depletion";"S"
"agatmo";"agat-mo";"agaatti";"agate";"S"
"agatmo";"agat-mo";"akaatti";"agate";"S"
"agemhäp";"agem-häp";"nyyttikestit";"bring-dish party";"S"
"agemhäp";"agem-häp";"nyyttikestit";"potluck";"S"
"aha";"aha";"ahaa";"aha";"I"
"aha fika";"ah-a fi-ka";"ahaa-elämys";"aha experience";"S"
"aha fika";"ah-a fi-ka";"ahaa-elämys";"sudden understanding";"S"
"ahaap";"ah-aap";"kahmia";"grope";"V"
"ahaap";"ah-aap";"kähmiä";"grope";"V"
"ahaap";"ah-aap";"varastaa";"pilfer";"V"
"ahaap";"ah-aap";"varastaa";"purloin";"V"
"ahaap";"ah-aap";"varastaa";"steal";"V"
"ahaapen";"ah-aap-en";"varastettu";"stolen";"V"
"ahaapen";"ah-aap-en";"varasti";"stole";"V"
"ahaapen";"ah-aap-en";"varastivat";"stole";"V"
"ahaapte";"ah-aap-te";"varastaminen";"stealing";"S"
"ahaapte";"ah-aap-te";"varastelu";"stealing";"S"
"ahafjo";"ah-af-jo";"saamari";"damn";"S"
"ahahculi";"ah-ah-cu-li";"törkeästi";"coarsely";"D"
"ahahculi";"ah-ah-cu-li";"törkeästi";"grossly";"D"
"ahahculi";"ah-ah-cu-li";"törkeästi";"outrageously";"D"
"ahahcuva";"ah-ah-cu-va";"törkeä";"blatant";"A"
"ahahcuva";"ah-ah-cu-va";"törkeä";"egregious";"A"
"ahahcuva";"ah-ah-cu-va";"törkeä";"flagrant";"A"
"ahahcuva";"ah-ah-cu-va";"törkeä";"gross";"A"
"ahahcuva";"ah-ah-cu-va";"törkeä";"outrageous";"A"
"ahahcuvao";"ah-ah-cu-va-o";"törkeys";"obscenity";"S"
"ahahjo";"ah-ah-jo";"hitto";"dammit";"S"
"ahahjo";"ah-ah-jo";"hitto";"damn";"S"
"ahahjo";"ah-ah-jo";"hitto";"deuce";"S"
"ahahjo";"ah-ah-jo";"hitto";"heck";"S"
"ahap";"ah-ap";"varkaus";"larceny";"S"
"ahap";"ah-ap";"varkaus";"stealing";"S"
"ahap";"ah-ap";"varkaus";"theft";"S"
"ahapjo";"ah-ap-jo";"roisto";"baddy";"S"
"ahapjo";"ah-ap-jo";"roisto";"crook";"S"
"ahapjo";"ah-ap-jo";"roisto";"cur";"S"
"ahapjo";"ah-ap-jo";"roisto";"goon";"S"
"ahapjo";"ah-ap-jo";"roisto";"hoodlum";"S"
"ahapjo";"ah-ap-jo";"roisto";"knave";"S"
"ahapjo";"ah-ap-jo";"roisto";"punk";"S"
"ahapjo";"ah-ap-jo";"roisto";"rascal";"S"
"ahapjo";"ah-ap-jo";"roisto";"rogue";"S"
"ahapjo";"ah-ap-jo";"roisto";"scoundrel";"S"
"ahapjo";"ah-ap-jo";"roisto";"thief";"S"
"ahapjo";"ah-ap-jo";"roisto";"thug";"S"
"ahapjo";"ah-ap-jo";"roisto";"villain";"S"
"ahapjo";"ah-ap-jo";"varas";"thief";"S"
"ahapjo";"ah-ap-jo";"voro";"thief";"S"
"ahapjova";"ah-ap-jo-va";"roistomainen";"blackguardly";"A"
"ahapjova";"ah-ap-jo-va";"roistomainen";"crooked";"A"
"ahapjova";"ah-ap-jo-va";"roistomainen";"villainous";"A"
"ahapli";"ah-ap-li";"varkain";"stealthily";"D"
"ahaprajo";"ah-ap-ra-jo";"kleptomaani";"kleptomaniac";"S"
"ahaptuu";"ah-ap-tuu";"kähveltää";"walk away with";"V"
"ahapvao";"ah-ap-va-o";"konnuus";"villainy";"S"
"aharcuva";"ah-ar-cu-va";"ankara";"stern";"A"
"aharcuva";"ah-ar-cu-va";"nurja";"adverse";"A"
"aharcuva";"ah-ar-cu-va";"nurja";"inauspicious";"A"
"aharcuva";"ah-ar-cu-va";"nurja";"noxious";"A"
"aharcuva";"ah-ar-cu-va";"nurja";"purl";"A"
"aharcuva";"ah-ar-cu-va";"nurja";"repugnant";"A"
"aharcuva";"ah-ar-cu-va";"nurja";"sulky";"A"
"aharcuva";"ah-ar-cu-va";"nurja";"unfriendly";"A"
"aharcuva";"ah-ar-cu-va";"nurja";"wrong";"A"
"aharäm";"ah-ar-äm";"ämmä";"battleaxe";"S"
"ahautkautee-en";"ah-aut-kau-tee-en";"epämuodostunut";"deformed";"V"
"ahautkauteo";"ah-aut-kau-te-o";"epämuodostuma";"deformity";"S"
"ahautkauteo";"ah-aut-kau-te-o";"epämuodostuma";"malformation";"S"
"ahbönmiijo";"ah-bön-mii-jo";"kiivailija";"zealot";"S"
"ahbönmili";"ah-bön-mi-li";"kiivaasti";"fiercely";"D"
"ahbönmili";"ah-bön-mi-li";"kiivaasti";"violently";"D"
"ahbönmiva";"ah-bön-mi-va";"kiivas";"choleric";"A"
"ahbönmiva";"ah-bön-mi-va";"kiivas";"intense";"A"
"ahbönmiva";"ah-bön-mi-va";"kiivas";"violent";"A"
"ahbönmivao";"ah-bön-mi-va-o";"kiivaus";"impetuosity";"S"
"ahbönmivao";"ah-bön-mi-va-o";"kiivaus";"vehemence";"S"
"ahcujo";"ah-cu-jo";"ilkimys";"mischief";"S"
"ahculi";"ah-cu-li";"ilkeästi";"evilly";"D"
"ahculi";"ah-cu-li";"ilkeästi";"maliciously";"D"
"ahculi";"ah-cu-li";"ilkeästi";"nastily";"D"
"ahculi";"ah-cu-li";"ilkeästi";"viciously";"D"
"ahculi";"ah-cu-li";"ilkeästi";"wickedly";"D"
"ahculi";"ah-cu-li";"pahanilkisesti";"maliciously";"D"
"ahculi";"ah-cu-li";"tuhmasti";"naughtily";"D"
"ahculioli";"ah-cu-li-o-li";"häijysti";"maliciously";"D"
"ahculiova";"ah-cu-li-o-va";"häijy";"vicious";"A"
"ahculiova";"ah-cu-li-o-va";"häijy";"wicked";"A"
"ahculiova";"ah-cu-li-o-va";"häijy";"villainous";"A"
"ahcumiva";"ah-cu-mi-va";"pahansisuinen";"bad-tempered";"A"
"ahcumiva";"ah-cu-mi-va";"pahansisuinen";"ill-natured";"A"
"ahcumiva";"ah-cu-mi-va";"pahantuulinen";"bad-tempered";"A"
"ahcumiva";"ah-cu-mi-va";"pahantuulinen";"ill-tempered";"A"
"ahcumiva";"ah-cu-mi-va";"pahantuulinen";"splenetic";"A"
"ahcumiva unäm";"ah-cu-mi-va un-äm";"pahansisuinen ämmä";"battleaxe";"S"
"ahcumuu";"ah-cu-muu";"pahastua";"resent";"V"
"ahcumuuen";"ah-cu-muu-en";"pahentunut";"aggravated";"V"
"ahcuoli";"ah-cuo-li";"töykeästi";"gruffly";"D"
"ahcuoli";"ah-cuo-li";"töykeästi";"rough";"D"
"ahcuoli";"ah-cuo-li";"töykeästi";"rudely";"D"
"ahcuova";"ah-cuo-va";"tyly";"brusque";"A"
"ahcuova";"ah-cuo-va";"tyly";"rude";"A"
"ahcuova";"ah-cuo-va";"töykeä";"impolite";"A"
"ahcuova";"ah-cuo-va";"töykeä";"rude";"A"
"ahcuova";"ah-cuo-va";"töykeä";"unkind";"A"
"ahcupö";"ah-cu-pö";"ilkivalta";"malicious mischief";"S"
"ahcupö";"ah-cu-pö";"ilkivalta";"mischief";"S"
"ahcupö";"ah-cu-pö";"ilkivalta";"vandalism";"S"
"ahcupö teejo";"ah-cu-pö tee-jo";"ilkivallan tekijä";"perpetrator of vandalism";"S"
"ahcupö teejo";"ah-cu-pö tee-jo";"ilkivallan tekijä";"vandal";"S"
"ahcupöide";"ah-cu-pö-ide";"huliganismi";"hooliganism";"S"
"ahcupöjo";"ah-cu-pö-jo";"huligaani";"hooligan";"S"
"ahcupöva";"ah-cu-pö-va";"ilkivaltainen";"mischievous";"A"
"ahcusaa";"ah-cu-saa";"nälviä";"carp";"V"
"ahcusaa";"ah-cu-saa";"nälviä";"nag";"V"
"ahcutra";"ah-cu-tra";"koettelemus";"affliction";"S"
"ahcutra";"ah-cu-tra";"koettelemus";"ordeal";"S"
"ahcuva";"ah-cu-va";"ilkeä";"catty";"A"
"ahcuva";"ah-cu-va";"ilkeä";"dour";"A"
"ahcuva";"ah-cu-va";"ilkeä";"icky";"A"
"ahcuva";"ah-cu-va";"ilkeä";"iniquitous";"A"
"ahcuva";"ah-cu-va";"ilkeä";"loutish";"A"
"ahcuva";"ah-cu-va";"ilkeä";"malefic";"A"
"ahcuva";"ah-cu-va";"ilkeä";"maleficent";"A"
"ahcuva";"ah-cu-va";"ilkeä";"malicious";"A"
"ahcuva";"ah-cu-va";"ilkeä";"mean";"A"
"ahcuva";"ah-cu-va";"ilkeä";"mischievous";"A"
"ahcuva";"ah-cu-va";"ilkeä";"nasty";"A"
"ahcuva";"ah-cu-va";"ilkeä";"nefarious";"A"
"ahcuva";"ah-cu-va";"ilkeä";"scurrilous";"A"
"ahcuva";"ah-cu-va";"ilkeä";"spiteful";"A"
"ahcuva";"ah-cu-va";"ilkeä";"vicious";"A"
"ahcuva";"ah-cu-va";"ilkeä";"wicked";"A"
"ahcuva";"ah-cu-va";"pahanilkinen";"elfish";"A"
"ahcuva";"ah-cu-va";"tuhma";"bad";"A"
"ahcuva";"ah-cu-va";"tuhma";"naughty";"A"
"ahcuvao";"ah-cu-va-o";"ilkeys";"malevolence";"S"
"ahcuvao";"ah-cu-va-o";"ilkeys";"malice";"S"
"ahcuvao";"ah-cu-va-o";"ilkeys";"maliciousness";"S"
"ahcuvao";"ah-cu-va-o";"ilkeys";"meanness";"S"
"ahcuvao";"ah-cu-va-o";"ilkeys";"spite";"S"
"ahcuvao";"ah-cu-va-o";"ilkeys";"vileness";"S"
"ahcuvao";"ah-cu-va-o";"pahanilkisyys";"malice";"S"
"ahcuvao";"ah-cu-va-o";"pahanilkisyys";"spite";"S"
"ahcuvao";"ah-cu-va-o";"tuhmuus";"naughtiness";"S"
"ahcuyvejli";"ah-cu-yv-ej-li";"häikäilemättä";"unflaggingly";"D"
"ahcuyvejli";"ah-cu-yv-ej-li";"häikäilemättömästi";"ruthlessly";"D"
"ahcuyvejva";"ah-cu-yv-ej-va";"häikäilemätön";"callous";"A"
"ahcuyvejva";"ah-cu-yv-ej-va";"häikäilemätön";"machiavellian";"A"
"ahcuyvejva";"ah-cu-yv-ej-va";"häikäilemätön";"ruthless";"A"
"ahcuyvejva";"ah-cu-yv-ej-va";"häikäilemätön";"unscrubulous";"A"
"ahcuyvejva";"ah-cu-yv-ej-va";"häikäilemätön";"unscrupulous";"A"
"ahcuyvejvao";"ah-cu-yv-ej-va-o";"häikäilemättömyys";"unscrupulousness";"S"
"ahcöyh";"ah-cöyh";"epäsointu";"discord";"S"
"ahcöyh";"ah-cöyh";"epäsointu";"dissonance";"S"
"ahcöyhva";"ah-cöyh-va";"epäsointuinen";"dissonant";"A"
"ahdahonva";"ah-da-hon-va";"huonomaineinen";"disreputable";"A"
"ahdahonva";"ah-da-hon-va";"huonomaineinen";"ill-famed";"A"
"ahdahonva";"ah-da-hon-va";"pahamaineinen";"infamous";"A"
"ahdahonva";"ah-da-hon-va";"pahamaineinen";"notorious";"A"
"ahdahonva";"ah-da-hon-va";"surullisenkuuluisa";"infamous";"A"
"ahdahonvao";"ah-da-hon-va-o";"pahamaineisuus";"notoriety";"S"
"ahdayste";"ah-da-ys-te";"propaganda";"propaganda";"S"
"ahdaystejo";"ah-da-ys-te-jo";"propagandisti";"propagandist";"S"
"ahdaysteva";"ah-da-ys-te-va";"propagandistinen";"propagandistic";"A"
"ahdeo";"ah-de-o";"vitsaus";"plague";"S"
"ahdeo";"ah-de-o";"vitsaus";"scourge";"S"
"ahdiir";"ah-diir";"narrata";"fool";"V"
"ahdiirjo";"ah-diir-jo";"narri";"fool";"S"
"ahdiirjo";"ah-diir-jo";"narri";"jester";"S"
"ahdiirjo";"ah-diir-jo";"narri";"zany";"S"
"ahdiirjova";"ah-diir-jo-va";"narrimainen";"zany";"A"
"ahdiirtan";"ah-diir-tan";"aprillipäivä";"April fools day";"S"
"ahdiplo";"ah-dip-lo";"horna";"abyss";"S"
"ahdiplo";"ah-dip-lo";"horna";"hell";"S"
"ahdirva";"ah-dir-va";"katala";"dark";"A"
"ahdirva";"ah-dir-va";"katala";"devious";"A"
"ahdirva";"ah-dir-va";"katala";"lowdown";"A"
"ahdirva";"ah-dir-va";"katala";"treacherous";"A"
"aheaap";"ah-e-aap";"murhata";"murder";"V"
"aheaapjo";"ah-e-aap-jo";"murhaaja";"murderer";"S"
"aheaapjo";"ah-e-aap-jo";"murhaaja";"murderess";"S"
"aheaapli";"ah-e-aap-li";"murhaavasti";"murderously";"D"
"aheaapmä";"ah-e-aap-mä";"murhamies";"cutthroat";"S"
"aheaapmä";"ah-e-aap-mä";"murhamies";"murderer";"S"
"aheaapte";"ah-e-aap-te";"murhaaminen";"murdering";"S"
"aheaapva";"ah-e-aap-va";"murhaava";"murderous";"A"
"aheap";"ah-e-ap";"murha";"homicide";"S"
"aheap";"ah-e-ap";"murha";"murder";"S"
"aheapböönte";"ah-e-ap-böön-te";"murhapoltto";"arson";"S"
"aheapofrava";"ah-e-ap-of-ra-va";"murhanhimoinen";"homicidal";"A"
"aheapofrava";"ah-e-ap-of-ra-va";"murhanhimoinen";"murderous";"A"
"aheaptraate";"ah-e-ap-traa-te";"attentaatti";"assassination attempt";"S"
"aheaptraate";"ah-e-ap-traa-te";"attentaatti";"attempted assassination";"S"
"aheaptraate";"ah-e-ap-traa-te";"murhayritys";"attempted murder";"S"
"ahelo";"ah-e-lo";"slummi";"slum";"S"
"ahendahäpli";"ah-en-da-häp-li";"pahaenteisesti";"menacingly";"D"
"ahendahäpli";"ah-en-da-häp-li";"pahaenteisesti";"ominously";"D"
"ahendahäpva";"ah-en-da-häp-va";"pahaenteinen";"ill-omened";"A"
"ahendahäpva";"ah-en-da-häp-va";"pahaenteinen";"inauspicious";"A"
"ahendahäpva";"ah-en-da-häp-va";"pahaenteinen";"ominous";"A"
"ahendahäpva";"ah-en-da-häp-va";"pahaenteinen";"threatening";"A"
"ahendao";"ah-en-dao";"paha aavistus";"misgiving";"S"
"ahep";"ah-ep";"rikkakasvi";"weed";"S"
"ahep";"ah-ep";"rikkaruoho";"weed";"S"
"ahepaap";"ah-ep-aap";"kitkeä";"cleanse";"V"
"ahepaap";"ah-ep-aap";"kitkeä";"eradicate";"V"
"ahepaap";"ah-ep-aap";"kitkeä";"pull up";"V"
"ahepaap";"ah-ep-aap";"kitkeä";"rinse";"V"
"ahepaap";"ah-ep-aap";"kitkeä";"root out";"V"
"ahepaap";"ah-ep-aap";"kitkeä";"scavenge";"V"
"ahepaap";"ah-ep-aap";"kitkeä";"scour";"V"
"ahepaap";"ah-ep-aap";"kitkeä";"scrub";"V"
"ahepaap";"ah-ep-aap";"kitkeä";"weed";"V"
"ahepaap";"ah-ep-aap";"kitkeä";"weed out";"V"
"ahfaf";"ah-faf";"korruptio";"corruption";"S"
"ahfafva";"ah-faf-va";"korruptoitunut";"corrupt";"A"
"ahfafva";"ah-faf-va";"korruptoitunut";"venal";"A"
"ahfi";"ah-fi";"kipu";"ache";"S"
"ahfi";"ah-fi";"kipu";"hurting";"S"
"ahfi";"ah-fi";"kipu";"pain";"S"
"ahfibön";"ah-fi-bön";"kiirastuli";"Purgatory";"S"
"ahfiejli";"ah-fi-ej-li";"kivuttomasti";"painlessly";"D"
"ahfiejva";"ah-fi-ej-va";"kivuton";"painless";"A"
"ahfii";"ah-fii";"koskea";"be sore";"V"
"ahfiite";"ah-fii-te";"kivuntunne";"feeling of pain";"S"
"ahfili";"ah-fi-li";"kipeästi";"sorely";"D"
"ahfistava";"ah-fi-sta-va";"ankea";"cheerless";"A"
"ahfistava";"ah-fi-sta-va";"ankea";"dismal";"A"
"ahfistava";"ah-fi-sta-va";"ankea";"dreary";"A"
"ahfistava";"ah-fi-sta-va";"ankea";"mirthless";"A"
"ahfistava";"ah-fi-sta-va";"ankea";"somber";"A"
"ahfisää";"ah-fi-sää";"rääkyä";"howl";"V"
"ahfisää";"ah-fi-sää";"rääkyä";"yell";"V"
"ahfitee";"ah-fi-tee";"satuttaa";"hurt";"V"
"ahfitee";"ah-fi-tee";"satuttaa";"injure";"V"
"ahfitermo";"ah-fi-ter-mo";"kipulääke";"analgesic";"S"
"ahfitermo";"ah-fi-ter-mo";"kipulääke";"painkiller";"S"
"ahfiup";"ah-fi-up";"nokkonen";"nettle";"S"
"ahfiup";"ah-fi-up";"viholainen";"nettle";"S"
"ahfiuplaevret";"ah-fi-up-la-ev-ret";"nokkosihottuma";"hives";"S"
"ahfiva";"ah-fi-va";"kipeä";"aching";"A"
"ahfiva";"ah-fi-va";"kipeä";"ill";"A"
"ahfiva";"ah-fi-va";"kipeä";"sick";"A"
"ahfiva";"ah-fi-va";"kipeä";"sore";"A"
"ahfiva";"ah-fi-va";"kivulias";"painful";"A"
"ahfivao";"ah-fi-va-o";"kipeys";"painfulness";"S"
"ahfivao";"ah-fi-va-o";"kipeys";"poignancy";"S"
"ahforhäkvo";"ah-for-häk-vo";"raippa";"whip";"S"
"ahforroov";"ah-for-roov";"sakottaa";"fine";"V"
"ahforroov";"ah-for-roov";"sakottaa";"give penalty";"V"
