VosaPart	Vosa	Finnish	English
hoom	evhoomte	hengitys	wind
eed	sieedva	edustava	formal
lif	lif	lehti	leaf
sää	sää	huutaa	cry
vii	vii	yhtyä	join
sol	sol	solu	cell
roup	roup	köysi	rope
pagat	pagat	posti	post
kaul	kaul	kaari	bow
jö	jö	ei persoonallinen tekijä	non-personal factor
jur	jur	juuri	root
iv	ivpaa	katkaista	disconnect
hah	hahfi	omatunto	conscience
hee	hee	hymyillä	smile
klei	kleimo	savi	mud
idea	idea	idea	idea
yyr	yyr	deletoida	delete
vaam	ylvaam	tulvia	overflow
up	up	ruoho	grass
tön	tön	käänne	turn
toov	toov	kuivata	dry
seer	seer	palvella	serve
käb	käbve	rinta	breast
grin	grinva	vihreä	green
gaag	gaag	kuljettaa	drive
fiv	fiv	viisi	five
C	moC	hiili	charcoal
biit	biit	purra	bite
be	ipbekem	keksi	cookie
pilk	pilk	pilkka	blaze
nerv	nerv	hermo	nerve
veem	veem	juoda	drink
syy	syy	aiheuttaa	do
rol	rol	rulla	roll
ööf	ööf	omistaa	own
nul	nul	nolla	zero
kot	mäkotsif	kukko	cock
hiee	hiee	hioa	sand
fuul	fuul	täyttää	fill
blu	blu	sini	blue
poo	lypoo	painottaa	accent
ma	ma	isä	father
nor	nor	pohjoinen	north
öög	öög	vastustaa	object
tov	tovva	kuiva	arid
seek	seek	hakea	search
pup	pup	pensas	bush
naa	ennaa	ennakoida	anticipate
keer	keer	korjata	repair
jul	julno	joulu	Christmas
huu	huu	lentää	fly
hau	haupe	koira	dog
aah	hatuaah	pettää	cheat
maark	maark	merkitä	subscribe
röh	röhpe	sika	pig
öh	öhva	hiljainen	quiet
piit	piit	pitää	must
se	seri	sarja	series
seem	viseem	naida	fuck
smok	smok	savu	smoke
vaat	vaat	vaatettaa	clothe
stik	stik	keppi	stick
voom	kuohomvoom	porista	bubble
ook	ook	vastata	reply
volt	mivolttuo	seikkailu	adventure
eg	eg	muna	egg
lood	lood	lastata	load
bar	bar	tanko	bar
fouu	fouu	taittaa	fold
gu	gutan	perjantai	Friday
viv	vivtosi	kuteet	weft
hät	hät	hattu	hat
jä	le järi	jäljelle	left
knot	knot	solmu	node
lep	leppoli	lievästi	slightly
au	moAuva	kultainen	golden
nes	nes	nenä	nose
rav	ravva	raaka	raw
vosh	tsetvosh	suihku	shower
veh	vehva	kevyt	light
tyl	tyl	tyyli	style
tut	tut	luona	by
seef	seef	suojella	protect
poul	poul	pylväs	column
il	il	kuin	than
gen	gen	geeni	gene
fin	fin	suomen kieli	finnish
brau	brauva	ruskea	brown
pum	pum	puu	wood
rum	rumva	kiinteä	integral
krist	Krist	Kristus	Christ
ät	ät	tuo	that
yp	yppyy	hypätä	jump
voosh	voosh	pestä	wash
vild	vildva	villi	savage
tär	tär	vapina	shaking
typ	typ	tyyppi	type
slo	slo	varasto	store
reg	regli	säännöllisesti	regularly
deev	deev	kehittää	develop
kus	kusmo	suola	salt
jel	jelva	keltainen	amber
hiek	hiek	hiekka	beach
ges	ges	arvaus	guess
dev	dev	kehitys	development
meh	mehvem	mehu	juice
rits	ritsva	rikas	rich
leu	leuve	leuka	chin
söö	söö	muistaa	remember
raap	raap	raapia	scratch
ouk	linoukva	käyrä	crooked
mam	mam	vanhempi	parent
kart	kart	kortti	card
iim	iim	imeä	suck
cöyh	cöyh	sointu	chord
metr	metr	metri	meter
ouup	ouup	avata	open
päk	päk	paketti	package
vuu	vuu	uida	swim
vet	vet	länsi	west
veiiv	ipveiiv	väreillä	ripple
tom	tom	pöly	dust
sä	sä	huuto	cry
suu	suu	epäillä	doubt
stoop	stoop	pysäyttää	stop
feis	feisno	vaihe	stage
bei	beijo	vauva	baby
hyp	hypsao	kirous	swearing
keii	keii	kaatua	fall
ker	ker	korjaus	repair
mas	mas	massa	mass
sik	sik	kuusi	six
noov	noov	uusia	renew
alt	sasa-altno	puheenvuoro	floor
luu	tuluute	viittaus	reference
nut	nut	pähkinä	nut
tart	tart	tartunta	infection
piilk	piilk	pilkata	mock
raak	raak	pelätä	fear
riisk	riisk	riskeerata	risk
saaf	saaf	kärsiä	suffer
sors	sors	lähde	source
suup	suup	tukea	support
pal	rovpal	tili	account
nuat	nuat-	maaseudun	rural
suk	sukmo	sokeri	sugar
fou	fou	taite	fold
piik	piik	pistää	stick
fiis	fiis	kalastaa	fish
tev	tev	itä	east
för	förpu	kuusi	fir
hiir	hiir	kauhistuttaa	terrify
koun	koun	kartio	cone
kuol	kuol	kuoppa	pit
mae	mae	mato	worm
map	momaplo	kaivos	mine
niv	niv	häviö	loss
lod	lod	lasti	cargo
viiv	viiv	kutoa	weave
vain	vainvem	viini	wine
teens	teens	jännittää	tense
siit	siit	istua	sit
rilk	rilkva	samea	fuzzy
plee	plee	pelata	play
mah	mahev-	vatsan	abdominal
luuf	luuf	tyhjentää	empty
vel	vel	oikea	right
fääf	fääf	käydä kauppaa	trade
feö	usfeösava	legendaarinen	legendary
lit	litva	ahdas	tight
frai	fraives	pannu	pot
gab	kalmgabos	jääkaappi	fridge
huuk	huuk	koukistaa	bend
hy	hytan	lauantai	Saturday
im	imiptorv	pilli	straw
kaar	kaar	uskaltaa	venture
kuu	kuu	keittää	cook
bun	fätsukbunem	munkki	doughnut
om	omdalio	teoria	theory
ron	ron	etelä	south
oos	toloosen	kalustettu	furnished
or	ormolva	karu	rugged
riil	dariil	todistaa	demonstrate
su	su	epäilys	doubt
taart	taart	tarttua	stick
tens	urtensva	tiukka	strict
vaar	vaar	kypsyttää	ripen
viil	viil	viljellä	grow
vir	vir	virus	virus
ääf	ääf	ostaa	buy
näp	näp	näppylä	pimple
brauu	brauu	ruskistaa	brown
amuu	amuu	ammua	low
eeh	eeh	itkeä	cry
gnoo	gnoo	ratkaista	solve
joos	joos	joustaa	yield
kei	tukeili	kumoon	overturned
kni	knive	polvi	knee
kniit	kniit	neuloa	knit
luk	luk	lukko	lock
hel	helhö	helinä	clash
tob	tobepto	tupakka	cigarette
päät	päät	päättää	decide
rap	rap	naarmu	scratch
reii	reii	oikaista	correct
rot	rotva	mätä	rotten
saak	saak	onnistua	succeed
stir	stirvao	köyhyys	poverty
tsel	tsel	hyytelö	jelly
tis	tisdirtu	pystyyn	up
paiil	paiil	kasata	stack
mlaak	mlaak	sulaa	melt
taal	taal	tasata	level
botl	botl	pullo	bottle
plaast	viplaastjo	muurari	mason
aht	aht	kahdeksan	eight
bää	bääpesi	lampaat	sheep
eih	eihli	karkeasti	roughly
fib	fib	säie	fiber
haar	väephaar	ympätä	engraft
kaalm	kaalm	jäätyä	freeze
kalk	kalkmo	kalkki	lime
käp	käpep	kaali	cabbage
käv	lukäv	ura	groove
liim	liim	rajata	limit
kaad	kaad	vartioida	guard
tiis	tiis	seistä	stand
puoo	puoo	sulkea	close
py	yppy	hyppy	jump
pääk	pääk	pakata	pack
pöö	ofpöö	hallita	command
sev	sev	seitsemän	seven
sloo	sloo	varastoida	store
smel	smel	tuoksu	perfume
von	vonva	vanha	former
tif	tif	tilaus	order
uul	uul	lyhentää	shorten
pee	ögfosikpeete	desinfiointi	sanitizing
eev	seneev	aistia	sense
teil	teil	häntä	tail
huur	huur	hurmata	charm
fung	fung	sieni	mushroom
pail	pail	kasa	pile
eur	eurva	eurooppalainen	continental
dool	dool	purkaa	unload
gländ	edgländev-	eturauhasen	prostatic
iip	oiip	supistaa	contract
joo	vijoo	seurustella	socialize
kaam	hökaam	kolahtaa	thump
kad	kad	vartio	watch
kauv	kauv	ikkuna	window
kliik	kliik	napsauttaa	click
olk	olkveön	olkapää	shoulder
kaat	kaat	valaista	light
root	root	mädätä	putrefy
sah	sahvo	saha	saw
äf	lonäfjo	vuokralainen	tenant
sek	sisek	hakemisto	directory
pyyh	pyyh	pyhittää	sanctify
smeel	smeel	tuoksua	smell good
Sn	moSn	tina	tin
sum	sumri	summa	amount
tiik	tiik	tikittää	tick
tset	tset	suihku	jet
viol	violhöv	viulu	fiddle
lev	lev	vasen	left
vaarm	tevaarm	varmistaa	ensure
fraii	fraii	paistaa	toast
kum	kum	kumi	rubber
lel	lyllel	asento	posture
bakt	bakt	bakteeri	bacteria
deef	deef	määrittää	determine
gees	gees	arvata	guess
haa	mihaa	miellyttää	please
hoj	hoj	henki	soul
klik	klik	klikkaus	click
kup	kup	kippo	cup
kuun	kuun	valvoa	stay up
kää	kää	värittää	color
köh	köhhöva	käheä	hoarse
biör	biörpe	karhu	bear
voolt	voolt	jännittää	be excited
tat	tat	kosketus	contact
p	pcuri	pii	pi
proog	proog	ohjelmoida	program
roos	roos	iloita	enjoy
soor	soor	surra	sorrow
tseet	tseet	sumuttaa	spray
tuur	tuur	turvata	secure
vaap	vaap	pyyhkiä	wipe
vaks	vaksmo	rokote	vaccine
mon	moN	typpi	nitrogen
visl	sivislhöv	urut	organ
pät	pät	päätös	decision
viin	viin	voittaa	win
din	din	tunnin	hour
sir	sir	siru	chip
mat	mat	matto	rug
dao	ensatdao	aavistus	intuition
fys	fysva	fyysinen	physical
hääng	hääng	roikkua	hang
hääp	hääp	tapahtuu	is happening
hääv	hääv	hävittää	waste
lins	lins	linssi	lens
jut	jutva	juutalainen	Jewish
kil	kilhö	kilinä	clink
kof	kofvem	kahvi	coffee
lat	latto	laatta	slab
höör	höör	kuunnella	listen
bel	bel	kello	bell
maak	ikmaak	murentaa	erode
öös	öös	unohtaa	forget
pom	pom	pommi	bomb
pol	pol	napa	pole
pio	pio	suure	quantity
piis	tepiis	rauhoittaa	appease
pap	papjo	paavi	pope
oh	uohva	rauhallinen	calm
neerv	autneerven	hermostunut	nervous
rool	rool	rullata	wind
tum	tumri	tuuma	inch
ooh	teuooh	rauhoittaa	calm
kaas	tekaas	vahingoittaa	damage
rus	rus	venäjän kieli	russian
ryyp	ryyp	rypistää	wrinkle
sii	vytuasasii	lausua toisin sanoin	reword
siil	siil	silittää	stroke
snet	snetva	löysä	lax
sviö	sviösaa	vannoa	swear
toks	toksmo	myrkky	venom
tuul	mapvamtuul	kanavoida	channel
viik	soviiken	erehtynyt	erred
myt	mytso	myytti	myth
tem	ennatem	illallinen	banquet
aar	aar	vihata	hate
moj	moj	moi	hi
kees	kees	löytää	find
amer	amerva	amerikkalainen	American
B	moB	boori	boron
belt	belt	vyö	belt
dram	dram	rumpu	drum
eep	tobeepte	tupakointi	smoking
eks	milkgländev eks-katik katoote	mammografia	mammography
faar	urfaar	loitota	withdraw
germ	germ	saksan kieli	German
laak	telaak	lämmittää	warm
kaal	kaal	palella	be cold
kan	mekanva	mekaaninen	mechanical
kid	kid	kide	crystal
kood	kood	koodata	encode
krat	kratva	epämääräinen	vague
kun	kun	valvetila	wakefulness
käns	käns	syöpä	cancer
kö	kösipjo	kenraali	general
liin	liin	viivata	line
gre	greva	vakava	serious
rai	raivilep	ruis	rye
pyy	yppyy	hypätä	jump
puor	puorva	kurja	poor
pipr	piprhed	paprika	paprika
pid	pidva	matala	shallow
pain	unpainpu	honka	redwood
reet	reet	sairastaa	suffer
nauuh	runauuhen	teipattu	taped
var	varva	kypsä	ripe
nin	nin	yhdeksän	nine
rok	vamrokret	vesirokko	chickenpox
ruv	ruv	ruuvi	screw
ryytm	ryytmte	rytmitys	rhythmicity
stop	önstoplo	päätepysäkki	terminus
b	bab (biologia)	laji	species
taip	hataipva	norja	supple
viis	teviis	järkeistää	rationalize
volf	volfpe	susi	wolf
lok	loksif	lokki	seagull
lip	lip	huuli	lip
taap	siobtaap	tökkiä	prod
fan	fanva	hassu	funny
alp	alpviolkuk	syklaami	cyclamen
mju	homevmju	räkä	snot
lems	lems	haju	smell
bauu	bauu	kumartaa	bow
bees	bees	perustua	be based on
blus	blusvat	pusero	blouse
eet	eet	levätä	rest
faf	dafafvo	media	media
fiilt	fiilt	suodattaa	filter
gram	gram	gramma	gram
haam	haam	kaasuttaa	gas
kroos	kroos	ristiä	cross
leii	kölleiite	globalisaatio	globalization
eng	eng	englanti	english
hiid	hiid	kätkeä	hide
kräb	kräb	rapu	crab
kööh	köhkööh	yskiä	cough
kod	kod	koodi	code
kaum	kaum	kallio	rock
kak	kakem	kakku	cake
jyr	jyrva	jyrkkä	radical
kääv	nölukäävjo	uranuurtaja	pioneer
siip	siip	sotia	wage war
siiv	sinohsiivte	hölmöily	tomfoolery
miu	miu	miau	meow
rees	rees	varata	book
ree	ree	samastaa	equate
por	porpe	peura	deer
pian	pianhöv	piano	piano
pauuk	pauuk	paukkua	clack
mut	mut	mutta	but
sil	sisilpaa	silotella	plaster over
öt	ysifoöt	lakko	strike
nooh	nooh	hävetä	shame
skal	skal	simpukka	clam
skot	skotva	skotti	scotch
sok	sok	sukka	sock
tea	teavem	tee	tea
tiif	tiif	tilata	order
Tsn	moCuTsn	vaski	brass
tuum	vamiktuumva	vesiliukoinen	water-soluble
uo	uo	liike	motion
vah	vahvatmo	vahakangas	oilcloth
ääs	ääs	kuiskata	prompt
löö	vuvölööte	telakointi	docking
foor	nofoor	joutaa	be fit
ylp	ylpva	ylpeä	proud
eko	ekodäva	ekologinen	ecological
frees	frees	raikastaa	freshen
luuk	luuk	lukita	lock
alg	alg	levä	alga
bat	bat	kylpy	bath
books	tebooks	laatikoida	box
duu	duu	kahdentaa	double
ak	akva	ruma	ugly
enk	enkjo	enkeli	angel
F	mooFva	fluoresoiva	fluorescent
frans	frans	ranskan kieli	french
frem	frem	runko	frame
fres	fresva	raikas	fresh
kris	kris	kriisi	crisis
leems	leems	haista	smell
kär	kärpeg	kärpänen	fly
dak	daksif	sorsa	duck
hauk	hauksif	haukka	hawk
kämp	kämp	leiri	camp
käd	kädto	mainos	advertisement
kin	kin	kiinan kieli	Chinese
kap	kap	keräys	collection
juus	höjuus	virittää	set
hur	hur	hurmio	frenzy
her	herep	herne	pea
hej	hej	hei	hi
pin	pin	puola	spoke
pyl	pylve	takapuoli	seat
rät	rätpe	rotta	rat
reeg	pöreegte	sääntely	regulation
smook	ussmook	suitsuttaa	incense
raee	päraee	kesiä	flake
raab	raab	hieroa	massage
ris	risvilep	riisi	rice
prot	protmo	proteiini	protein
poom	poom	pommittaa	bomb
pod	pod	palko	pod
pits	pitsem	pizza	pizza
sto	stoves	säiliö	vessel
pauk	pauk	paukku	shot
pah	viryspahprotmo	interferoni	interferon
plyy	teplyyte	nöyryytys	humiliation
vap	vapvo	pyyhin	wiper
oip	oip	supistelma	abstract
diip	dadiipen	perehtynyt	familiar
är	är	nuoli	shaft
yt	ögytva	sitkeä	tough
vou	vou	vokaali	vowel
voot	autretvoot	märkiä	fester
vhip	vhipvoote	selkäsauna	thrashing
ööh	ööh	vaieta	stop talking
svid	svid	ruotsin kieli	Swedish
vaa	vovaa	mahdollistaa	allow
v	v-nöipipik	neutriino	neutrino
täf	täfva	laiha	lean
tuk	tukva	tylsä	blunt
toom	toom	tomuttaa	dust
tah	tahli	tahallaan	deliberately
syt	syt	että	that
vev	vevda	anatomia	anatomy
ek	ekpu	tammi	oak
hör	ishörhöö	hörähtää	guffaw
hirv	hirvpe	hirvi	deer
haas	haas	haastaa	call
H	moH	vety	hydrogen
ark	arkva	arka	sore
iits	iits	kutittaa	tickle
nät	vamnätpe	saukko	otter
gout	goutpe	vuohi	goat
dol	dolrovsi	dollaria	dollars
deriiv	deriiv	johtaa	derive
den	den	tanskan kieli	Danish
bälk	bälk	parveke	balcony
bau	bau	kumarrus	bow
eer	paeer	erottaa	fire
frog	frogpe	sammakko	frog
meet	rumeet	juottaa	solder
norv	norv	norjan kieli	norwegian
EU	EU	EU	EU
kauul	ylkauulen	holvattu	vaulted
määg	määg	taikoa	hex
mlak	mlakva	sula	melted
niilk	niilk	ryvettää	soil
meej	meej	saattaa	may
maus	mauspe	hiiri	mouse
litr	litr	litra	litre
liit	nekliit	kuristaa	choke
leek	leek	leikkiä	play
laa	raulaava	ympäröivä	ambient
kääp	kääp	avata paketti	unwrap
kork	kork	korkki	cap
kiaa	kiaa	viettää	slope
mäsh	mäsh	sose	puree
mav	mavlo	manner	continent
mos	moS	rikki	sulphur
