Vosa	VosaParts	Finsi	Engsi
aj faa	aj faa	annan	I give
dafaa	da-faa	tiedottaa; ilmoittaa	make known; state; send word; reveal; report; put across; promulgate; notify; inform; denote; communicate; bulletin; announce; proclaim
obdafaa	ob-da-faa	informoida	inform
dihdafaa	dih-da-faa	kuuluttaa	announce; proclaim
sidafaa	si-da-faa	ilmoitella	placard
rovriodafaa	rov-ri-o-da-faa	ilmoittaa rahayksikössä	declare in monetary unit; denominate
katdafaa	kat-da-faa	valistaa	educate; enlighten
autdafaa	aut-da-faa	ilmoittautua	register; report; enter for; enroll; enrol; check in
rovfafaa	rov-fa-faa	pulittaa	shell out
hafaa	ha-faa	hyväksyä	approve; endorse; accept
tuahafaa	tua-ha-faa	hyväksyttää	be approved
ahhafaa	ah-ha-faa	antaa anteeksi	forgive; remit
forhafaa	for-ha-faa	antaa palkinto; palkita	award; give an award; remunerate; reward
pöhafaa	pö-ha-faa	ratifioida	ratify
ersafaa	er-sa-faa	nimittää	appoint; nominate; name; entitle; denominate
tötuafaa	tö-tua-faa	delegoida	delegate
jefaa	je-faa	myöntää	agree; confer; grant; concede; admit; award; assent
autjefaa	aut-je-faa	myöntyä	consent
usoffaa	us-of-faa	uhrata	sacrifice
ongfaa	ong-faa	ryppyillä	give trouble
reahfaa	re-ah-faa	kostaa	avenge; retaliate; retribute; revenge; take revenge; take vengeance on
autreahfaa	aut-re-ah-faa	kostautua	backfire; redound
forahfaa	for-ah-faa	rangaista	penalize; punish
haforahfaa	ha-for-ah-faa	kompensoida	compensate; recompense
yllifaa	yl-li-faa	ylenantaa	vomit; overlook
ikrifaa	ik-ri-faa	annostella	dispense; dose
pirrorifaa	pir-ro-ri-faa	jyvittää	give more value
iprifaa	ip-ri-faa	pihdata; pihistää	skimp; scrimp
si-iprifaa	si-ip-ri-faa	kitsastella; pihistellä	skimp; stint
ejfaa	ej-faa	evätä; pantata	reject; withhold
sijfaa	sij-faa	korvata	substitute; compensate; supersede; reimburse; indemnify; replace
autsijfaa	aut-sij-faa	korvautua	be substituted
rovsijfaa	rov-sij-faa	hyvittää	compensate; expiate
makfaa	mak-faa	hemmotella	baby; spoil; pamper; indulge; featherbed; cocker; coddle
ikfaa	ik-faa	jakaa	allocate; divvy up
rovarmfaa	ro-varm-faa	antaa takeeksi	give as a guarantee
pöjofaa	pö-jo-faa	valtuuttaa	authorize; depute; authorise; empower
vaopöjofaa	va-o-pö-jo-faa	akkreditoida	accredit
tulofaa	tu-lo-faa	ulottaa	extend
termofaa	ter-mo-faa	lääkitä	medicate
lonrofaa	lon-ro-faa	lainata	lend; loan
telonrofaa	te-lon-ro-faa	lainoittaa	lend money; finance; grant a loan
iplonrofaa	ip-lon-ro-faa	vipata	lend; loan
tofaa	to-faa	antaa lahjaksi; lahjoittaa	donate; endow; give as a gift; present with
ahtofaa	ah-to-faa	lahjoa	bribe; suborn
rovripfaa	rov-rip-faa	antaa tinkiä; laske hintaa	come down on the price; give a bargain; knock off the price
dirfaa	dir-faa	antaa suuntaa	give direction to
pourfaa	po-ur-faa	hellittää; hellitä	ease; loosen
yvurfaa	yv-ur-faa	antaa periksi; periksi antaa	give in; give up; surrender
katfaa	kat-faa	valottaa	expose
kautfaa	ka-ut-faa	ilmiantaa	inform against; report; reveal
rotutfaa	ro-tut-faa	kyyditä	give a ride
cufaa	cu-faa	suvaita	condone; deign; tolerate
ofratufaa	of-ra-tu-faa	tyrkyttää	foist; push; impose; press
siemtufaa	si-em-tu-faa	tarjoilla	serve
rovfaa	rov-faa	maksaa	pay out; pay in; pay; disburse
vy rovfaa	vy rov-faa	maksamalla	by paying
göfaa	gö-faa	antaa myöten	give in; give way; yield
pöfaa	pö-faa	sallia; suoda; päästää valloilleen	bestow; unleash; permit; vouchsafe; be lenient with; allow; grant; give
sapöfaa	sa-pö-faa	luvata	promise
autsapöfaa	aut-sa-pö-faa	lupautua	engage
tepöfaa	te-pö-faa	liberalisoida	liberalize
autpöfaa	aut-pö-faa	antautua	capitulate; succumb; surrender
töfaa	tö-faa	työllistää	employ; give work
gaa	gaa	viedä	transport; take; occupy
itsi gaa	it-si gaa	ne vievät	they take; they are taking
pagaa	pa-gaa	lähettää	post; transmit; dispatch; consign; broadcast; send
vupagaa	vu-pa-gaa	soutaa	row
poaggaa	po-ag-gaa	rynkyttää	pull and push very hard (door); thump
hänggaa	häng-gaa	repsottaa; roikottaa	dangle; droop
nigaa	ni-gaa	viedä	export
vigaa	vi-gaa	saattaa	see off; escort; convoy; accompany
sivigaa	si-vi-gaa	saatella	usher
tuöngaa	tu-ön-gaa	viedä loppuun	finish
pogaa	po-gaa	työntää; lykätä	propel; push; shove
sisadpogaa	si-sad-po-gaa	tyrkkiä; töniä	shove; push; jostle
ispogaa	is-po-gaa	tuupata; pukata	push; shove
sadispogaa	sad-is-po-gaa	tönäistä	nudge
autpogaa	aut-po-gaa	työntyä	penetrate; push oneself
päpogaa	pä-po-gaa	puskea	butt
fätogaa	fä-to-gaa	toimittaa	procure; supply; deliver
targaa	tar-gaa	eksyttää; viedä harhaan	misguide; mislead
öghougaa	ög-ho-u-gaa	luovia	tack; beat to windward
tugaa	tu-gaa	viedä	lead
nitugaa	ni-tu-gaa	viedä ulos	take out
rutugaa	ru-tu-gaa	taluttaa	lead
iihahaa	iihahaa	hirnua	neigh
isiihahaa	is-iihahaa	hirnahtaa	whinny
kihaa	ki-haa	eheyttää	unify
mihaa	mi-haa	miellyttää	please
temämhaa	te-mäm-haa	inhimillistää	humanize
lirhaa	lir-haa	keplotella	pull wires; wangle
forhaa	for-haa	kelvata; olla tarpeeksi hyvä	be fit for; do; be good enough; be acceptable; be suitable
teforhaa	te-for-haa	kelpuuttaa; validoida	validate
kiaa	kiaa	viettää	slope; decline; incline
pakiaa	pa-kiaa	kallistaa; vinouttaa	bias; careen; incline; recline; skew; slant; tilt
autkiaa	aut-kiaa	kallistua; vinoutua; vääristyä	become distorted; gravitate; tilt; warp
kaa	kaa	katsoa	deem; watch; look up; look; consider; behold; lay eyes on
dakaa	da-kaa	tutkia	peruse; survey; study; scrutinize; investigate; inquire; explore; examine; enquire; research
diterjo dakaa	di-ter-jo da-kaa	lääkäri tutkii	doctor examines
obdakaa	ob-da-kaa	syynätä	examine
dedakaa	de-da-kaa	jäljittää	retrace; trace; track
lidakaa	li-da-kaa	tulkita	construe; decipher; decode; interpret
tarlidakaa	tar-li-da-kaa	tulkita väärin	misconstrue; misinterpret
sidakaa	si-da-kaa	tutkiskella	examine; scrutinize; study
ylhakaa	yl-ha-kaa	kaitsea	tend
pöhakaa	pö-ha-kaa	äänestää	vote
ögpöhakaa	ög-pö-ha-kaa	äänestää vastaan	vote against
kiakaa	kia-kaa	kurkistaa	peek; peep
sikiakaa	si-kia-kaa	kurkkia	peek
iskiakaa	is-kia-kaa	kurkata	peep
kakaa	ka-kaa	komeilla	flaunt
obkakaa	ob-ka-kaa	kytätä	stare
obkaa	ob-kaa	tähystää	observe; watch
diterjo obkaa	di-ter-jo ob-kaa	lääkäri tähystää	doctor examines
radaobkaa	ra-da-ob-kaa	tiirata	look curiously
sipaobkaa	si-pa-ob-kaa	hakea katseellaan	search with his eyes
hidobkaa	hid-ob-kaa	vaania; väijyä	wait in ambush; lurk; prowl; skulk
sihidobkaa	si-hid-ob-kaa	tiirailla	peer
teobkaa	te-ob-kaa	tähdätä	aim at; point at; take aim
siobkaa	si-ob-kaa	pitää silmällä; tarkkailla; tähyillä	observe; peer; keep one's eye on
rilobkaa	ril-ob-kaa	todentaa	authenticate; validate; verify
tuobkaa	tu-ob-kaa	tuijottaa	glare; ogle; stare
situobkaa	si-tu-ob-kaa	tuijotella	stare
sihidkaa	si-hid-kaa	pälyillä	glance around furtively
sisidkaa	si-sid-kaa	vilkuilla	leer
dekaa	de-kaa	seurata	track; accompany; come after; follow; monitor; succeed
hiddekaa	hid-de-kaa	varjostaa	follow secretly; overshadow
sidekaa	si-de-kaa	seurailla	follow
ylpekaa	yl-pe-kaa	paimentaa	herd
rekaa	re-kaa	heijastaa	project; reflect
parekaa	pa-re-kaa	peilata	mirror
siparekaa	si-pa-re-kaa	peilailla	be reflected
autrekaa	aut-re-kaa	heijastua	reflect
tekaa	te-kaa	näyttää	show
liretekaa	li-re-te-kaa	simuloida	simulate
hehtekaa	heh-te-kaa	ilveillä	clown
litekaa	li-te-kaa	näytellä; dramatisoida	act; dramatize; impersonate; play; show
auttekaa	aut-te-kaa	näyttäytyä	appear; show itself
ögkaa	ög-kaa	tavata	meet; come across; encounter
ajsi ögkaa	aj-si ög-kaa	tapaamme	we meet
siögkaa	si-ög-kaa	tapailla	date; go out with
oblikaa	ob-li-kaa	vaikuttaa; näyttää joltakin; näyttää; muistuttaa	resemble; seem; look like; be similar to; appear like
telikaa	te-li-kaa	kaavoittaa	plan
silikaa	si-li-kaa	kaavailla	forecast; outline; sketch out
yllikaa	yl-li-kaa	ylenkatsoa	despise; disdain; scorn
arlikaa	ar-li-kaa	katsoa vihaisesti	scowl
mikaa	mi-kaa	kuvitella; visioida	conceive of; envisage; envision; imagine; visualize
rorikaa	ro-ri-kaa	analysoida; ruotia	analyse; analyze
sikaa	si-kaa	katsella	view; watch
pöafejkaa	pö-af-ej-kaa	luntata	crib
tarkkaa	tark-kaa	katsastaa	critique; inspect
obtarkkaa	ob-tark-kaa	tarkata	monitor; watch alertly
nelitarkkaa	ne-li-tark-kaa	jälkikäteen tarkastella	retrospect
sitarkkaa	si-tark-kaa	tarkastella	look at carefully; view; examine; study mentally; survey
riskkaa	risk-kaa	varoa	be careful; beware; look out; watch out
ylkaa	yl-kaa	kontrolloida; partioida; valvoa	oversee; supervise; patrol; control; police
fainkaa	fain-kaa	ihailla	admire; look up to; excoriate; gloat
tefainkaa	te-fain-kaa	ihastuttaa	delight
sifainkaa	si-fain-kaa	ihastella	admire
autfainkaa	aut-fain-kaa	ihastua	become fond of; become infatuated with; take a fancy to
autedjokaa	aut-ed-jo-kaa	esittäytyä	introduce myself
obnokaa	ob-no-kaa	vartoa	wait
rokaa	ro-kaa	arvioida	value; valuate; survey; rate; measure; evaluate; estimate; appraise; assess
alrokaa	al-ro-kaa	aliarvioida	undervalue; underrate; rate too low; sell short; underestimate
ylrokaa	yl-ro-kaa	yliarvioida	overestimate
nirorokaa	ni-ro-ro-kaa	ekstrapoloida	extrapolate
risorokaa	ri-so-ro-kaa	estimoida	estimate
vokaa	vo-kaa	nähdä	see
ja vokaa	ja vo-kaa	näet	you see
na vokaa	na vo-kaa	nähtävissä	on display
aj vokaa	aj vo-kaa	näen	I see
li aj vokaa	li aj vo-kaa	nähdäkseni	as far as I can see; as I see it
for vokaa	for vo-kaa	nähdäkseen	to see
obvokaa	ob-vo-kaa	havaita; panna merkille	comprehend; detect; find; note; notice; observe; perceive
teobvokaa	te-ob-vo-kaa	havainnoida	observe
isobvokaa	is-ob-vo-kaa	havahtua	awake; wake
teisobvokaa	te-is-ob-vo-kaa	havahduttaa	wake
sifvokaa	sif-vo-kaa	bongata	birdwatch
lovokaa	lo-vo-kaa	paikantaa	locate
ervokaa	er-vo-kaa	erottaa	distinguish; descry; discern
autervokaa	aut-er-vo-kaa	erottua	feel different; surpass; be distinguished; be distinguishable; be discerned; be discernable; be different; act different
satvokaa	sat-vo-kaa	huomata	notice; see; note; find; espy; discover; detect; be noting
apkaa	ap-kaa	valita	pick; pick out; prefer; select; elect; choose; opt
siapkaa	si-ap-kaa	valikoida	choose; select
oupkaa	oup-kaa	töllöttää; tollottaa	gawp; gawk
sioupkaa	si-oup-kaa	töllistellä	gape; goggle
voejhäpkaa	vo-ej-häp-kaa	ihmetellä	wonder; marvel at; marvel
sifarkaa	si-far-kaa	tutkailla	keep one's eye on; observe; explore
erkaa	er-kaa	verrata	contrast; compare
ierkaa	ier-kaa	karsastaa	squint
sierkaa	si-er-kaa	vertailla	collate; compare; liken
auterkaa	aut-er-kaa	erottautua	isolate oneself; excel
kirkaa	kir-kaa	tekstata	write in print
forkaa	for-kaa	vahtia	keep an eye on; watch; guard
obforkaa	ob-for-kaa	vahdata	watch for
iskaa	is-kaa	katsahtaa; vilkaista	glance; glance over; peek
retkaa	ret-kaa	diagnosoida	diagnose
autkaa	aut-kaa	näkyy; näkyä	be visible; show; manifest; can be seen; appear; is seen
sadautkaa	sad-aut-kaa	vilahtaa	flash; twinkle
inliautkaa	in-li-aut-kaa	kuultaa	be dimly visible; gleam
ipriautkaa	ip-ri-aut-kaa	kangastaa; siintää	loom; be dimly seen
ipautkaa	ip-aut-kaa	pilkistää; pilkottaa; häämöttää	break through; glimmer; loom; peep; shimmer; turn up
farautkaa	far-aut-kaa	kajastaa	shimmer
isautkaa	is-aut-kaa	pilkahtaa	peep out; twinkle
nituautkaa	ni-tu-aut-kaa	törröttää	stick out
kaukaa	kau-kaa	kuvioida	pattern
raukaa	rau-kaa	ympyröidä	circle
ouplukaa	oup-lu-kaa	tirkistää	peek; voyeur
siouplukaa	si-oup-lu-kaa	tirkistellä	peep
sisukaa	si-su-kaa	kyräillä	eye suspiciously
tukaa	tu-kaa	osoittaa	indicate; show; manifest; demonstrate; point
sadtukaa	sad-tu-kaa	vilauttaa	flash
edtukaa	ed-tu-kaa	kuvata; esittää	represent; set forth; render; present; portray; play; perform; depict; adduce; show
enfortee-ejli edtukaa	en-for-tee-ej-li ed-tu-kaa	improvisoida	improvise
siedtukaa	si-ed-tu-kaa	demonstroida; esitellä	demonstrate; present; showcase; bring in; introduce; innovate
autedtukaa	aut-ed-tu-kaa	esiintyä	act; behave; perform; play
isva autedtukaa	is-va aut-ed-tu-kaa	debytoida	debut
oftukaa	of-tu-kaa	tarjota	provide; proffer; offer; cater; impart
autoftukaa	aut-of-tu-kaa	tarjoutua	volunteer; offer
ritukaa	ri-tu-kaa	indikoida	indicate
auttukaa	aut-tu-kaa	osoittautua	prove; turn out
raukaevkaa	rau-ka-ev-kaa	mulkoilla	glare; glower; roll one's eyes
rovykaa	ro-vy-kaa	holhota	patronize
väliklaa	väl-ik-laa	lomittaa	intersperse
raulaa	rau-laa	ympäröidä	enclose; surround; envelop; encompass; encircle; enfold
tihnaa	tih-naa	yleistää	generalise; generalize
auttihnaa	aut-tih-naa	yleistyä	become more common
ylnaa	yl-naa	myöhästyä; olla myöhässä	be late
siylnaa	si-yl-naa	myöhästellä	be late
ennaa	en-naa	ennakoida	forestall; previse; foresee; foreknow; anticipate
autennaa	aut-en-naa	ennakoitua	forethought
pirnaa	pir-naa	lykätä	adjourn; defer; postpone
autpirnaa	aut-pir-naa	lykkääntyä	be postponed
pönaa	pö-naa	vallita	govern; prevail
paa	paa	panna; pistää	put in; stick in; set; insert; lay down; place; put
kapaa	ka-paa	koristaa; komistaa	adorn; deck; decorate; embellish; emblazon; garnish
hakapaa	ha-ka-paa	poseerata	pose; posture
sikapaa	si-ka-paa	koristella	decorate; ornament
kirkapaa	kir-ka-paa	latoa	typeset
kroskapaa	kros-ka-paa	kruksata; rastittaa; ruksata	check off; tick; tick off
tuapaa	tua-paa	laitattaa	have made
obpaa	ob-paa	kohdentaa; kohdistaa	target; align; allocate
autobpaa	aut-ob-paa	kohdistua	focus
sadpaa	sad-paa	sujauttaa	slip
hidpaa	hid-paa	piilottaa	conceal; hide
midpaa	mid-paa	keskittää	centralize; concentrate
sidpaa	sid-paa	oheistaa	enclose
epaa	e-paa	elvyttää	quicken; reinvigorate; resuscitate; revitalize; revive
moFepaa	mo-Fe-paa	raudoittaa	reinforce
sihiepaa	si-hie-paa	ripotella; sirotella	scatter; sprinkle; strew
rausefpaa	rau-sef-paa	kääriä	envelop; furl; wrap
autrausefpaa	aut-rau-sef-paa	kääriytyä	furl
hängpaa	häng-paa	ripustaa; laittaa roikkumaan	suspend; hang; hang out; hang up
dihpaa	dih-paa	julkaista	bring out; publish
tutihpaa	tu-tih-paa	sulloa; tunkea; tupata	cram; jam; push away; squeeze; stow; stuff
sähpaa	säh-paa	sähköistää	electrify; galvanize
leipaa	lei-paa	levittää; valella	propagate; broaden; unfurl; strew; spread out; spread; extend; douse; disseminate; distribute; pour on
sileipaa	si-lei-paa	levitellä	strew
vikipaa	vi-ki-paa	integroida	integrate
knitinlipaa	knit-in-li-paa	pujottaa	string; thread
siknitinlipaa	si-knit-in-li-paa	pujotella	weave
erlipaa	er-li-paa	separoida	separate
ripaa	ri-paa	määrällistää	quantitate
rovripaa	rov-ri-paa	hinnoittaa	price
sirovripaa	si-rov-ri-paa	hinnoitella	charge; price
ylrovripaa	yl-rov-ri-paa	ylihinnoitella	overprice
sasipaa	sa-si-paa	sanoittaa	put into words; write lyrics
losipaa	lo-si-paa	asetella	shift; adjust; align
tusipaa	tu-si-paa	jaella; jakaa	share; distribute; allot; deal
vipaa	vi-paa	yhdistää	join; unite; unify; link together; consolidate; connect; compound; combine; bring together; amalgamate; merge
vy vipaa	vy vi-paa	yhdistämällä	combining
revipaa	re-vi-paa	fuusioida	merge
autrevipaa	aut-re-vi-paa	fuusioitua	merge
sivipaa	si-vi-paa	yhdistellä	combine
yrvipaa	yr-vi-paa	kytkeä pois	switch off
ruvipaa	ru-vi-paa	kytkeä	connect; plug in
tuvipaa	tu-vi-paa	liittää mukaan; liittää yhteen	hookup; enclose
sijpaa	sij-paa	asettaa tilalle	set in place
forhäkpaa	for-häk-paa	syöttää	serve; pass; pitch
oilpaa	oil-paa	voidella	oil; smear; lubricate; grease; anoint
sisilpaa	si-sil-paa	silotella	plaster over
tumolpaa	tu-mol-paa	kuopata	dig down; lay to rest; bury
intumolpaa	in-tu-mol-paa	haudata	bury; entomb; forget; inter; lay to rest
autintumolpaa	aut-in-tu-mol-paa	hautautua	bury
intolpaa	in-tol-paa	sisustaa	fit up; furnish
tufulpaa	tu-ful-paa	panna täytäntöön	implement
ippoulpaa	ip-poul-paa	paaluttaa	picket
kampaa	kam-paa	kivetä	pave
vampaa	vam-paa	kastella	wet; drench; irrigate; sop; water
hievampaa	hie-vam-paa	pirskottaa	sprinkle
hitvampaa	hit-vam-paa	vihmoa	sprinkle
empaa	em-paa	ruokkia	feed; nourish
fiempaa	fi-em-paa	höystää	flavor; flavour; season; spice
frempaa	frem-paa	kehystää	frame
sempaa	sem-paa	kylvää	sow
hompaa	hom-paa	ilmastaa	aerate
isipvompaa	is-ip-vom-paa	lirauttaa	put little liquid
inpaa	in-paa	mukaanlukea; sisällyttää	include; incorporate; subsume
oblinpaa	ob-lin-paa	linjata	align; line up
tuinpaa	tu-in-paa	pistää	inject
moTsnpaa	mo-Tsn-paa	galvanoida; sinkitä	galvanise; galvanize; zinc
laopaa	la-o-paa	päällystää	coat; sheathe
molaopaa	mo-la-o-paa	silata	overlay
ejvofiopaa	ej-vo-fi-o-paa	puuduttaa	anesthetize; numb
visiopaa	vi-si-o-paa	niputtaa	bundle up; bundle
iksiopaa	ik-si-o-paa	ryhmittää; jaotella; ryhmitellä	classify; group; divide
lopaa	lo-paa	asettaa; laittaa	place; put; set; stick in; position; posit; fix; enter; enclose; deposit; arrange; situate; lay
sidlopaa	sid-lo-paa	syrjäyttää	depose; displace; oust; relegate; supersede; supplant
yrelopaa	yr-e-lo-paa	häätää	kick out; eject; evict
autleilopaa	aut-lei-lo-paa	asettua aloilleen	locate; settle down
silopaa	si-lo-paa	hajottaa	disperse; dissipate; scatter; break; bust; smash; dispel
sierlopaa	si-er-lo-paa	eritellä	specify; itemize
forlopaa	for-lo-paa	asentaa	instal; set up; plant; mount; install; fit; assemble; link
tuaforlopaa	tua-for-lo-paa	asennuttaa	install
autpislopaa	aut-pis-lo-paa	laantua; lientyä	abate; subside
nukoslopaa	nuk-os-lo-paa	pedata	make the bed
autlopaa	aut-lo-paa	asettua	take a stand; take up a position; take a stance; subside; stop; sit; settle; relocate; have position; have direction; dwindle; compose yourself; collect yourself; coagulate; abate; clot; weaken; perch
siautlopaa	si-aut-lo-paa	asettautua	settle down
tulopaa	tu-lo-paa	sijoittaa	situate; place; install; instal; assign; deploy
homrekmopaa	hom-rek-mo-paa	panostaa	set explosives
molmopaa	mol-mo-paa	mullata	earth up
nopaa	no-paa	ajoittaa	schedule; time
autnopaa	aut-no-paa	ajoittua	is timed
popaa	po-paa	runnoa; päntätä	cram; force; smash
ögpopaa	ög-po-paa	puristaa; pusertaa	constrict; wring; squelch; squeeze; press; force out; crush; compress; clutch; clinch; clench; extrude
siögpopaa	si-ög-po-paa	puristella	be pressing
autögpopaa	aut-ög-po-paa	puristua; pusertua	be pressed; be squeezed
pikpopaa	pik-po-paa	pistää	stab
tupopaa	tu-po-paa	pistää	poke
katopaa	ka-to-paa	kuvittaa	illustrate
tuvetopaa	tu-ve-to-paa	kengittää	shoe
vivopaa	vi-vo-paa	varustaa	equip; fit; furnish; provide; supply
sivivopaa	si-vi-vo-paa	varustella	equip; furnish
autvivopaa	aut-vi-vo-paa	varustautua	equip oneself
kauvopaa	kau-vo-paa	valaa	cast; infuse; mold
novhareppaa	nov-har-ep-paa	silmikoida	bud
noppaa	nop-paa	tuikata	prick; stick; poke
inliouppaa	in-li-oup-paa	pursottaa	extrude
epharpaa	ep-har-paa	oksastaa	graft; engraft
moCrpaa	mo-Cr-paa	kromata	chromate; chrome-plate
pirpaa	pir-paa	lisätä	augment; add
hapirpaa	ha-pir-paa	rukata	revamp
ylpirpaa	yl-pir-paa	ylentää	elevate; uplift; raise; promote; exalt
roforpaa	ro-for-paa	investoida; sijoittaa	invest
erurpaa	er-ur-paa	erottaa	disassociate; separate; dissociate
unturpaa	un-tur-paa	arkistoida	file away; archive
noturpaa	no-tur-paa	tallentaa; taltioida	store; record; save
rovturpaa	rov-tur-paa	tallettaa	deposit
sikajärpaa	si-ka-jär-paa	sommitella	compose; fit together
sijärpaa	si-jär-paa	indeksoida	index
heörpaa	heör-paa	sivellä	apply; stroke
juspaa	jus-paa	säätää; kalibroida; rukata	calibrate; set; tune; adjust; adapt; regulate; readjust
hiejuspaa	hie-jus-paa	hienosäätää	fine-tune
sijuspaa	si-jus-paa	säädellä	adjust; regulate
vojuspaa	vo-jus-paa	konfiguroida	configure
sipöjuspaa	si-pö-jus-paa	säännöstellä	ration; regulate
litpaa	lit-paa	ahtaa	fill; stuff; stow; cram; pack full
hastpaa	ha-st-paa	panostaa	try one's best
moAupaa	mo-Au-paa	kullata	gild
raupaa	rau-paa	kiertää	twist; wind; turn
viraupaa	vi-rau-paa	kietoa	wrap
autviraupaa	aut-vi-rau-paa	kietoutua	convolve; wrap; twist; entwine; involve
visioraupaa	vi-si-o-rau-paa	kääriä kokoon	roll up
autraupaa	aut-rau-paa	kiertyä	twist
lyraupaa	ly-rau-paa	vyöryttää	roll; unroll
kamupaa	ka-mu-paa	somistaa	ornament; embellish; decorate; beautify
ermupaa	er-mu-paa	vaihtaa	change; exchange; interchange; swap; switch; toggle
viermupaa	vi-er-mu-paa	vaihtaa keskenään	interchange
kutpupaa	kut-pu-paa	laudoittaa	board
rupaa	ru-paa	liittää	connect; unite; join; append; attach; attach to
virupaa	vi-ru-paa	sitoa	bind; tie; tie in; tie up; bandage
hevvirupaa	hev-vi-ru-paa	kahlita; kahlehtia	shackle; chain; enchain; fasten with chains; secure with chains
autrupaa	aut-ru-paa	sitoutua	commit oneself; engage oneself; undertake
tupaa	tu-paa	pistää	place
midtupaa	mid-tu-paa	soluttaa	infiltrate
autmidtupaa	aut-mid-tu-paa	soluttautua	infiltrate
retupaa	re-tu-paa	palauttaa	bring back; return; restore; refund; reinstate
tumiretupaa	tu-mi-re-tu-paa	palauttaa mieleen	call to mind; recall
autretupaa	aut-re-tu-paa	palautua	revert
ögtupaa	ög-tu-paa	ujuttaa	edge into; slip
autögtupaa	aut-ög-tu-paa	ujuttautua	worm oneself; edge oneself; infiltrate; insinuate oneself
rektupaa	rek-tu-paa	survoa	crush; pound
isrektupaa	is-rek-tu-paa	survaista	ram
vältupaa	väl-tu-paa	asettaa väliin	interpose
intupaa	in-tu-paa	syöttää; asettaa sisään; lisätä	input; insert; put in
rotupaa	ro-tu-paa	satsata; panostaa	allocate resources; invest; stake
uttupaa	ut-tu-paa	välittää	mediate; relay; transmit; pass on; forward; arbitrate; convey; intercede
rutupaa	ru-tu-paa	linkittää; linkata	link; relay
pötupaa	pö-tu-paa	passittaa	send
ivpaa	iv-paa	katkaista; katkoa	disconnect; truncate; intercept; misfire; cut off; sever; cut; chop off; break; cutoff
si-ivpaa	si-iv-paa	erotella	desegregate; distinguish; separate
autivpaa	aut-iv-paa	katketa	break; break off
siautivpaa	si-aut-iv-paa	katkeilla	break
rovpaa	rov-paa	kustantaa	cover the cost
