English	Finnish	Vosa
cognitive science	kognitiotiede	dafidä
cold physics	kylmäfysiikka	kalfysda
Cold soft drink	Kylmä virvoitusjuoma	Kalva poysvem
Cold winter morning	Kylmä talviaamu	Kalva kalnoentan
collage technique	kollaasitekniikka	vipatötotekda
color theory	värioppi	kädav
colorfully	kirjavasti	sikäli
combinatorics	kombinaatio-oppi	visipadav
Comfortable study time	Mukava opiskeluaika	Hamiva apdavno
commodity theory	tavaraoppi	fäftodav
Common topic of conversation	Yleinen puheenaihe	Tihnava sasaobso
communication science	viestintätiede	tusadä
communication technology	viestintätekniikka	tusaatekda
Competitive salary level	Kilpailukykyinen palkkataso	Vintravoteva törovtal
Complex festive dish	Monimutkainen juhlaruoka	Siongva rono em
Complex work project	Monimutkainen työprojekti	Siongva töpitöob
comprehensively	kokonaisvaltaisesti	kiopöli
computer science	tietojenkäsittelyoppi	dasicutedav
computer technology	tietokonetekniikka	davötekda
conciliatoryly	sovittelevasti	tesivisoopli
conference technology	kokoustekniikka	visahäptekda
confusedly	sekavasti	räjdali
Conservative opinion	Konservatiivinen mielipide	Ungöva micu
construction technology	rakennustekniikka	toltekda
consumer electronics	kulutuselektroniikka	tetoriipipsähda
contemptuously	ylenkatseellisesti	yllikaateli
control technology	säätötekniikka	juspatekda
conversational skills	keskustelutaito	visasalivote
cooking skills	keittotaito	kuulivote
cooking skills	ruoanlaittotaito	emtoolivote
cosmetics	kosmetiikka	kahakeda
cosmetology	kosmetologia	kahakeda
cosmology	kosmologia	kitilda
Cozy apartment building	Viihtyisä asuintalo	Nohamiva elotol
Cozy balcony	Viihtyisä parveke	Nohamiva bälk
Cozy interior	Kodikas sisustus	Balva intolpa
Cozy place to live	Viihtyisä asuinpaikka	Nohamiva eloolo
Cozy rental cabin	Viihtyisä vuokramökki	Nohamiva lonfäiptol
craftsmanship	käsityötaito 	pavetölivote
creationism	luomisoppi	novtedav
Creative craft	Luova käsityö	Novteeva pavetö
Creative design work	Luova suunnittelutyö	Novteeva kasootö
Creative painting hobby	Luova maalausharrastus	Novteeva kämoto mite
Creative writing	Luova kirjoittaminen	Novteeva kiirte
criminal psychology	kriminaalipsykologia	pösorekmiterdä
criminal psychology	rikospsykologia	pösorekmiterdä
criminology	kriminologia	pösorekda
Crispy sourdough bread	Rapea hapanjuurileipä	Emuurva hapjur bekem
Critical money talk	Kriittinen rahapuhe	Krisva rovsasa
cryobiology	kryobiologia	kalbiodä
cryophysics	kryofysiikka	kalfysda
crystal chemistry	kidekemia	kidkemda
crystal optics	kideoptiikka	kidlinsda
crystallography	kideoppi	kiddav
crystallography	kidetiede	kiddä
cultural anthropology	kulttuuriantropologia	liemämda
cultural geography	kulttuurimaantiede	lieköldä
cunningly	viekkaasti	visahli
Current documentary	Ajankohtainen dokumentti	Noiplova klirsakir
cybernetics	kybernetiikka	mämvöcuda
Cybersecurity-related -threat	Kyberturvallisuuteen liittyvä uhka	Kyberturvao rutuuva obrisk
cytology	sytologia	solda
Dangerous travel destination	Vaarallinen matkakohde	Ahriskva rotuob
Dear sibling	Rakas sisarus	Rava bajvijo
Delayed connecting flight	Myöhästynyt jatkolento	Ylnaaen pirhuo
delivery technology	toimitustekniikka	fätogatekda
Demanding expert work	Vaativa asiantuntijatyö	Teniidva sokatuujotö
demandingly	vaateliaasti	teniidli
demography	väestötiede	joridä
densely	tiheästi	tihnoli
dentistry	hammaslääketiede	bitveterdä
dermatology	dermatologia	laevretda
dermatology	ihotautioppi	laevretdav
developmental psychology	kehityspsykologia	devmiterdä
diagnostics	diagnostiikka	retkada
diagnostics	taudinmääritysoppi	retdeefdav
dialectology	murremaantiede	alvosköldä
didactics	didaktiikka	padavda
dietetics	dietetiikka	emvaotoda
Different cultural experience	Erilainen kulttuurikokemus	Erva lie davofi
Different living arrangements	Erilainen asumismuoto	Erva elookau
Difficult career change	Vaikea ammatinvaihto	Ongva votö ermupa
Difficult customer situation	Vaikea asiakastilanne	Ongva sojo vista
Difficult hobby	Vaikea harrastus	Ongva mite
Digital automation	Digitaalinen automaatio	Kasiöva autte
Digital fasting	Digitaalinen paasto	Kasiöva ejeemte
Digital image editing	Digitaalinen kuvankäsittely	Kasiöva katocute
digital technology	digitaalitekniikka	kasiötekda
dimly	himmeästi	rilkli
direct	välittömästi	välejna
Disgusting taste experience	Inhottava makuelämys	Temicuaahva emfi fieka
Distant dream destination	Kaukainen unelmakohde	Farva nukob obö
Distant relative	Kaukainen sukulainen	Farva cejjo
Distant space travel	Kaukainen avaruusmatkailu	Farva kitil sirotuo
Diverse food culture	Monipuolinen ruokakulttuuri	Sisidva emlie
divinity	jumaluusoppi	hajovaodav
doctrinal	uskonoppi	usdav
doctrine of justification	vanhurskauttamisoppi	ushamuudav
doctrine of redemption	lunastusoppi	öfäfdav
dogmatism	dogmatiikka	usdavda
Domestic seasonal product	Kotimainen kausituote	Balhylva limnoto
double	kaksinkertaisesti	dunoli
drawing skills	piirustustaito	kateelivote
driving skills	ajotaito	katuo livote
driving technique	ajotekniikka	katuotekda
dynamics	dynamiikka	uopoda
Earned annual vacation	Ansaittu vuosiloma	Roaafen jänurtöno
easily	herkästi	ylfili
Easy baking recipe	Helppo leivontaresepti	Gnova beekte lida
Ecological leisure time	Ekologinen vapaa-aika	Ekodäva frino
Ecological train journey	Ekologinen junamatka	Ekodäva fetuvörotuo
Ecological travel method	Ekologinen matkustustapa	Ekodäva rotuute lio
ecology	ekologia	ekodä
economic geography	talousmaantiede	rostaköldä
economics	kansantaloustiede	hyjrostadä
economics	taloustiede	rostadä
economy	ekonomia	rostada
education	kasvatusoppi	haeöpiirdav
education	kasvatustiede	haeöpiirdä
educational psychology	kasvatuspsykologia	haeöpiirmiterdä
Effective stress management	Tehokas stressinhallinta	Ysriva nervögpo livotevao
Efficient weekday morning	Tehokas arkiaamu	Ysriva tetan entan
electrical engineering	sähköoppi	sähdav
electrical engineering	sähkötekniikka	sähtekda
electrical power engineering	sähkövoimatekniikka	sähpotekda
electroacoustics	sähköakustiikka	sähhöda
electrochemistry	sähkökemia	sähkemda
electrodynamics	elektrodynamiikka	ipsähuopoda
electrodynamics	sähködynamiikka	sähuopoda
electron optics	elektronioptiikka	ipsählinsda
electronics	elektroniikka	ipsähda
electrostatics	sähköstatiikka	sähtalhevrida
embryology	embryologia	enöda
Empty nest syndrome	Tyhjän pesän syndrooma	Lufva pebal siretmark
endocrinology	endokrinologia	ingländevda
engineering skills	insinööritaito	tekdajolivote
English studies	anglistiikka	engdä
enjoyable	nautinnollisesti	rosapli
Enough sleep	Riittävä yöuni	Hanidriva nat nuukte
entomology	hyönteistiede	pegdä
environmental science	ympäristöoppi	raulodav
environmental technology	ympäristötekniikka	raulotekda
epidemiology	epidemiologia	retleituoda
epistemology	tieto-oppi	dadav
equally	yhtäläisesti	reli
ergonomics	ergonomia	töculiteda
especially	erikoisesti	erlili
Ethical choice	Eettinen valinta	Rattarva apkao
ethics	etiikka	rattarda
ethics	siveysoppi	cuhahvaodav
ethnology	kansatiede	hyjdä
etiology	etiologia	retsyda
etymology	etymologia	sanöbesda
Everyday life related to shared flats	Kimppakämppään liittyvä arki	Sivi elo rutuuva tetan
Everyday routine	Jokapäiväinen rutiini	Kitanva liretö
evolutionary theory	kehitysoppi	eodevdav
Evolving artificial intelligence	Kehittyvä tekoäly	Autdeevva tevis
exactist	eksaktisti	jusli
Exciting travel story	Jännittävä matkatarina	Vooltva rotuo öbsasa
exegesis	eksegetiikka	uskirtoklirsada
exemplary	esimerkillisesti	edkalili
exercise science	liikuntatiede	uuteodä
Exotic cruise	Eksoottinen risteily	Farhamiva krosvuute
Exotic fruit	Eksoottinen hedelmä	Farhamiva hed
Exotic travel destination	Eksoottinen matkakohde	Farhamiva rotuob
exoticism	eksotiikka	farhamida
Expensive cost of living	Kallis elinkustannus	Ylrovva eorovpa
Expensive grocery shopping	Kallis ruokaostos	Ylrovva emäftosi
Expensive home decoration	Kallis kodinsisustus	Ylrovva bal intolpa
Expensive hotel room	Kallis hotellihuone	Ylrovva rotuotol tolik
Expensive renovation	Kallis remontti	Ylrovva siker
Expensive rental apartment	Kallis vuokra-asunto	Ylrovva lonäfelo
Expensive sports equipment	Kallis urheiluväline	Ylrovva rouvo
expressiveness	ilmaisutaito	kautsalivote
fair	rehellisesti	rilhali
Fair employer	Reilu työnantaja	Harocuva töfaajo
falsist	falskisti	tarmuuenli
Family research discovery	Sukututkimukseen liittyvä löydös	Cejdaka rutuuva keesob
Family vacation together	Yhteinen perheloma	Viofva bajurtöno
Family-tradition	Perheen sisäinen perinne	Baj inova enlio
Famous hometown	Tuttu kotikaupunki	Vikadava baltaunlo
Famous museum	Kuuluisa museo	Dahonva undatol
farming technology	viljelytekniikka	viiltekda
fast	rohkeasti	karli
fatally	kohtalokkaasti	ahobstali
Fatty fast food	Rasvainen pikaruoka	Fätmova ipnaem
Favorite childhood food	Lapsuuden lempiruoka	Ipmämno mihaem
Fennistics	fennistiikka	finvosdaka
Fenno-Ugric studies	fennougristiikka	finugrvoshyjdaka
fiber optics	kuituoptiikka	fibmolinsda
fiber optics	lasikuituoptiikka	glafibmolinsda
fiercely	tulisesti	bönlili
Fiery spice	Tulinen mauste	Bönva fiem
figuratively	kuvallisesti	katolili
finance	finanssioppi	rovdav
finance	finanssitiede	rovdä
fine	loistavasti	rokliirli
firmly	jämäkästi	maspoli
firmly	ryhdikkäästi	halyllelli
firmly	tukevasti	supli
Flexible remote work	Joustava etätyö	Joosva fartö
Flexible working day	Liukuva työpäivä	Gliuva tötan
Flexible working hours	Joustava työaika	Joosva töno
flying skill	lentotaito	huolivote
folklore	folkloristiikka	hylenliodaka
fondly	typerästi	cuosivli
food chemistry	elintarvikekemia	eonidtokemda
food science	elintarviketiede	eonidtodä
food technology	elintarviketeknologia	eonidtotekdä
Food, drink and eating places	Ruoka juoma ja ruokapaikat	Em vem a emlosi
forensic dentistry	oikeushammaslääketiede	ratafbitveterdä
forensic linguistics	oikeuslingvistiikka	ratafvosdä
forensic medicine	oikeuslääketiede	ratafterdä
forensic science	rikostutkimusoppi	pösorekdakadav
forensics	kriminalistiikka	pösorekdakadav
forest biology	metsäbiologia	pulbiodä
forest ecology	metsäekologia	pulekodä
forest economics	metsäekonomia	pulrostada
forest technology	metsäteknologia	pultekdä
forestry	metsätaloustiede	pulrostadä
forestry	metsätiede	puldä
forever	loputtomasti	önejli
fortunately	onnekkaasti	saklili
Free hobby opportunity	Ilmainen harrastusmahdollisuus	Ejrovriva mitevovao
Freedom related to living alone	Yksinasumiseen liittyvä vapaus	Intu isvieloote rutuuva frivao
freely	vapaamuotoisesti	frikauli
Fresh ingredient	Tuore raaka-aine	Rafnovva ravmo
Fresh morning coffee	Tuore aamukahvi	Rafnovva entan kofvem
Fresh vegetable	Tuore vihannes	Rafnovva grinem
frictionlessly	kitkattomasti	laoyvpoejli
Friendly locals	Ystävällinen paikallisväestö	Havijocuva lova jori
Frozen ready	made food	Pakastettu valmisruoka
fully	täysimittaisesti	fulpiprili
fun	hauskasti	hehobli
Fun evening out	Hauska illanvietto	Hehobva ennatnote
Fun pastime	Hauska ajanviete	Hehobva noteete
Fun souvenir	Hauska matkamuisto	Hehobva rotuosöto
Functional work community	Toimiva työyhteisö	Oteeva tö isvisio
Funny dog trick	Hauska koirantemppu	Hehobva iphaupe
Future career goal	Tulevaisuuden uratavoite	Neno eolukäv obtrao
futurology	futurologia	nenoda
gaily	koreasti	kakali
galvanotechnology	galvanotekniikka	moTsnpatekda
gamely	miehuullisesti	mähali
gamely	urheasti	hakarli
Garden maintenance	related cooperation	Pihanhoitoon liittyvä yhteistyö
gastronomy	gastronomia	haemda
gemology	jalokivioppi	väkamdav
Gender equality	Sukupuolten välinen tasa-arvo	Cejsidsi välcuva talro
genealogy	genealogia	cejdakada
genealogy	polveutumisoppi	autsihaardav
general medicine	yleislääketiede	tihnaterdä
Generational gap	Sukupolvien välinen kuilu	Cejlyl välcuva diplo
generously	jalomielisesti	vämili
genetic engineering	geenitekniikka	gentekda
genetic psychology	perinnöllisyyspsykologia	eöneafmiterdä
genetics	genetiikka	genda
genetics	perinnöllisyystiede	eöneafvaodä
gently	hempeästi	suitculi
gently	leppeästi	lepli
geography	maantiede	köldä
geology	geologia	moldä
geometry	geometria	piprida
geophysics	geofysiikka	molfysda
geoscience	geotiede	moldä
geotechnics	geotekniikka	moltekda
German studies	germanistiikka	germvosliedaka
gerontology	gerontologia	unjodä
ghostly	aavemaisesti	hokauli
gladly	mieluisesti	mihali
gladly	mieluusti	mihali
Gloomy autumn	Synkkä syksy	Mitakva enkalno
Gloomy crime novel	Synkkä rikosromaani	Mitakva pösorek kakirto
Gloomy outlook	Synkkä tulevaisuudennäkymä	Mitakva nenoloka
gloomyly	synkästi	mitakli
Goal-oriented investing	Tavoitteellinen sijoittaminen	Obtraova tulopaate
Golden childhood memory	Kultainen lapsuusmuisto	Moauva ipmämno söob
Good academic performance	Hyvä opintomenestys	Hava apdav hasak
Good book recommendation	Hyvä kirjasuositus	Hava kirto hapirsa
Good hotel accommodation	Hyvä hotellimajoitus	Hava rotuotol paiptoolte
Good mental well	being	Hyvä mielenhyvinvointi
Good work well	being	Hyvä työhyvinvointi
gracefully	sulavasti	havotuuli
grammar	kielioppi	vosdav
Great fear	Suuri pelko	Piva rak
Great insight	Suuri oivallus	Piva satvoso
Great professional success	Hieno ammatillinen onnistuminen	Väkava votöva saakte
Greatest happiness	Suurin onnellisuus	Pist sakvao
greedily	ahnaasti	teafrali
group theory	joukko-oppi	siodav
Groupwork-related	challenge	Ryhmätyöhön liittyvä haaste
Guided city tour	Opastettu kaupunkikierros	Tudaaven taunlo rauno
Guided group exercise	Ohjattu ryhmäliikunta	Tudiiren iksio uuteo
Guided hobby activity	Ohjattu harrastustoiminta	Tudiiren miteoteete
gynecology	gynekologia	ämretda
gynecology	naistentautioppi	ämretdav
happily	tyytyväisesti	nidfulculi
hard	vaivalloisesti	tesaflili
hardily	pelottomasti	rakejli
hardly	työläästi	tölili
health education	terveysoppi	terdav
Health, well-being  and style	Terveys hyvinvointi ja tyyli	Tervao halivoote  a tyl
Healthy lifestyle	Terveellinen elämäntapa	Forterva eolio
Healthy nutrition	Terveellinen ravinto	Forterva roem
Healthy vegetarian food	Terveellinen kasvisruoka	Forterva epem
Heavy gym workout	Raskas kuntosalitreeni	Hevva vostatolik vohapiirte
hematology	hematologia	hemoda
heraldry	vaakunaoppi	pöermarkdav
Hidden tourist gem	Piilotettu matkailuhelmi	Hidpaaen sirotuo rorae
High educational background	Korkea koulutustausta	Ylva padav kadeob
high-energy physics	suurenergiafysiikka	piporifysda
high-frequency technology	suurtaajuustekniikka	pitihritekda
high-tech	huipputekniikka	ylsttekda
histology	histologia	vivevda
Historic center	Historiallinen keskusta	Undava midtaunlo
Historical attraction	Historiallinen nähtävyys	Undava vokaavao
Historical biography	Historiallinen elämäkerta	Undava eosa
history	historiatiede	undadä
Hobbies, exercising and leisure	Harrastukset, liikunta ja vapaa-aika	Mitesi, uuteo a frino
home technology	kodintekniikka	baltekda
Home, family and relationships	Koti perhe ja ihmissuhteet	Bal baj a mämvicusi
Homemade pizza	Kotitekoinen pizza	Baltooen pitsem
hostilely	vihamielisesti	armili
Hot soup	Kuuma keitto	Läkva kuem
Housing association general meeting	Taloyhtiön yhtiökokous	Tolvirosio virosio visahäp
Human rights related	discussion	Ihmisoikeuksiin liittyvä keskustelu
humanities	ihmistiede	mämdä
hurriedly	kiiruusti	noptuuli
HVAC technology	LVI-tekniikka	LVT-tekda
hydraulic engineering	vesirakennustekniikka	vamtooltekda
hydraulics	hydrauliikka	vomlouysrida
hydrology	hydrologia	sivamlodä
hydrology	vesistötiede	sivamlodä
ideology	ideologia	ide
illicitly	pimeästi	takli
imitation skill	matkimistaito	liteelivote
immunology	immunologia	ögretda
Important career event	Tärkeä uratapahtuma	Curova eolukävhäp
Important customer meeting	Tärkeä asiakastapaaminen	Curova sojo ögkaate
Important life principle	Tärkeä elämänohje	Curova eolida
in a moment	joutuisasti	nopli
in a nutshell	ylimalkaisesti	ylrafli
in a polite way	kohteliaasti	kahaculi
in a popular way	kansantajuisesti	hyjdafili
in a small way	vaatimattomasti	tenidejli
in disbelief	epäuskoisesti	ejuusli
in fact	faktisesti	rilsoli
in quality	laadullisesti	vaoli
in state	komeasti	kali
in terms of money	rahallisesti	rovli
inadequately	puutteellisesti	ejofrili
incomprehensibly	käsittämättömästi	vosooejli
incomprehensibly	vaikeatajuisesti	ongdafili
inconsolably	lohduttomasti	sorvyejli
indecently	säädyttömästi	hastaejli
Independent news media	Riippumaton uutismedia	Obhängejva novsa dafafvo
Independent study	Itsenäinen opiskelu	Autnava apdav frivao
Independent travel planning	Omatoiminen matkasuunnittelu	Autoteva rotuo kasoote
indisputably	kiistattomasti	posvisaejli
informatics	informatiikka	obdafada
information technology	informaatioteknologia	obdafatekdä
information technology	tietotekniikka	datekda
information theory	tiedotusoppi	dafaadav
Innovative gadget	Innovatiivinen vempain	Ideanovva vovö
Inspiring role model	Inspiroiva esikuva	Foryysva edlika
Inspiring supervisor	Inspiroiva esihenkilö	Foryysva edhojo
Interactive story	Interaktiivinen tarina	Välcusiteva öbsasa
Interesting community college course	Mielenkiintoinen kansalaisopistokurssi	Ruhamiva hyjjo davlö davhäp
Interesting podcast	Mielenkiintoinen podcast	Ruhamiva podklirsa
Interesting side project	Mielenkiintoinen sivuprojekti	Ruhamiva sidpitöob
Interesting thesis	Mielenkiintoinen opinnäytetyö	Ruhamiva apdavtekatotö
Interesting YouTube video	Kiinnostava viedeo	Ruhamiiva kahöto
internal medicine	sisätautioppi	inoretdav
internal reading skills	sisälukutaito	inoriiklivote
International airport	Kansainvälinen lentoasema	Hyjsivälva hutol
International food trend	Kansainvälinen ruokatrendi	Hyjsivälva emhäpdir
International work environment	Kansainvälinen työympäristö	Hyjsivälva töraulo
irrevocably	vääjäämättömästi	lourtuejli
Italian pasta food	Italialainen pastaruoka	Itava pastem
Joint hobby	Yhteinen harrastus	Viofva mite
Joint negotiation	Yhteinen neuvottelu	Viofva vilisasoopte
journalism	journalistiikka	daoteeda
journalism	lehdistöoppi	sidapaprdav
judiciously	viisaasti	visli
juicyly	mehukkaasti	mehli
jurisprudence	lainoppi	pösodav
jurisprudence	oikeustiede	ratafdä
kindly	suopeasti	hafali
kinematics	kinematiikka	pipriuoda
kinetics	kinetiikka	uoda
know-how	tietotaito	dalivote
language skills	kielitaito	voslivote
Large screen time	Suuri ruutuaika	Piva tekavö no
laser technology	lasertekniikka	laserkatiktekda
law	lakitiede	pösodä
lavishly	anteliaasti	pirifali
leadership	johtamistaito	diirlivote
learning	oppi	dav
legally	juridisesti	ratafoli
Lesson learned from history	Historian tuoma oppi	Unda aagva dav
lexicology	leksikologia	sisatodav
Liberal values	Liberaali arvomaailma	Pöfajo roköl
library science	kirjastotiede	sikirlödä
life science	biotiede	biodä
Light chat	Kevyt jutustelu	Vehva sivisaate
Light snack	Kevyt välipala	Vehva välem
light theory	valo-oppi	katdav
lighting technology	valaistustekniikka	kaattekda
limitedly	rajoitetusti	teliimli
limnology	limnologia	divamloda
linguistic geography	kielimaantiede	vosköldä
linguistics	kielitiede	vosdä
linguistics	lingvistiikka	vosdä
literacy	kirjoitustaito	kiirlivote
literacy	lukutaito	riiklivote
literary studies	kirjallisuustiede	kirsitodä
Lively city break	Vilkas kaupunkiloma	Sinopteva taunlo urtöno
Local bakery	Paikallinen leipomo	Lova beklö
Local community	Paikallinen yhteisö	Lova isvisio
