Hapir visosolo- a köljär	Better social and world order	Parempi yhteiskunta- ja maailmanjärjestys
Sipjo häkpolyyvo, autgöpöva pöte pötee in häof öfva kuohomvom ejli öbraa edrosi a ratafsi of kio hyj.	A military junta, an authoritarian regime rules in its own bubble without caring about the interests and rights of the entire nation.	Sotilasjuntta, autoritaarinen hallinto hallitsee omassa kuplassaan välittämättä koko kansan eduista ja oikeuksista.
Sipsio a tursivö suup ejratafliva pöte a popitpö, sipsi.	The army and the security apparatus support unjust rule and violence, wars.	Armeija ja turvakoneisto tukee epäoikeudenmukaista hallintoa ja väkivaltaa, sotia.
Postuuta vi tarva bessysi ög tua pöhylsi a hyjjosi a syyta na hahfiejva, ejhemoevva a hagöahejva piri kirek a saf.	They attack other countries and citizens on false grounds and cause a lot of destruction and suffering in a callous, heartless and merciless way.	Hyökätään väärin perustein toisia valtioita ja kansalaisia vastaan ja aiheutetaan tunnottomina, sydämettöminä ja säälimättöminä paljon tuhoa ja kärsimystä.
Ej oota daaven unda, kointu Hitlerof pivaosivvao, ar a gööte it gaaen hyj a tolreeken beslitol a piri mämsi eöönen a autlaevreeken.	History has not been learned, where Hitler's megalomania, hatred and its support took the nation and ruined the infrastructure and many people died and were wounded.	Ei ole opittu historiaa, mihin Hitlerin suuruudenhulluus, viha ja sen kannatus vei kansan ja raunioitti infraa ja paljon kuoli ja haavoittui ihmisiä.
Uscuuta tu sipvosi, ylva tekdä sipsivö, sipsiosi.	They rely on weapons, high-tech war machines, armies.	Luotetaan aseisiin, korkean teknologian sotakoneistoon, armeijoihin.
Mikaata, syt voota ögvova pö yllapaoo vy sip- a tursivö, na amut ej resiva hyj ofraa it.	It is imagined that lasting power can be maintained with the help of war and security machinery, when the common people do not want it.	Kuvitellaan, että voidaan kestävää valtaa pitää yllä sota- ja turvakoneiston avulla, kun kuitenkaan tavallinen kansa ei halua sitä.
Sipsi syy pir kirek tu beslitol, saf biolo a mämsi.	Wars cause a lot of destruction to infrastructure, suffering to nature and people.	Sodat saavat paljon tuhoa infralle, kärsimystä luonnolle ja ihmisille.
Siptolövao pirpaa raulo-ongsi, gaa resrosi ut hyjjosi a raulo göroova obsi.	Military industry increases environmental problems, takes resources away from places that benefit citizens and the environment.	Sotateollisuus lisää ympäristöongelmia, vie resursseja kansalaisia ja ympäristöä hyödyttäviltä kohteilta.
Gnosi	 Solutions	 Ratkaisuja
Unda ripnen padaav, koli tuuen Hitler a hyj of Germlo, na häsi ej sidlopaaen ripnen in nö täva diirjo a pöte.	History already teaches what happened to Hitler and the German people when they did not oust such a leader and administration from the very beginning.	Historia jo opettaa, miten kävi Hitlerin ja Saksan kansan, kun eivät syrjäyttäneet jo heti alussa tällaista johtajaa ja hallintoa.
Ej piit nötee soo kölof romävao a obtraate pihyl custa, in ipva a ratafliva hyl a pöhyl oota sina sakpir il al pitpö, koö yllapaoo sipsio, tursivö, vy ahdayste, rak a ali ahtofao.	One should not start thinking about world domination and the pursuit of superpower status, one is often happier in a small and fair country and state than under coercive rule, which is maintained by the army, the security apparatus, propaganda, fear and bribery.	Ei pidä ruveta ajattelemaan maailman herruutta ja suurvalta-aseman tavoittelua, pienessä ja oikeudenmukaisessa maassa ja valtiossa ollaan usein onnellisempia kuin pakkovallan alla, jota ylläpitää armeija, turvakoneisto, propagandan, pelon ja lahjonnankin avulla.
Ki vos a hyjvao piitif oof ripstrili autpöte, if it oo hanidriva piva iksio leiloli for it.	Each language and nationality should have at least self-government if it is a large enough group territorially for it.	Jokaisella kiellellä ja kansallisuudella tulisi olla vähintään itsehallinto, jos se on riittävän suuri ryhmä alueellisesti siihen.
Hyjsi, evaosi, a vossi piit uut in sop roee vigög, alpolyyejli a ahpircuuejli ejjo talrova.	Peoples, races and languages must get along in harmony with each other, without subjugating and oppressing anyone as equals.	Kansojen, rotujen ja kielien pitää tulla sovussa toimeen keskenään, alistamatta ja sortamatta ketään tasa-arvoisina.
Hyj, siipsio a tursivö piitif sidlopaa aucuva, pivaosivva, tekasva, autispöva a ejrilhava pöte visooli.	The people, the army and the security apparatus should oust the selfish, megalomaniac, damaging, autocratic and dishonest administration in one fell swoop.	Kansan, armeijan ja turvakoneiston pitäisi syrjäyttää itsekäs, suuruudenhullu, vahingollinen, itsevaltias ja epärehellinen hallinto yksissä tuumin.
Syfor pö tuu gnoli intu pä, in beslopöso ej tu ylstpöjo a pösiojosi, ej tu kojo faa forylri pö a limnosi luri teliim edkali tu du limnosi ylstrili.	Since power easily goes to one's head, the constitution should not give too much power to the president or ministers, and limit the length of terms to e.g. two terms at most.	Koska valta menee helposti päähän, perustuslaissa ei pitäisi presidentille eikä ministereille, kenellekään antaa liikaa valtaa ja kausien pituus rajoittaa esim. kahteen kauteen enimmillään.
Ögsio a siliva er hojosi piit faa otee frili, autdeev a autvopiirhav in pöte a for vintraajosi tu nenpöte, itna in pöurkasi oo si hava ifojosi a res kout aphakaa, syt ej autgöpöva pöte aftuu autdeev.	The opposition and many different people must be allowed to act freely, to develop and train themselves to be good in the administration and competitors to the current administration, then there will be several good candidates in the elections and plenty to choose from, so that an authoritarian administration cannot develop.	Opposition ja monenlaisten eri henkilöiden pitää antaa toimia vapaasti, kehittyä ja harjaantua hyviksi hallinnossa ja kilpailijoiksi nykyhallinnolle, silloin vaaleissa on useita hyviä ehdokkaita ja varaa mistä valita, ettei autoritaarista hallintoa pääse kehittymään.
Nul vosafri tu kiliva tarvao, hyjvälsiva rataf a mämratafsi ahreksi.	Zero tolerance for all kinds of injustice, violations of international law and human rights.	Nollatoleranssi kaikenlaiselle vääryydelle, kansainvälisen oikeuden ja ihmisoikeuksien rikkomuksille.
Vy poptipö patiisen komide ej in unda oo auttukaaen vyroteliva, a ej in it ipripstli frivao, bajsonvao a talro vigög ki hyjjosi a hyjsiosi lisatee.	Communism established by violence has not proven to be progressive in history, and it does not even respect freedom, fraternity and equality among all citizens and nations.	Väkivalloin pystytetty kommunismi ei historiassa ole osoittautunut edistykselliseksi, eikä siinä edes vapautta, veljeyttä ja tasa-arvoa kaikkien kansalaisten ja kansakuntien kesken noudateta.
Hava talpö, rattarda, räjrosta, koin oo a forfärosta a dihva rosta, oo gaaen hyjsio dev eddir hastli tu visoslova, ekodäva a rostava ögvova dev a turvao a hyjjosi sakvao.	Good democracy, ethics, a mixed economy, with both a market economy and a public one, has moved the nation's development forward in the best way towards social, ecological and economic sustainable development and security and the happiness of the citizens.	Hyvä demokratia, etiikka, sekatalous, jossa sekä markkinataloutta että julkista, on vienyt kansakunnan kehitystä eteenpäin parhaiten yhteiskunnalliseen, ekologiseen ja taloudelliseen kestävään kehitykseen ja turvallisuuteen ja kansalaisten onnellisuuteen.
Visoslo, koin hava hova a rattarva rosi oo in hapircu, aag ögvovao, us a nera itli for ofnova li kikinova sak.	A society where good spiritual and ethical values are popular brings endurance, faith and hope for both temporal and eternal happiness.	Yhteiskunta, jossa hyvät hengelliset ja eettiset arvot ovat suosiossa, tuo kestävyyttä, uskoa ja toivoa niin ajalliseen kuin iankaikkiseen onneen.
Autvispiir jasi hyjjosi a pöteejosi!	Be wise, citizens and rulers!	Viisastukaa kansalaiset ja hallitsijat!
Foraaf ajsi ratva a uscuva da, apdaav a daav jasi ut davofisi!	Get correct and reliable information, study and learn from experiences!	Hankkikaa oikeaa ja luotettavaa tietoa, opiskelkaa ja oppikaa kokemuksista!
Ej sitedaav jasi intuni tuvepä unva soviksi, kosi oo tee-en in unda!	Don't learn the hard way from old mistakes, what has been done in history!	Älkää opetelko kantapään kautta vanhoja virheitä, mitä historiassa on tehty!
Deev, tenoov jasi!	Develop, innovate!	Kehittäkää, uudistakaa!
Ej ahofraa jasi tuaof öfro, molleilosi a hyjsiosi a pöhylsi tu aut a alle jasiof pö!	Do not covet other people's property, lands and peoples and states for yourselves and under your power!	Älkää himoitko muiden omaisuutta, maa-alueita ja kansoja ja valtioita itsellenne ja valtanne alle!
Ej alpolyy jasi tuasi!	Don't put others down!	Älkää alistako muita!
Ej oo honva it, syt pihyl custa aafta a it suppuuta vy popitpö sivö a ierva yyste, mut ki hyjjosi isvi tool fainide visoslo, koin rilli ki oof hava a sakva oo.	It is not honorable that the position of a superpower is obtained and it is promoted with a mechanism of violence and perverse influence, but all citizens together build an ideal society where everyone is really good and happy.	Ei ole kunniallista se, että suurvalta-asema saadaan ja sitä pönkitetään väkivaltakoneistolla ja kierolla vaikuttamisella, vaan kaikki kansalaiset yhdessä rakentavat ihanneyhteiskuntaa, jossa todella kaikilla on hyvä ja onnellista olla.
Autmiid jasi deev ripnen aafen jasiof öfva mol, eloote leilosi, ej auträjruu forylri a yys tuasiof sosi aloli edrorauri soote!	Focus on developing your already acquired land, your residential area, don't get too involved and influence other people's affairs on the basis of privileged thinking!	Keskittykää kehittämään jo saatua omaa maatanne, asuma-aluettanne, älkää sotkeutuko liiaksi ja vaikuttako muiden asioihin etupiiriajattelun pohjalta!
Tihnakölliva rattarda a cuhah piitne a oo hava makrateoo.	Universal ethics and morality should and should be cherished.	Yleismaailmallista etiikkaa ja moraalia tulee ja on hyvä vaalia.
If tuasi tee tarli, ej ajsi tee tarli, it ei rataaf ajsi tee tarli.	If others do wrong, let us not do wrong, it does not justify us to do wrong.	Jos muut tekevät väärin, älkää me tehkö väärin, se ei oikeuta meitä tekemään väärin.
Tee jasi a tee ajsi hapiirte a kitanva hapiirte, görilsaali soviksi a teaafli ahhafali a faali ahhafali a keerli a haforahfaali syyen tekassi tu tuasi a aut! Ki oof mämro, ejkojo oo yllireva il tuasi, ej jasi mikaa a siteuus a it.	Do and let us do repentance and daily repentance, admitting mistakes and asking for forgiveness and forgiving and repairing and making amends for the damage caused to others and to ourselves! Everyone has human dignity, no one is superior to others, let's not imagine and believe that.	Tehkää ja tehkäämme parannus ja jokapäiväistä parannusta, tunnustaen virheitä ja pyytäen anteeksi ja antaen anteeksi ja korjaten ja korvaten aiheutettuja vahinkoja muille ja itsellemme! Jokaisella on ihmisarvo, kukaan ei ole ylivertainen muita, älkäämme kuvitelko ja uskotelkokaan sitä.
Ki oof öfva povovaosi, opvaosi a ahva vofouliosi, honpiofra atuaitva (ati.), kosi piit pötee vy Hava Ho po syyejli tekas tu aut, tuasi a kiova hyjsiosi.	Everyone has their own strengths, weaknesses and bad tendencies, ambition, etc., which must be controlled by the power of the Good Spirit without causing harm to oneself, others and entire nations.	Jokaisella on omat vahvuudet, heikkoudet ja pahat taipumukset, kunnianhimo yms., jotka pitää hallita Hyvän Hengen voimalla aiheuttamatta vahinkoa itselle, muille ja kokonaisille kansakunnille.
Ko vy popitpö a sip önutli viin?	What does violence and war win in the end?	Mitä väkivallalla ja sodalla lopulta voittaa?
Mäm eo oo ulva, ut ki piit ofuur, ut piva ofnova pöhyl, pö, ritsvao a hon.	Man's life is short, everything must be given up, the great temporal kingdom, power, wealth and honor.	Ihmisen elämä on lyhyt, kaikesta on luovuttava, suuresta ajallisesta valtakunnasta, vallasta, rikkaudesta ja kunniasta.
Ooko önlo itne kinova halo taj ahlo, erisli it oof rilvaoli ro a curo.	Whether the final destination is eternal heaven or hell, only that has value and meaning in reality.	Onko loppupaikka sitten ikuinen taivas vai helvetti, vain sillä todellisuudessa on arvoa ja merkitystä.
MoAuva pöreg: Ko ja ofraa tu aut piit tee, tee ja it tu tuasi! Ko ja ej ofraa tu aut piit tee,ej ja tee it tu tuasi.	Golden rule: What you want done to yourself, do it to others! What you don't want done to yourself, don't do it to others!	Kultainen sääntö: Minkä haluat itselle tehtävän, tee se muille! Mitä et halua itselle tehtävän, älä tee sitä muille!
