VosaFrequency	Vosa	English	Finnish
34	amut	in spite of the fact; yet; nevertheless; however; anyway; and yet; nonetheless	kuitenkin; kumminkin
34	davoo	can; know	osata
34	leibootl	can	purkittaa
34	leibotl	can; pot; jar	purkki; tölkki
34	votee	be able to; can	pystyä; kyetä
35	tu ajsi	to us; us	meille
36	ne	after	jälkeen; kuluttua
36	rafla	about	tienoilla
36	rafli	nearing; somewhat; roughly; rather; quite; not far from; just about; fairly; comparatively; around; almost; all but; about; nearly	melkein; aika; varsin; verrattain; pyöreästi; miltei; melko; lähes; likipitäen; liki; kieppeillä; korvilla; lähestulkoon
36	rafri	nearly; somewhat; fairly; about; moderately	miltei; melko
36	sikratli	scattered; here and there; about; scattered around	hujan hajan
36	sujli	circa; roughly; some; thereabouts; approximately; about; around	summittain; suunnilleen; noin; likimain
36	öb	about	jostakin; -sta
37	ifko	if	josko
38	häsi ej	they don't	eivät; he eivät
38	ikpapr	lobe; page; sheet; strip	liuska
38	kirsid	page	sivu
39	ajof	mine; my	minun
39	edönva	last; past; recent	viime
40	ööf	has got; possess; have got; has; own	omistaa; omata
41	seek	look for; quest after; retrieve; search; seek; seek out; go after	etsiä; hakea
41	seekte	retrieving; seeking; search; retrieval; quest; prospecting; exploration; searching	etsintä; hakeminen; haku; etsiminen
41	siejvarmaap	feel one's way; search; scrabble; probe; grope; finger; fumble; clutch at; cast about; flounder	hapuilla
41	tajli	although; though	vaikka
42	ejrovriva	gratuitous; complimentary; costless; free; free of charge; gratis	ilmainen
42	friuur	loose; set loose; set free; absolve; release; redeem; liberate; free; exonerate; emancipate; exempt	päästää irti; vapahtaa; vapauttaa
42	friva	disengaged; vacant; free; detached; unconstrained	vapaa
42	itsi	they; them	ne; niitä
42	rovfaejva	cost-free; free; gratuitous	maksuton
42	teuur	free; extricate; untie; unfasten; undo; uncouple; remove; release; detach; extract; draw; dislodge; disentangle; disengage; disconnect; loosen	irroittaa; irrottaa
42	ur	loose; unscrewed; unhooked; unfastened; unstuck; off; free; disengaged; disconnected; away; undone; liberate	irti
42	yvejva	unfettered; untrammeled; unobstructed; unimpeded; unhampered; unchallenged; qualified; free; competent; allowable; untrammelled; unconstrained	esteetön
43	jänna	in the year	vuonna
44	ajsiof	our; ours	meidän
45	iska	number one; one	ykkönen
45	vy it	with it	sillä
46	pipri	proportions; size; measure; dimensions	koko; mitta
46	pivao	bigness; greatness; largeness; magnitude; scope; stature; vastness	koko; suuruus
46	tua	other; remaining; another; additional; else	muu; toinen
47	forhaa	be fit for; do; be good enough; be acceptable; be suitable	kelvata; olla tarpeeksi hyvä
47	kojosi	who (there are); who	jotka; keitä; ketkä
47	oo vova	be possible; do	olla mahdollista; käydä päinsä
47	syy	bring; cause; do; inflict; make	aiheuttaa
47	tee	commit; do; does; make; perform	tehdä; tekee
48	a ej	and not; neither; nor	eikä
49	dafaate	announcement; bulletin; information; manifestation; newsletter; note; notification	tiedotus; tiedoksianto; tiedonanto
49	lisaate	counselling; guidance; counseling; advise; information	neuvonta
49	obdafa	info; information	info; informaatio
49	obdasi	info; information	tiedot
49	öbda	info; information; knowledge; acquirement	tieto
50	en	ere; formerly; previously; prior; sooner; to (clock); before	ennen; vaille kelloajasta
50	isno	time	kerta
50	no	time; term; stretch; stint; age; period	aika
50	noiplo	point in time; time; moment	ajankohta
50	nopaa	schedule; time	ajoittaa
50	novono	time	kellonaika
51	häsi	them; they	heitä; he
51	ätli	like that	noin
52	ikleilo	lot; site; column	palsta
52	kojo-of	whose	jonka; kenen
52	tömol	construction site; worksite; site	työmaa
54	kaedle	up	esille
54	tisdirtu	up	pystyyn
54	tuvesila	up	jalkeilla
54	ylla	high; high up; overhead; up	ylhäällä
54	yltu	upwards; up	ylös
54	yvfulmu	up	umpeen
55	fivhyn	May	toukokuu
55	meej	possibly is; presumably is; probably is; may; be probably; apparently is; perhaps is	lienee; saattaa; voida
57	saaen	said	sanottu; sanoi
58	errili	extremely; highly; extraordinarily; exceedingly; ever so; very	kovin; hyvin; erittäin; ani; sangen
58	hali	nicely; well; goodly; very	hyvin; perin
58	häsiof	their; theirs	heidän
58	itsiof	their; theirs	niiden
59	novdasi	news	kuulumiset
59	novsa	new information; news	uutinen
59	novsasi	news; tidings	uutiset
59	tusa	tidings; message; news	sanoma; viesti
60	inlirekli	out; torn	puhki
60	kaedla	showing; visible; out; at issue	esillä
60	kaut	out	ilmi
60	nitu	out; out of; outside	ulos
60	piri	slew; a lot of; substantially; plenty; oodles; much; lot of; lot; large number; great deal; good deal; lots of	paljon; kosolti
60	tu ön	out	loppuun
60	tudih	out	julki
60	tued	emerge; forth; forward; out	esiin
61	teo	operation; utilization; utilisation; usage; use	käyttö
61	teoo	exert; utilize; use; employ; consume; apply; utilise	käyttää
61	tetoriip	use up; use; consume; expend	kuluttaa
62	ejri	not any; any; at all	yhtään; ylipäänsä; ylipäätään; lainkaan; laisinkaan; ollenkaan
62	ejö	nought; nothing; aught; any; anything	ei mikään; mitään; mistään; ei mitään; mikään
62	jänsi	years	vuotta
62	ko sattaj	any; whatever; whatsoever	mikä tahansa; minkä tahansa; mitä vaan
62	öjo	somebody; someone; anyone; anybody; any	joku
63	itla	there	siellä
63	itle	there; thither	sinne
63	oble	there; to the destination	perille
63	ätin	there	tuossa
63	ätle	over there; there	tuonne
64	dakavoo	realise; understand; see; get it; comprehend; grasp	ymmärtää
64	kee	see; take care; worry; care; cater; mind	huolehtia
64	kona	at which time; when	jolloin; koska; milloin
64	satvokaa	notice; see; note; find; espy; discover; detect; be noting	huomata
64	vokaa	see	nähdä
65	denen	newly; only; not till; just; not until	vasta
65	eris	lone; solitary; sole; lonesome; only	ainoa; ainut
65	iserli	merely; only	pelkästään
65	syt ej	lest; that not	ettei; että ei
66	itsy	that's why; consequently; thus; therefore; thereafter; because; hence; so; because of that; that for	sen vuoksi; siksi; joten; sen takia
66	itsy a	so	jotenka
66	koin	in which; where; wherein	jossa; missä
66	syklirli	therefore; consequently; ergo; namely; so; then	nimittäin; siis
66	syklirli a	so	siispä
66	tuasaali a	so	elikkä
68	kona a	anytime; when; sometimes; once; sometime	jolloinkin; milloinka; milloinkin
69	auttöön tusid	contact; turn to	kääntyä puoleen
69	du	number two; two	kahta; kaksi
69	tat	touchdown; contact; touch	kosketus
69	vio	connexion; contact; context; fellowship; link; connection	konteksti; yhteys
69	vioaap	contact	ottaa yhteyttä; kontaktoida
69	vioap	contact	kontakti; yhteydenotto
70	cuu	regard; take an attitude	pitää; suhtautua
70	paoo	hold; keep	pitää
70	piit	gotta; have got to; have to; must; shall	pitää; täytyy; täytyä
70	täin	here; herein; in this	tässä
70	täla	here	täällä
70	täle	hither; here	tänne
70	täna	at this hour; then; at this time; here	tähän aikaan; tällöin
70	öbraa	like	pitää; tykätä; välittää
71	fäf	business; commerce; deal; trade; transact	kauppa
71	fäflo	shop; store; mart; business	liike; kauppa; kauppapaikka
71	fäfote	dealing; transactions; transaction; business; dealings	bisnes; liiketoimi; liiketoiminta
71	so	errand; question; point; matter; job; thing; concern; case; business; affair; issue; fact	asia
71	tralöote	entrepreneurship; business	yritystoiminta
71	ylli	over; in excess of; beyond	yli; ylitse
72	pirobli	moreover; in addition; furthermore; additionally	lisäksi
73	net	network; netting; net; meshwork; mesh; web	verkko
74	ali a	also	niin ikään
75	aohka	now	kas
75	nenpir	now	nyttemmin
75	välejnen	straight off; straightaway; right away; now; instantly; immediately; directly; at once; straightway	heti; oitis
76	edvyy	give; encourage; kick in; help; support; facilitate; assist; favour; further	edesauttaa
76	kina	constantly; everytime; ever; forever; at all times; always; continuously; continually	ikinä; alinomaa; ainiaan; aina; alati
76	lida	recipe; instruction; guide; guideline; help	ohje
76	vyo	remedy; support; succour; aid; subsidy; resort; refuge; recourse; assistance; help; relief	apu
76	vyy	help out; support; succor; improve; help; enable; bear a hand; assist; aid; lend a hand	auttaa
76	vyy ja	help	auta
77	aaf	acquire; gain; get; obtain; receive	saada
77	auttuu	get	joutua
77	foraaf	get; obtain; attain; acquire; procure	hankkia
77	foraftee	get	hommata
78	tuit	thereto	siihen
79	edkali	for example; for instance	esimerkiksi
79	kamicu	point of view; view; viewpoint; vision; insight; aspect; opinion	näkökanta; näkemys; aspekti
79	loka	view; scene; outlook; panorama; prospect	näkymä
79	sikaa	view; watch	katsella
79	sitarkkaa	look at carefully; view; examine; study mentally; survey	tarkastella
79	vokaleilo	sight; view; vista	näköala
80	itin	in that; therein	siinä
80	la net	online	verkossa
80	lanet	online	online
81	aut	personally; self	itse
83	denöva	first; following; next	ensi
83	ejpirnen	any more; anymore	enää; enään
83	enpir	rather; first; ere; sooner	ennemmin
83	isva	first; foremost	eka; ensimmäinen
83	isvana	firstly; first; at first	ensin; ensiksi
85	koli	in what way; in what manner; by what means; how	mitenkä; miten; kuinka
86	-if	would	konditionaali
86	vooif	would; could	voisi
87	bön	fire	tuli
87	muuen	became	tuli
87	uuten	came; arrived	saapui; tuli
88	intuasi	among other things	mm.; muun muassa
90	jur	root	juuri
90	jusna	just	juuri
90	rafnen	just now; lately; latterly; newly; of late; recently; freshly	juuri; äsken; hiljattain; hiljan; hiljakkoin; äskettäin
91	sersi	services	palvelut
91	ussersi	services	seurat
92	in Finlo	in Finland	Suomessa
92	ipsi	few; one or two; a few; some	jokunen; muutama
92	öjosi	some	jotkut
92	öri	somewhat; some	jokseenkin; jonkin verran; jossain määrin
92	ösi	some	joitakin; jotkin
93	aafen	gained; received; obtained; got; gotten	saaneet; saatu; sai
93	täsi	these	näitä; nämä
94	autkliik	snap; click	naksahtaa; raksahtaa; napsahtaa
94	kliik	clinch; click	napsauttaa
94	klik	click	klikkaus
95	aj vokaaen	I saw	näin
95	täli	hereby; like this; this way; thus	täten; näin
96	Aj oo	I am	Minä olen; olen
96	itva li	like	sellainen kuin
96	lioli	in way; like; in the manner of; in manner; in accordance with; pursuant to	tavoin; mukaisesti; tapaan; tavalla
96	liva	kind; like	kaltainen; lainen
97	hajoser	church service; divine service; religious service; service; Sunday service; worship; worship service	jumalanpalvelus
97	hastaa	recondition; service; repair; redecorate; refurbish; renovate	kunnostaa
97	seerte	service	palvelu
97	ser	favor; favour; service	palvelus
97	sives	table service; dinnerware; tableware; dish; service	astiasto
97	stake	inspection and repair; maintenance; overhaul; service; servicing; supply; supplying; support	huolto
97	stakee	service; supply	huoltaa
98	ks	x	x
99	anen	again	taas
100	kees	discover; find	löytää
100	kesob	find; finding; trove; discovery	löytö
100	mä	husband; male person; man	mies
100	obvokaa	comprehend; detect; find; note; notice; observe; perceive	havaita; panna merkille
101	er	separate; several; particular; diverse; distinct; different; varying	eri
101	rovri	fare; price; rate; tariff; toll	hinta; taksa; tariffi
101	rovripaa	price	hinnoittaa
101	sirovripaa	charge; price	hinnoitella
102	dathed	date	taateli
102	ravijoo	court; date	seurustella
102	siögkaa	date; go out with	tapailla
102	tanri	date	päivämäärä; päiväys
102	tanrii	date	päivätä
102	ög	versus; vs.; against	vastaan
102	ögkaatesi	date	treffit
103	bäklo	back; rear	selusta
103	bäkve	back	selkä
103	kadedirtuu	back	peruuttaa
103	kadeik	back; hind; rear	takaosa
103	retu	back; re-	takaisin
104	hast	best; top	paras; parasta; parhain
104	jursilif	top	naatti
104	lifurkuut	cut off the stalks; cut off the tops; top	listiä
104	rauuvo	top	hyrrä
104	ruj	top; treetop	latva; latvus
104	ylik	top; upper part	yläosa
104	yllast	highest; supreme; top; topmost; uppermost	ylimmäinen; ylin
104	ylstlo	top-notch; vertex; top; tip; summit; ridge; pinnacle; peaky; peak; header; crown; crest; coping; apex; pinnace	harja; huippu; laki
105	hyj	populace; folk; nation; people	kansa
105	jori	crowd; people; population	väestö; väki
105	mämsi	folks; people; multitude; mass	ihmiset
105	ut mi	out of mind	mielestä
106	itna	then	silloin
107	intumaark	enter; list	merkitä luetteloon
107	luriik	list	listata
107	lurik	catalog; catalogue; directory; inventory; list; roster	lista; luettelo
108	ersa	name; proper name; proper noun	erisnimi; nimi
108	ersaa	appoint; designate; name; nominate	nimetä
108	ersafaa	appoint; nominate; name; entitle; denominate	nimittää
108	ripstli	at least; least; at the least; anyhow; at the very least; anyway	ainakin
108	siersaa	name	nimitellä
109	ratafliva	fair; just; righteous	oikeudenmukainen
110	allali	inside out; over; reversed; upside down; upturned; wrong side up	nurin
110	ylle	over	ylle
111	custa	stage; standing; state; status	asema
111	dafaa	make known; state; send word; reveal; report; put across; promulgate; notify; inform; denote; communicate; bulletin; announce; proclaim	tiedottaa; ilmoittaa
111	darilkasaa	ascertain; note; state; take note	todeta
111	edtusaa	offer; submit; express; propound; state	esittää
111	ikhyl	state	osavaltio
111	okau	form of existence; state	olomuoto
111	pöhyl	state; country; empire; kingdom; land; nation; realm	valtakunta; valtio
111	pöhylöfva	governmental; state-owned; state	valtiollinen
111	rafrili	nearly; approximately	likimäärin; lähes
111	sta	state; condition	tila; vointi
112	jän	year	vuosi
112	voota	can be	voidaan
113	ik	share; portion; moiety; part	osa
113	obik	destiny	osa
113	tan	day; daytime	päivä
114	inle	into	sisälle
115	sähpagat	email; e-mail	sähköposti
116	duka	deuce; two	kakkonen
116	je	jah; yoo; yes; yep; yea; aye; yeah	kyllä; juu; joo; jaa
117	tersta	health; state of health	terveydentila; vointi
117	tervao	health; soundness	terveys
119	duva	second	toinen; toka
119	köl	world	maailma
119	mämevao	human race; humankind; humans; mankind; world	ihmisrotu
120	lifhäkvo	birch switch	vasta
121	deva	following; next; subsequent; ensuing	seuraava
121	hava	good; good ones; proficient; welfare	hyviä; hyvä
121	mu deva	next	seuraavaksi
121	rafst	nearest; proximal; next; closest; nighest	lähin
121	rafviva	abutting; next; flanking; bordering; contiguous; flanked	viereinen
122	jea	absolutely; even	peräti; vieläpä; jopa
122	liafvooen	accustomed; used; used to	tottunut
122	teooen	wore; expended; secondhand; spent; used	käytetty; käyttivät
123	fulli	quite; wholly; utterly; totally; diametrically; fully; downright; entirely; completely; perfectly	aivan; ihan; täysin; vallan
123	katuu	carry; course; drive; go; motor; prompt; race; ride; run	ajaa
123	tuu	pass; betake; go; goes	mennä; menee; käydä
123	tuut	stencil paper; voyage; wend; wander; walk; traverse; tour; proceed; pass; move; go around; go; advance; circulate; sidle	kulkea
123	urtuu	leave; blastoff; wend; depart; go	lähteä
123	uu	move; go	liikkua
124	mejli	maybe; perchance; perhaps	ehkä; kenties
125	forafte	job; project; task; work	homma
125	iptö	apis; chore; doing; task; work	puuha; askare; askar
125	otee	act; function; operate; work	toimia
125	siritö	work	aherrus
125	sitöö	is working; work	työskennellä; työskentelee
125	sitööte	work; working	työskentely
125	tre	three	kolme
125	tö	job; work	duuni; työ
125	töto	opus; work	teos
125	töö	work	tehdä työtä
125	voyys	work	purra
125	ysrii	affect; impact; work	tehota
125	yys	work; act on; affect; have effect; influence	vaikuttaa
126	noaap	last; take time; continue	kestää
126	rena	at the same time; while; withal	samalla; samalla kun
126	önst	last; latest; most recent	viimeisin
126	önstna	last	viimeksi
126	önva	final; last; ultimate	viimeinen
127	ipripstli	even; at least	edes
127	rist	most; greatest	enin
127	ristli	most	eniten
127	sirist	most	useimmat
128	tosi	products	tuotteet
129	ejli	exclusive; without; devoid	vailla; ilman
129	rohö	music	musiikki
130	vy tä	by this	tällä
130	ääf	buy; purchase	ostaa
131	da	datum; data	data; tieto
131	dasi	data	tiedot
131	simoso	data; material	aineisto
132	kasotee	compile; compose; draw up; make; write	laatia
132	mark	character; indication; make; mark; sign; token	merkki
132	roaaf	merit; be worthy of; deserve; earn; gain; make	ansaita
132	too	fabricate; yield; produce; manufacture; make; bring forth; bear; generate	tuottaa; valmistaa
132	vovöö	make; build	värkätä
134	piitif	ought; should	pitäisi
134	repirnen	even now; still	yhä
135	to	preparation; product	valmiste; tuote
136	lijär	system	järjestelmä; systeemi
136	siev	system; apparatus; organism	elimistö
137	ippoul	pale; pillar; pole; post; stake	paalu; tolppa
137	oteetelo	post	toimipaikka
137	pagaa	post; transmit; dispatch; consign; broadcast; send	lähettää
137	pagaat	mail; post	postittaa
137	pagat	mail; post; postal	posti; posti-
137	töro	post; office	virka
139	ipri	a little; little; small amount; whit; a bit	pikkuisen; vähän; rahtunen
139	pitaunlo	city; metropolis; metropolitan	kaupunki; metropoli; suurkaupungin; suurkaupunki
140	amut ej	however, no	kuitenkaan
141	pirpaa	augment; add	lisätä
142	liote	convention; policy; practice	käytäntö
142	pögöte	policy; politics	politiikka
142	reituo	bus; line; policy	linja
143	isna	once; onetime; one-time; sometime; formerly	kerran
143	kasiö	digit; number; numeral	numero
143	kasiöö	number	numeroida
143	ri	amount; number; quantity	määrä
143	siö	number	luku
144	Finlo	Finland	Suomi
144	itliva	of that kind; such	moinen; senkaltainen
144	itsiva	such	sellaisia
144	itva	such; that kind of; of that kind; that sort	sellainen; sellaista; semmoinen
145	mihaa	please	miellyttää
145	oo ja hava	please	ole hyvä; ole kiltti
145	oo jasi hava	please	olkaa hyvä
146	oftukana	available; on offer; as an offer	tarjolla; tarjona
146	voafna	obtainable; gettable; available; accessible; within easy reach	saatavilla; saatavissa; saatavana
147	toojorataf	copyright	tekijänoikeus
148	pogaagjo	bearer; carrier; porter; support	kantaja
148	roe	bread and butter; sustenance; support; living; keep; livelihood	elanto; elatus
148	sisuup	support; supported with	kannatella
148	sup	support; backing; prop; strut; subsidization; subsidy	tuki
148	suup	back up; lean; prop; subsidize; support; sustain; underpin; uphold	tukea; kannattaa
148	suupte	support	kannatus
148	ögsupvo	rest; support	noja
150	dein	astern; trailed; after; trailing	perässä
150	detu	abaft; after; astern	perään
150	kadetu	behind; in the rear; abaft; after	taa; taakse
151	hastli	best	parhaiten
152	siprog	repertoire; repertory; software	softa; ohjelmisto; repertuaari
153	ätna	then	tuolloin
155	hariva	fair sized; good	aimo
156	kahöto	video	video
157	mapdiplo	well; gully; gulley	kaivo
157	noa	well; well then	no; noh
157	terva	hale; healthy; sound; well	terve
157	yr	away; off	pois
158	ylstpöjo	president; presidential	presidentin; presidentti
159	in kosi	in which; where	joissa
159	kolo	where	kussa
159	kotu	where to; whither; where	jonne; kuhunka; minne
162	dihva	public	julkinen
162	hökasio	audience; public	yleisö
164	faa	endow; yield; let; administer; impart; grant; give; dispense; deal; confer; allow; allocate; allot; distribute	antaa
164	le ylva	high	korkealle
164	ylva	towering; tall; soaring; high	korkea
165	davlo	school	koulu
165	davlosio	school	koulukunta
165	davlö	academy; college; educational institution; institute; school	akatemia; instituutti; opisto; oppilaitos
165	sio	horde; swarm; shoal; bevy; set; school; group; gaggle; flock; cluster; troop; covey	parvi; liuta; flokki; joukko
166	inli	across; through	läpi; lävitse; halki
166	välinli	between; through	välitse
166	ylrili	overly; unduly; overmuch; too	liiaksi; liian
167	meejif	might	saattaisi; voisi
168	dutaj	both; both of them; each	kummatkin; kumpikin; molemmat
168	obki	each; everyone	kukin
168	pöjosio	government; regime; cabinet; board	hallitus; kabinetti
170	tu tä	over here	tähän
171	nukao	review	katsaus
171	obrosa	write-up; critical review; criticizing; critique; notice; review; review article	arvostelu
171	obrosaa	rail; review; reprimand; censure; criticise; criticize	arvostella
171	obtarkkaate	review	katselmus
171	sitarkkaate	examination; inspection; review; scrutiny	tarkastelu
171	vistanukao	situation review; review	tilannekatsaus
173	ippösa	ascription; decree; instruction; order; ordinance; prescript; prescription; regulation; stipulation	määräys
173	ippösaa	ascribe; order	määrätä
173	jär	sequence; orderliness; ordering; marshalling; order	järjestys
173	pötusaa	command; instruct; order; prescribe; tell	käskeä
173	tif	order; subscription	tilaus
173	tiif	order; subscribe	tilata
174	ylpiri	enormously; excessively; extremely; hugely; tremendously; very	ylen
174	yylvamno	flood tide; high tide	vuoksi
175	isofvao	privacy	yksityisyys
176	kirto	book	kirja
176	rees	allocate; book; reserve	buukata; varata
176	sina	oft; regularly; many times; frequently; frequenting; frequent; often	monasti; usein; monesti; useasti
176	sokir	recordbook; book; deed; document; dossier	asiakirja
177	aj ooen	I was	olin
178	basipsio	company	komppania
178	tralö	corporation; venture; enterprise; company; business organization; firm; corporate	liikeyritys; yritys-; yrityksen; firma; yritys
178	vijosio	suite; retinue; troupe; society; cortege; club; company; entourage	seura; seurue; sviitti
178	virosio	corporation; company; corporate	yhtiö; yhtiö-
180	riik	read	lukea
180	riiken	read	luettu; lukenut
181	apsio	potpourri; cluster; group; medley	sikermä
181	autiksio	bloc; cartel; group; grouping	ryhmittymä
181	autiksioo	group; gather	ryhmittyä
181	iksio	squad; group; faction; gang	poppoo; ryhmä
181	iksiopaa	classify; group; divide	ryhmittää; jaotella; ryhmitellä
181	öbsasaaen	narrated; told	kerrottu; kertoi
182	cejsid	gender; sex; sexual	sukupuoli; sukupuoli-
182	piva	bulky; eminent; grand; great; huge; large; major; mighty; big	iso; kookas; suuri
182	visem	sex	seksi
183	ahnid	anxiety; agony; difficulties; distress; emergency; extremity; grief; need; predicament; straits; destitution	hätä
183	nid	need; demand	tarve
183	niid	need; require	tarvita
183	teniid	necessitate; need; obligate; take; demand; claim; ask; require; insist	penätä; vaatia
184	si	various; multiple; multi; many	monet; useita; usea; moni; monta
185	teoojo	user	käyttäjä
187	teil	tail	häntä
189	höjuus	tune up; tune; soup up; set; attune; cock	virittää
189	juspaa	calibrate; set; tune; adjust; adapt; regulate; readjust	säätää; kalibroida; rukata
189	kadeloote	set; staging	lavastus
189	lopaa	place; put; set; stick in; position; posit; fix; enter; enclose; deposit; arrange; situate; lay	asettaa; laittaa
189	lopaaen	laid; set; put; placed; introduced; inserted; entered; applied; posed	asetettu
189	paa	put in; stick in; set; insert; lay down; place; put	panna; pistää
189	seri	sequence; serial; series; set; succession	sarja; sarja-; setti
190	al	below; underneath; underlying; under-; under; beneath; hereunder	ali-; alla
190	alle	under	alle
190	alli	beneath; under	alitse; ali
190	ejna	ever; never	ei koskaan; koskaan; milloinkaan
191	kösipjo	five-star general; full general; general	kenraali
191	tihnakölliva	cosmopolitan; general; global; universal; worldwide	kosmopoliittinen; yleismaailmallinen
191	tihnava	usual; catholic; common; frequent; general; generic; overall; prevailing; prevalent; rife	geneerinen; yleinen; yleis-
192	aap	take up; get hold of; take; take on	ottaa
192	daka	study; scrutiny; research; investigation; examination; inquest	tutkimus
192	dakaa	peruse; survey; study; scrutinize; investigate; inquire; explore; examine; enquire; research	tutkia
193	nööen	undertook; began; undertaken; begun; started	alkanut; alkoi
193	yldavlö	academia; college; university	korkeakoulu; yliopisto
194	ishyn	January	tammikuu
195	nöö	recommence; undertake; take something up; start; start the wheels rolling; set in motion; resume; venture on; begin; originate; take its origin; be originated; begin anew; commence; get going on; initiate; onset; be founded	alkaa
195	yvmetto	armour; mail; armor; tank	panssari
196	ful	brimming; crammed; fraught; full; replete; stuffed; teeming	täynnä
196	fulaafen	sated; saturated; full	kylläinen
196	fultu	full	täyteen
196	fulva	full; entire; complete; whole	täysi
197	kaloto	map	kartta
197	kalotoo	chart; map; plot a map	kartoittaa
198	paooen	held by; kept; wore	pitivät; pitämä; piti; pidetty; pitänyt
198	öbraaen	liked; popular	piti; pitänyt; pidetty
199	prog	executable; program; programme	ohjelma
199	proog	program	ohjelmoida
200	eo	aliveness; life	elo; elämä
200	eolimnova	life	elinkautinen
200	ho	life; spirit	henki
200	välla	between	välillä
200	välna	between; occasionally	välillä
201	daa	know	tietää
201	kavodaa	know	tuntea
201	livotee	know; master	hallita; taitaa
203	lio	wont; way; method; manner; habit; custom; fashion	metodi; tapa
