Vosa	VosaParts	Finsi	Engsi
ahö	ah-ö	pahus	damn; heck
ako	a-ko	entä; entäs	how about; what about
alg	alg	levä	alga
ali	a-li	myös; myöskin	too; also
alo	al-o	pohja	base; bottom; sole
aoh	aoh	ah	ah
asa	a-sa	sidesana; konjunktio	conjunction; conjunctive; connective
aut	aut	itse	personally; self
avo	a-vo	aura	plough; plow
a-ö	a-ö	aakkonen	letter of the alphabet
ba-	ba-	1. merkitysaste	1. degree of meaning
baj	ba-j	perhe	menage; family; home
bal	ba-l	koti	home
ban	ba-n	sek; sekunti	sec; second
bar	bar	tanko	bar
bas	ba-s	kymmenen	number ten; ten
bat	bat	kylpy	bath
bau	bau	kumarrus	bowing; obeisance; bow
bel	bel	kello	bell
ber	ber	marja	berry
blu	blu	sini	blue
bod	bod	runko; vartalo	body; carcase
bol	bol	pallo	ball; globe; sphere
bon	bon	luu	bone
bot	bot	botti	bot
buu	buu	buuata	boo
bäg	bäg	laukku	bag
bön	bön	tuli	fire
ce-	ce-	2. merkitysaste	2. degree of meaning
ceb	ce-b	suku biologiassa	genus
cej	ce-j	suku	clan; relatives; lineage; kinship group; kin group; kindred
cel	ce-l	kylä	township; village
cen	ce-n	minuutti	minute
ces	ce-s	hehto; sata	hundred; number hundred; one hundred; hecto
cuo	cuo	käytös	behavior; deportment; demeanour; demeanor; behaviour; comportment
cuu	cuu	pitää; suhtautua	regard; take an attitude
daa	daa	tietää	know
dav	dav	oppi	doctrine; erudition; learning; teaching
daö	da-ö	tietty	certain; known; particular; specific
def	def	määrite	adjunct; qualifier
den	den	tanskan kieli	Danish
deo	de-o	seuraus	consequence; corollary; implication
dev	dev	kehitys	developing; development; evolution
di-	di-	3. merkitysaste	3. degree of meaning
dib	di-b	suku (biologia)	family
dil	di-l	kunta; pitäjä	commune; community; local authority; local community; municipality; parish; township
dim	dim	parras; reuna	margo; brim; brink; gunwale; marginal
din	di-n	tunnin; tunti	hour; sixty minutes
dir	dir	suunta	direction
dis	di-s	kilo; tuhat	one thousand; thousand; kilo
dna	dna	dna	dna
dot	dot	piste	dot; full point; full stop; period; point
duu	duu	kahdentaa	double
eeg	eeg	munia	lay eggs
eeh	eeh	itkeä	weep; bewail; cry; mourn; sob
eej	eej	kieltää; kiistää	forbid; repudiate; renounce; interdict; negate; disavow; prohibit; disallow; deny; contravene; ban; disown
eem	eem	syödä	eat
eet	eet	levätä; levähtää	rest; breathe; repose
ej-	ej-	epä-	un-
ejö	ej-ö	ei mikään; mitään; mistään; ei mitään; mikään	nought; nothing; aught; any; anything
elo	e-lo	asunto; residenssi; asumus	housing; place to live; residence; dwelling; accommodation; apartment; residency; house
eng	eng	englannin kieli; englanti	English; English language
enö	e-nö	alkio	member; spore; germ; element
esp	esp	espanjan kieli	Spanish
est	est	eesti	estonian
eön	e-ön	tuoni; kuoleman-; kuolema; kalma	deathly; decease; demise; reaper; death
faa	faa	antaa	endow; yield; let; administer; impart; grant; give; dispense; deal; confer; allow; allocate; allot; distribute
fao	fa-o	anto	output; delivery; issue of notes
far	far	kaukana	faraway; farflung; far-off; far; distant; afar; far away
fib	fib	säie	fiber; fibre; fibril; filament; strand
fii	fii	tuntea	feel
fin	fin	suomen kieli	finnish
fio	fi-o	tuntemus	sensation
fis	fis	kala	fish
fiv	fiv	viisi	five
fo-	fo-	4. merkitysaste	4. degree of meaning
fob	fo-b	lahko (biologiassa)	order (in biology)
foj	fo-j	heimo; heimo-; klaani	tribal; tribe; clan
fol	fo-l	maakunta; provinssi	province
fon	fo-n	vuorokausi	day and night; twenty-four hours
for	for	varten	for
fos	fo-s	mega; miljoona	mega; million
fou	fou	taite	curve; fold
ful	ful	täynnä	brimming; crammed; fraught; full; replete; stuffed; teeming
fäf	fäf	kauppa	business; commerce; deal; trade; transact
fät	fät	ihra; läski	fat; grease
fää	fää	myydä	sell
gaa	gaa	viedä	transport; take; occupy
gag	gag	kuljetus	carriage; conveyance; haulage; transport; transportation
gen	gen	geeni	gene
ges	ges	arvaus	guess; reckoning
gno	gno	ratkaisu	resolution; solution
gu-	gu-	5. merkitysaste	5. degree of meaning
gul	gu-l	lääni; piirikunta	county; province
gun	gu-n	viikko	week
gus	gu-s	miljardi	billion (Am); milliard (Br)
göö	göö	puoltaa	advocate
ham	ham	kaasu	gas
har	har	haara; hanka	limb; offshoot; leg; crotch; branch; bough; tributary
has	has	haaste	writ; summons; subpoena; challenge
hed	hed	hedelmä	fruit
hee	hee	hymyillä	smile
heh	heh	heh	ha
hej	hej	morjes; heippa; hei	hey; hullo; howdy; how-do-you-do; hie; hello; bye; hi
hep	hep	heinä	hay
hih	hih	hah	ha; huh
hir	hir	kauhu	terror; threat; horror
hoj	hoj	henki; sielu	soul; mastermind
hol	hol	hollannin kieli	Dutch
hom	hom	ilma	air
hon	hon	kunnia; kunnia-	honour; honorary; honor; glory; credit; dignity
hou	ho-u	tuuli	breeze; wind
hu-	hu-	ilmailu-	aeronautical; aviation-
huh	huh	häh; huh	huh; whew
huk	huk	koukku	hook
huo	hu-o	lento	flight
hur	hur	hurma; hurmio	ecstasy; elation; euphoria; exaltation; frenzy; rapture; ravishment
huu	huu	lentää	fly
hy-	hy-	6. merkitysaste	6. degree of meaning
hyb	hy-b	pääjakso (biologia)	phylum
hyj	hy-j	kansa	populace; folk; nation; people
hyl	hy-l	maa	country
hyn	hy-n	kuu; kuun-; kuukausi	month; lunar
hys	hys	biljoona	billion (Br); trillion (Am)
hyy	hyy	kiitää	wing; dash; fly; race; speed; whiz; whizz
häk	häk	isku; lyönti	impact; slap; strike; punch; blow; beat; attack; hit; shock
häp	häp	tapahtuma; tilaisuus	episode; event; happening; incident; occasion; occurrence
hät	hät	hattu	hat
höh	höh	höh	lol
höv	höv	soitin	instrument; musical instrument
ide	ide	ideologia; ismi; aate	idea; ideology; ism
-if	-if	konditionaali	would
ifo	if-o	ehto	provision; stipulation; term; precondition; condition; proviso; specification
iik	iik	jakaa	apportion; portion out; split
iim	iim	imeä	soak up; suck; absorb; suck up
ikö	ik-ö	palanen	piece
ion	ion	ioni	ion
ip-	ip-	pikku-	small; little
is.	is.	ns.	so called
ita	ita	italia	italian
its	its	kutka	itch
jap	jap	japanin kieli	Japanese
jea	jea	peräti; vieläpä; jopa	absolutely; even
jep	jep	jep	yip; yap; yep
jos	jos	jousi; vieteri	spring; bow
jur	jur	juuri	root
jä-	jä-	7. merkitysaste	7. degree of meaning
jäb	jä-b	eliökunta (biologia)	kingdom
jäl	jä-l	maanosa	continent
jän	jä-n	vuosi	year
jär	jär	järjestys	sequence; orderliness; ordering; marshalling; order
jäs	jä-s	tuhat biljoonaa; biljardi	quadrillion
jät	jät	jäte	waste
jää	jää	jäädä	remain; stay; stay over
kaa	kaa	katsoa	deem; watch; look up; look; consider; behold; lay eyes on
kad	kad	vartio	guard; watch
kam	kam	kivi	stone; pebble
kap	kap	keräys	collection; ingathering
kas	kas	onnettomuus	calamity; accident
kat	kat	valo	light
kau	kau	formaatti; muoto	format; shape; form
kav	kav	taide	art
kee	kee	huolehtia	see; take care; worry; care; cater; mind
ker	ker	korjaus	reparation; correction; fix; fixing; mending; repair
kia	kia	vietto; kallistuma	careen; declivity; gradient; inclination; leaning; tilt
kid	kid	kide	crystal
kin	kin	kiinan kieli	Chinese
kio	kio	koko; kokonais-	all; entire; full; total; whole; whole of
kir	kir	kirjoitus; teksti	inscribing; transcript; written composition; written text; writing; writ; text; scription; inscription; scrip; tract
kod	kod	koodi	code
kom	kom	komin kieli	Komi; Komi language
koo	koo	kysyä	ask; enquire; inquire; query
koö	ko-ö	jonka; joka	which
kuk	kuk	kukka	bloom; blossom; flower
kum	kum	kumi	gum; rubber
kun	kun	valvetila	wakefulness
kup	kup	kippo; kuppi	scoop; cup
kut	kut	leikkaus	clipping; cut; cutback
kuu	kuu	keittää	boil; cook
kva	kva	neljä	four
kää	kää	värittää	color; colorize; colour; embellish
kö-	kö-	8. merkitysaste	8. degree of meaning
köb	kö-b	alue (biologia)	domain
köl	kö-l	maailma	world
kös	kö-s	triljoona	quintillion (Am); trillion (Br)
lae	la-e	kuori	cortex
lao	la-o	kamara; pinta	surface
lek	lek	leikki	play
lev	lev	vasen	left
lie	li-e	kulttuuri	culture
lif	lif	lehti	leaf
lim	lim	raja	barrier; border; boundary; frontier; limit
lin	lin	viiva	stroke; dash; line
lio	li-o	metodi; tapa	wont; way; method; manner; habit; custom; fashion
lip	lip	huuli	lip
lir	lir	vale	lie; fabrication; untruth; false statement; fake; falsehood
lod	lod	kuorma; lasti	cargo; load
loo	loo	sijaitsee; sijaitsevat; sijaita	are located; be located; be positioned; be situated; is located; situated
luk	luk	lukko	clasp; lock
lum	lum	lumi	snow
LVT	LVT	LVI	HVAC
ly-	ly-	ala-	sub; nether
lyo	ly-o	lasku	fall
lyy	lyy	laskeutua; laskea	dismount; land; touch down; sag; go down; decrease; alight; come down; settle; climb down; descend
läp	läp	läppä	clapper; flap
mae	mae	mato	maggot; worm
mam	mam	vanhempi	parent
mas	mas	massa	bulk; mass; masses; pulp
mat	mat	matto	rug; matting; mat; carpet
met	met	metalli	metal
mi-	mi	mielen-; mieli-	mental
mit	mit	liha	flesh; meat
miu	miu	miau	meow
moB	mo-B	boori	boron
moC	mo-C	hiili	coal; carbon; charcoal
moF	mo-F	fluori	fluorine
moH	mo-H	vety	hydrogen
moI	mo-I	jodi	iodine
moj	moj	moikka; moi	hi; hello; hey
moK	mo-K	kalium	potassium
mol	mo-l	maa	ground; land
moN	mo-N	typpi	nitrogen
moO	mo-O	happi	oxygen
moP	mo-P	fosfori	phosphorus
moS	mo-S	rikki	sulfur; sulphur
moU	mo-U	uraani	uranium
moV	mo-V	vanadiini	vanadium
moY	mo-Y	yttrium	yttrium
mut	mut	mutta; vaan	but
muu	muu	muuttua joksikin; tulla joksikin	become; change into something
mäg	mäg	magia; taika	enchantment; magic
mäm	mäm	ihminen	man; individual; human being; human; person
nat	nat	yö	night
-ne	ne	verbin futuuri; tulee	future of verb; shall; will
nen	nen	nyt	now
nes	nes	nenä	conk; nose
net	net	verkko	network; netting; net; meshwork; mesh; web
neö	ne-ö	jälkeläinen	descendancy; descendant; offspring; progeny; scion; young
ni-	ni-	ulko-	exterior; outdoor
nid	nid	tarve	need; demand
Nil	Nil	Niili	Nile
nin	nin	yhdeksän; ysi	nine
niv	niv	häviö	defeat; loss
noa	noa	no; noh	well; well then
noh	noh	häpeä	dishonor; ignominy; shame; disgrace
nor	nor	pohjois-; pohjoinen	north; northern
nos	nos	tyttö; tytär; likka	daughter; gal; girl
nul	nul	nolla	nil; zero; nought
nut	nut	pähkinä	nut
näp	näp	nyppylä; näppylä	pustule; nipple; pimple
nöe	nö-e	syntymä; synty; synnyin-; syntymä-	natal; native; genesis; birth; nativity
nöö	nöö	alkaa	recommence; undertake; take something up; start; start the wheels rolling; set in motion; resume; venture on; begin; originate; take its origin; be originated; begin anew; commence; get going on; initiate; onset; be founded
obö	ob-ö	kohde	item; object; target
-of	of	genetiivin pääte; omistusliite	genitive ending; 's
oip	oip	supistelma	abstract
ojo	o-jo	olento	being; creature
oka	o-ka	olemus	entity; essence; essential nature; appearance
omo	o-mo	olemus	substance
ong	ong	ongelma; probleema; pulma	difficulty; dilemma; issue; problem; puzzle; trouble
oof	oof	omata; on; olla jollakin	has; have
ook	ook	vastata	respond; reply; react; answer
osa	o-sa	substantiivi; nomini; nimisana	noun; substantive
ote	o-te	toimi	transaction; position; action; job; operation
ouh	ouh	ai; oi	oh
oup	oup	auki; avoinna	open; unfolded
ouv	ouv	ovi	door
paa	paa	panna; pistää	put in; stick in; set; insert; lay down; place; put
paf	paf	pahvi	cardboard; paperboard
pao	pa-o	pito	grip; holding; holdout; keeping
peg	peg	hyönteinen	insect
pik	pik	piikki	barb; tine; thorn; spine; spike; prickle; prong
pil	pil	pilleri	pill
pin	pin	pinna; puola	spoke
pio	pio	suure	magnitude; quantity
pir	pir	enemmän; enempi; lisää	further; more
pis	pis	rauha	peace
pit	pit	pakko	coercion; compelled; compulsion; duress; force; necessity
piö	pi-ö	vonkale	whopper
ple	ple	peli	play; match; game
pod	pod	palko	pod
poh	poh	pyh	pooh
pol	pol	napa	bellybutton; umbilicus; pole; navel; navel point
pom	pom	pommi	bomb; bombshell
pos	pos	kina; riita; tora	contention; squabble; quarrel; polemics; controversy; dispute; arguing; hassle
pou	po-u	voimistelu	gymnastics; physical education
puh	puh	puh	pooh
pul	pul	metsä	woodland; woods; forest
pum	pum	puu; puuaine	wood; wood material
puo	pu-o	kiinni	closed
pup	pup	pensas	bush; shrub
päk	päk	paketti	package; packet; parcel
pät	pät	päätös	decision; ruling
raa	raa	rakastaa	love
rae	rae	rae	granule; hail; grain; hailstone
raf	raf	likellä; lähellä; lähettyvillä	near; nearby; nigh; near by; imminent; close by; close; impending
rak	rak	pelko	apprehension; dismay; dread; fear; fright; trepidation
rap	rap	naarmu	scratch; abrasion
red	red	puna	blush; red; redness
ree	ree	samastaa	equate
res	res	vara-; reservi; vara	reserve; spare; vice
ret	ret	sairaus; tauti	sickness; malady; ailment; disease; illness
rif	rif	riutta	reef
ril	ril	tosi	reality; true; truth
rio	ri-o	yksikkö	unit
rip	rip	vähemmän; vähempi	fewer; less; lesser
RNA	RNA	RNA	RNA
roe	ro-e	elanto; elatus	bread and butter; sustenance; support; living; keep; livelihood
rol	rol	rulla	reel; roll; roller; scroll
ron	ron	etelä	south
ros	ros	ilo; riemu	gladness; rapture; pleasure; mirth; merriment; jubilation; joyousness; joyfulness; joy; gratification; fun; elation; delight; hilarity
rou	ro-u	urheilu	sport; sports
rov	rov	raha	monetary; money
ruj	ruj	latva; latvus	top; treetop
rus	rus	venäjän kieli	russian
ruu	ruu	kiinnittää	fixate; moor; fix; fasten; engraft; clasp; chain; attach; affix
ruv	ruv	ruuvi	screw
ryn	ryn	ryyni	hulled grain
ryp	ryp	ruttu; ryppy	wrinkle; crease; crinkle; dent; furrow; pucker
saa	saa	sanoa	say; tell
saf	saf	kärsimys	suffering; tribulation
sak	sak	onni; säkä	luck; withers; happiness; fortune; felicity
sat	sat	sattuma	chance; happenstance
sef	sef	suoja	protection; safeguard; shelter
sem	sem	siemen	seed
ser	ser	palvelus	favor; favour; service
sev	sev	seitsemän	seven
sid	sid	puoli; sivu	side
sif	sif	lintu	avian; bird; fowl
sik	sik	kuusi	six
sio	si-o	parvi; liuta; flokki; joukko	horde; swarm; shoal; bevy; set; school; group; gaggle; flock; cluster; troop; covey
sip	sip	sota	war; warfare
sir	sir	siru	particle; fragment; crumb; chip; splinter
siö	si-ö	luku	number
slo	slo	makasiini; varasto	storehouse; warehouse; store; storage; stock; supply
sok	sok	sukka	sock
sol	sol	solu; solu-	cell; cellular
son	son	poika	male child; son; lad
soo	soo	ajattelee; ajatella	thinks; bethink; cogitate; consider; contemplate; meditate; ponder; think; think up
sor	sor	suru; murhe	affliction; woe; sorrowfulness; sorrow; grief; sadness
sta	sta	tila; vointi	state; condition
sup	sup	tuki	support; backing; prop; strut; subsidization; subsidy
suu	suu	epäillä	suspect; doubt
syt	syt	jotta; että	that; in order to; so that
syy	syy	aiheuttaa	bring; cause; do; inflict; make
säh	säh	sähkö	electric; electrical; electricity
sää	sää	huutaa	screams; yowl; yell; whoop; shriek; bleat; shouts; shout; screech; bawl; scream; roar; holler; croon; cry; biddle; screamin
söö	söö	muistaa	be remembered; memorize; recall; recollect; remember
taj	taj	tai; taikka; vai	or
tal	tal	taso	level; plane; standard
tan	tan	päivä	day; daytime
tap	tap	tappi	cleat; tenon; tap; spigot; peg; bung; plug
tat	tat	kosketus	touchdown; contact; touch
te-	te	teko-	artificial; fictitious
tee	tee	tehdä; tekee	commit; do; does; make; perform
teo	te-o	käyttö	operation; utilization; utilisation; usage; use
ter	ter	terve	hello
tev	tev	itä	east
tif	tif	tilaus	order; subscription
til	til	tila	space; room
tol	tol	rakennus; talo	house; building; edifice
tom	tom	tomu; pöly	dust
too	too	tuottaa; valmistaa	fabricate; yield; produce; manufacture; make; bring forth; bear; generate
tre	tre	kolme	three
tua	tua	muu; toinen	other; remaining; another; additional; else
tul	tul	tie	road; way
tuo	tuo	meno	course; going
tur	tur	turva	protection; security; safety
tut	tut	luona; ääressä; äärellä; tykönä	by; near; beside; at
tuu	tuu	mennä; menee; käydä	pass; betake; go; goes
tyl	tyl	muoti; tyyli	vogue; fashion; style
typ	typ	tyyppi	type
tyy	tyy	juosta	curdle; run
tär	tär	tärinä; vapina; tutina; vavistus	trembling; tremor; shivering; shaking; vibration; tremble
tön	tön	käänne	lapel; turn
töö	töö	tehdä työtä	work
ung	ung	unkarin kieli	hungarian
up-	up-	ruoho-	herbaceous
ups	ups	öh	uh
ur-	ur-	irto-	bulk
uul	uul	lyhentää	abbreviate; abridge; shorten
uur	uur	irrota	loosen; unhook; come unfastened
uus	uus	uskoa	have faith; entrust; confide; believe
uut	uut	saapua; tulla	arrive; come
vam	vam	vesi; vettä	water
vao	va-o	laatu	quality; sort
vat	vat	vaate	article of clothing; cloth; garment; piece of clothing
vau	vau	vau	wow
vel	vel	oikea	right
vem	vem	juoma	potion; beverage; boozer; drink; drinkable; potable; potage
ves	ves	astia	vessel; basin; bin; container; dish; receptacle; vase
vet	vet	länsi; länsi-	west; westerly
vii	vii	yhtyä	join; unite; fuse; concur with; combine
vik	vik	vika	defect; failure; fault; flaw
vin	vin	voitto	profit; triumph; victory; winning
vio	vi-o	konteksti; yhteys	connexion; contact; context; fellowship; link; connection
vir	vir	virus; virus-	viral; virus
vis	vis	järki; tolkku; älli	sense; wits; reason; nous
voi	voi	voi	woe
vol	vol	seinä	wall
vom	vom	neste	liquid
voo	voo	voi; voida	be able; can
vos	vos	kieli	langue; language
vou	vou	vokaali	vowel
vu-	vu-	uima-	swimming
vuu	vuu	uida	swim
vyo	vy-o	apu	remedy; support; succour; aid; subsidy; resort; refuge; recourse; assistance; help; relief
vyy	vyy	auttaa	help out; support; succor; improve; help; enable; bear a hand; assist; aid; lend a hand
väl	väl	väli	gap; intermediate; interval; space
yyl	yyl	nousta	ascend; heave; rise; get up; arise; go up
yyr	yyr	deletoida	delete
yys	yys	vaikuttaa	work; act on; affect; have effect; influence
yyv	yyv	estää	interdict; prevent; thwart; obstruct; keep; hinder; forestall; block; inhibit; deter
yök	yök	yök	yuck
äng	äng	kulma	angle; corner
äse	äse	ässä	ace
ääf	ääf	ostaa	buy; purchase
ääs	ääs	kuiskata	prompt; whisper
öej	ö-ej	lukuun ottamatta; paitsi	besides; except; apart from
ög-	ög-	anti-; vasta-	contra-; contrary; anti-
öik	ö-ik	kappale; kpl; osanen	piece; fragment; part; particle; pc
öin	ö-in	jossain; jossakin	anywhere; someplace; somewhere
öjo	ö-jo	joku	somebody; someone; anyone; anybody; any
öli	ö-li	jotenkin	somehow
öpe	ö-pe	otus	creature; critter
öri	ö-ri	jokseenkin; jonkin verran; jossain määrin	somewhat; some
ösi	ö-si	joitakin; jotkin	some
öso	ö-so	seikka	circumstance; fact; matter; thing
ötu	ö-tu	johonkin; jonnekin	to; somewhere
öut	ö-ut	jostakin	from somewhere
öva	ö-va	eräänlainen; jonkinlainen	a kind of; some kind; some kind of; some sort of
ööf	ööf	omistaa; omata	has got; possess; have got; has; own
öög	öög	panna hanttiin; vastustaa	object; oppose; counteract; be against; resist
ööh	ööh	vaieta	quiet down; stop talking; become silent
öön	öön	loppua; päättyä; herjetä; lakata	run out; stop; terminate; rundown; end; discontinue; cease; conclude; finish
öös	öös	unohtaa; unhottaa	forget; overlook
a ej	a ej	eikä	and not; neither; nor
aalt	aalt	vuorotella	alternate; take turns
aark	aark	arastaa	shy
afmä	af-mä	saamamies	creditor
ahap	ah-ap	varkaus	larceny; stealing; theft
ahep	ah-ep	rikkakasvi; rikkaruoho	weed
ahfi	ah-fi	kipu	ache; hurting; pain
ahho	ah-ho	demoni; paha henki	bad spirit; daemon; demon
ahhö	ah-hö	melu	ado; din; noise
Ahjo	ah-jo	perkele; piru; riiviö; saatana; paholainen	demon; devil; fiend; Satan
ahli	ah-li	pahasti; pahoin	wickedly; badly; evilly
ahlo	ah-lo	helvetti	darning; hell; hellion; infernal; perdition; inferno
ahob	ah-ob	pahanen	poor thing
ahro	ah-ro	mammona	lucre; mammon
ahst	ah-st	pahin	worst
ahva	ah-va	paha; pahoja	bad ones; evil; bad; vicious
aid.	aid.	jne.	etc.
ajof	aj-of	minun	mine; my
ajsi	aj-si	meitä; meidät; me	us; we
akli	ak-li	rumasti	in an ugly manner
akob	ak-ob	rumilus	eyesore; hulk; ugly thing
akva	ak-va	ruma	bad-looking; homely; not nice; tasteless; ugly; unsightly
alel	al-el	alta	from below; from under
alik	al-ik	alaosa	bottom part; lower part; lower section
aljo	al-jo	alainen	subordinate
alle	al-le	alle	under
alli	al-li	alitse; ali	beneath; under
allo	al-lo	alusta	base; basis
alob	al-ob	substraatti	substrate; substratum
alos	al-os	alusta	bottom; chassis; platform
alri	al-ri	alle	below
alsy	al-sy	argumentti	argument
ami-	ami	amino-	amino
amof	am-of	äidin	mother's; maternal
amra	am-ra	äidin rakkaus	maternal love
amsi	am-si	äidit	moms; mothers; mums
amut	a-mut	kuitenkin; kumminkin	in spite of the fact; yet; nevertheless; however; anyway; and yet; nonetheless
amuu	amuu	ammua	low; moo
anen	a-nen	taas	again
apsi	ap-si	otot	takings
apte	ap-te	otos	sample; take
apvo	ap-vo	kahva; ripa	handgrip; handle; hilt
arab	arab	arabia; arabian kieli	Arabic
arhö	ar-hö	murahdus	snarl; grunt
arli	ar-li	vihaisesti	angrily
arva	ar-va	vihainen; äkeä	angry; annoyed; huffy; pissed off
arys	ar-ys	ärsyke	stimulant; stimulus; irritant
aspe	as-pe	aasi	ass; donkey
ati.	ati.	yms.	etc.
atua	a-tua	ynnä muuta	et cetera
avol	a-vol	pääty	gable
avoo	a-voo	aurata	plow
baat	baat	kylpeä	bathe
bakt	bakt	bakteeri	bacterium; germ; bacteria; microbe
bal-	ba-l	koti-	domiciliary
bamp	bamp	kuhmu	bump
