English150Char	Finnish150Char	VosaTevos150Char
Do you have suntan lotion / hairbrush / face cream / foot cream / nail scissors?	Onko sinulla aurinkovoidetta / hiusharja / kasvovoidetta / jalkavoidetta / kynsisakset?	Oofko ja aurlo oilpamo / päsiheörvo / edpä oilpamo / tuve oilpamo / rapve dukutvo?
You have short hair.	Sinulla on lyhyet hiukset.	Ja oof ulva päheörsi.
Has she combed her hair herself or did she it at the hair salon put?	Onko hän kammannut tukkansa itse vai laitattiko hän sen kampaamossa?	Ooko hä päheörvooen häof päsiheör aut taj tuapaaenko hä it in heörlö?
I'd like my hair at the barber shave.	Haluaisin ajattaa tukkani parturissa.	Aj ofraaif tuakuut ajof päsiheör in heörlö.
This barber shop has only a men's room.	Tässä parturissa on vain miesten sali.	Täin heörlö oo erisli mäsi tolik.
RADIO AND TELEVISION	RADIO JA TELEVISIO	HÖDAVÖ A KADAVÖ
Turn on the radio!	Pistä auki radio!	Paa ja hödavö oupli!
Turn off the radio!	Sulje radio!	Puoo ja hödavö!
The radio said it was getting warmer.	Radiossa kerrottiin, että tulee lämpimämpää.	In hödavö öbsasaaenta, syt uut lakpir.
Can I turn off the TV?	Voiko television pistää kiinni?	Vooko kadavö paa puo?
Turn off the TV!	Sulje televisio!	Puoo kadavö!
Did you watch TV yesterday?	Katselitteko eilen televisiota?	Sikaaenko jasi edtanna kadavö?
The author created a fine mother character.	Kirjailija loi hienon äidin hahmon.	Rokiirjo novtee-en väkava amof hokau.
The performance turned out to be weak.	Esitys osoittautui heikoksi.	Siedtuka auttukaaen mu opva.
RECORDER AND PHONOGRAPH	NAUHURI JA LEVYSOITIN	HÖSLOVÖ A LEITOHÖVÖ
Move the recorder to a quieter position!	Pistä nauhuri hiljaisemmalle!	Paa ja hönauuhvö öhpir!
Put the recorder off!	Pistä nauhuri kiinni!	Puoo hönauuhvö!
I took the recorder with me.	Otin nauhurin mukaani.	Aj aapen hönauuhvö tuvi aj.
Let's listen to new tapes!	Kuunnellaan uusia nauhoja!	Höörta novva nauhsi!
Put the turntable off!	Pistä levysoitin kiinni!	Puoo leitohövö!
Sound discs are pretty cheap.	Äänilevyt ovat aika halpoja.	Höleitosi oo rafli lyrovva.
Buy me few records!	Osta minulle muutama äänilevy!	Ääf ja for aj ösi höleito!
This is a brand new record.	Tämä on aivan uusi äänilevy.	Tä oo fulli novva höleito.
PHOTOGRAPHY	VALOKUVAUS	KATKATOAP
They take lots of photos, like all tourists.	He ottavat paljon valokuvia, kuten kaikki turistit.	Häsi aap siri katkatosi, li ki rotuojosi.
You take good photos.	Te otatte hyviä valokuvia.	Jasi aap hava katkatosi.
I just take colour photos.	Otan vain värivalokuvia.	Aj aap erisli käkatkatosi.
Take a picture of us here!	Ottakaa meistä kuva tässä!	Aap jasi ob ajsi kato täin!
Can you take photos?	Osaatteko te ottaa valokuvia?	Davooko jasi aap katkatosi?
Do you want me to show you photos?	Haluatteko, että näyttäisin teille valokuvia?	Ofraako jasi, syt aj tekaaif tu jasi katkatosi!
Would you like to view photos?	Haluaisitteko katsella valokuvia?	Ofraaifko jasi sikaa katkatosi?
The photos became bad.	Valokuvista tuli huonoja.	Katkatosi muuen ahvova.
This is a very successful photograph.	Tämä on hyvin onnistunut valokuva.	Tä oo hali saaken katkato.
You've made a good video.	Olette ottaneet hyvän videon.	Jasi oo aapen hava kahöto.
Do you have a camera with you?	Onko teillä kamera mukana?	Oofko jasi kavö vi?
He forgot his camera.	Hän unohti kameransa.	Hä öösen häof kavö.
May I have a black and white film for a photographic machine?	Saisinko mustavalkoisen filmin valokuvauskonetta varten?	Aafifko ja tivvitva sikato for kavö?
VISUAL ARTS	KUVAAMATAIDE	KATOKAV
Yesterday we went to an exhibition of young painters.	Kävimme eilen nuorten taidemaalareitten näyttelyssä.	Ajsi uttuuen edtanna in nuva kavkämojosi tekahäp.
Your son knows how to draw well.	Poikanne osaa hyvin piirtää.	Jasiof son davoo hali katee.
Have you been to the Tretyakov Gallery?	Oletko ollut Tretjakovin galleriassa?	Ooko ja ooen in Tretjakov kavlo?
Do you know the paintings of this painter?	Tunnetteko tämän taidemaalarin tauluja?	Kadavooko jasi tä kavkämojo volkatosi?
This is a well-known painting by a well-known painter.	Tämä on tunnetun taidemaalarin hyvin tunnettu maalaus.	Tä oo kavodaaen kavkämojo-of hali kavodaaen kämoto.
There are paintings by the painter Repin.	Tuossa on taidemaalari Repinin maalauksia.	Ätin oo kavkämojo Repinof kämotosi.
He is a true / excellent artist.	Hän on todellinen / erinomainen taiteilija.	Hä oo rilva / erhava kavjo.
Where did you have such interesting paintings?	Mistä teillä on noin mielenkiintoisia tauluja?	Kout jasi oof ätli ruhamiva volkatosi?
What is that statue?	Mikä patsas tuo on?	Ko kaukavto ät oo?
sculpture, sculpt, sculpture	veistos, veistää, kuvanveisto	kaukutto, kaukuut, kaukut
MUSIC	MUSIIKKI	ROHÖ
I enjoy listening to music very much.	Kuuntelen hyvin mielelläni musiikkia.	Aj höör hali hamili rohö.
I often listen to music when I read at home.	Kuuntelen usein musiikkia, kun luen kotona.	Aj sina höör rohö, na aj riik in bal.
He is only interested in music.	Häntä kiinnostaa vain musiikki.	Hä ruhamii erisli rohö.
You will enjoy the choir.	Tulette nauttimaan kuorosta.	Jasi rosaapne hösasio.
The concert even appealed to Markku, who doesn't particularly like music.	Konsertti miellytti jopa Markkuakin, joka ei erityisemmin pidä musiikista.	Rohöhäp mihaaen jea Markku ali, kojo ej eröpirli öbraa rohö.
What kind of music do you like: devout, peaceful, atmospheric or any other kind of music?	Millaisesta musiikista pidätte: hartaasta, rauhallisesta, tunnelmallisesta vai muunlaisesta musiikista?	Kova rohö jasi öbraa: usmiva, pisva, fistava taj tuava rohö?
That's a familiar melody.	Tuo on tuttu melodia.	Ät oo vikadava sihökau.
We played three records.	Soitimme kolme levyä.	Ajsi hööven tre höleitosi.
He plays the violin very well.	Hän soittaa hyvin viulua.	Hä hööv hali violhöv.
He sat down at the piano and started playing.	Hän istuutui pianon ääreen ja alkoi soittaa.	Hä autsiiten tuttu pianhöv a nööen hööv.
I really like peaceful songs.	Pidän kovasti rauhallisista lauluista.	Aj öbraa piri pisva hösasi.
Sing us a Finnish song!	Laulakaa meille joku suomalainen laulu!	Hösaa jasi tu ajsi ösi finva hösa!
Unfortunately, I can't sing.	Valitettavasti en osaa laulaa.	Ongsali aj ej davoo hösaa.
Let's learn a new song!	Opetellaanpa uusi laulu!	Siapdaavta a novva hösa!
Previously, he was a famous singer.	Aikaisemmin hän oli kuuluisa laulaja.	Lynapir hä ooen dahonva hösaajo.
WRITING	KIRJOITTAMINEN	KIIRTE
Give me a pen!	Annahan kynä!	Faa a ja kirvo!
Do you have a pen?	Onko teillä kynää?	Oofko jasi kirvo?
Whose pen is this?	Kenen tämä kynä on?	Kojo-of tä kirvo oo?
My.	Minun.	Ajof.
Whose pen is this?	Kenen kynä tämä on?	Kojo-of kirvo tä oo?
I don't have a pencil.	Minulla ei ole lyijykynää.	Aj ej oof moCkirvo.
The pens are there in the desk drawer.	Kynät ovat siellä kirjoituspöydän laatikossa.	Kirvosi oo itla in kirlaos boks.
Give me some paper!	Anna vähän paperia!	Faa ja ipri papr!
What do you write in the notebook?	Mitä sinä kirjoitat vihkoon?	Ko ja kiir intu sökirto?
Are you writing me letters?	Kirjoitatko minulle kirjeitä?	Kiirko ja tu aj kirgaosi?
The names of the holidays are capitalized.	Juhlapäivien nimet kirjoitetaan isolla kirjaimella.	Ronotansi ersasi kiirta vy piva kirka.
Do you want to be included in the city tour list?	Merkitsenkö teidät kaupunkikierrokselle lähtevien luetteloon?	Maarkko aj ja intu taun rauno urtuuva lurik?
DOCUMENT	ASIAKIRJA	SOKIR
Fill out the form!	Täyttäkää lomake!	Fuul jasi kaupapr!
No visa has been issued yet.	Viisumia ei ole vielä annettu.	Nihylpöafto ej oo pirnen faaen.
May I see your identity paper?	Saisinko nähdä henkilöllisyyspaperinne?	Aafifko aj vokaa jasiof hojovao paprsi?
I forgot my passport to the hotel.	Unohdin passini hotelliin.	Aj öösen ajof pöafto in rotuotol.
Show your license card!	Näyttäkää lupakorttinne!	Tekaa jasi jasiof pöfakart!
Do you have a certificate with you?	Onko Teillä todistus mukananne?	Oofko Jasi darilkir vi?
Where can I make a copy?	Missä voi ottaa kopion?	Koin voo aap relito?
LITERATURE, PRESS	KIRJALLISUUS, LEHDISTÖ	KIRSITO, SIDAPAPR
I do not enjoy reading in the library.	En lue mielelläni kirjastossa.	Aj ej riik hamili in sikirlö.
You can borrow these books and students borrow books from the library.	Voitte lainata nämä kirjat ja opiskelijat lainaavat kirjoja kirjastosta.	Jasi voo lonroaaf täsi kirtosi a apdaavjosi lonroaaf kirtosi ut sikirlö.
Have you been to the library?	Oletteko olleet kirjastossa?	Ooko jasi ooen in sikirlö?
Where do you have a fiction department?	Missä teillä on kaunokirjallisuuden osasto?	Koin jasi oof kakirsito iklo?
What kind of literature are you interested in?	Millaisesta kirjallisuudesta olet kiinnostunut?	Ob kova kirsito ja oo ruhamiien?
Puskin is a great Russian poet / favorite poet.	Puskin on suuri venäläinen runoilija / lempirunoilijani.	Puskin oo piva rusva kausajo / ajof leprakausajo.
He is an excellent writer.	Hän on erinomainen kirjailija.	Hä oo erhava rokiirjo.
How can you not like a writer like that?	Kuinka voi olla pitämättä tuollaisesta kirjailijasta.	Koli voo oo öbraaejli ätliva rokiirjo.
Have you read Dostoevsky's novels?	Oletteko lukenut Dostojevskin romaaneita?	Ooko jasi riiken Dostojevskof kakirtosi?
This is a serious novel.	Tämä on vakava romaani.	Tä oo greva kakirto.
This is the book I talked to you about.	Tämä on se kirja, josta puhuin teille.	Tä oo it kirto, koöb ja sasaaen tu jasi.
Where have you gotten such a rare book?	Mistä olette hankkinut tällaisen harvinaisen kirjan?	Kout oo jasi foraafen täva hitnova kirto?
If you happen to see this book, buy now!	Jos satut näkemään tämän kirjan, osta heti!	If ja saat vokaa tä kirto, ääf ja välejnen!
Take a book on the way to read!	Ottakaa kirja matkalukemiseksi!	Aap jasi kirto for rotuo riikte!
Where is the best place to buy books on Chinese language?	Mistä on parasta ostaa kiinan kieltä käsitteleviä kirjoja?	Kout oo hast ääf kin vos cuteeva kirtosi.
By chance you don't have a Russian-Finnish dictionary with you?	Ei sinulla ole sattumalta mukanasi venäjä-suomi sanakirjaa?	Ejko ja oof satli rus-fin sakirto vi?
Could you give me that book and that dictionary?	Antaisitteko minulle tuon kirjan ja tuon sanakirjan?	Faaifko jasi tu aj tä kirto a tä sakirto?
What are you reading?	Mitä Te luette?	Ko jasi riik?
You mustn't read so much.	Et saa lukea niin paljon.	Ja ej aaf riik itli piri.
What magazines do you read?	Mitä aikakauslehtiä te luette?	Kosi limnodapaprsi jasi riik?
among other things Science magazine	mm. Tiedelehteä	vi tua Dädapapr
Do you have computer magazines?	Onko teillä tietokonelehtiä?	Oofko jasi davö dapaprsi?
What is written in the magazines?	Mitä lehdissä kirjoitetaan?	Ko in dapaprsi kiirta?
You have written an interesting article.	Olette kirjoittanut mielenkiintoisen artikkelin.	Jasi oo kiiren ruhamiva obkir.
Which page is it on?	Millä sivulla se on?	Kola kirsid it oo?
Here are fresh newspapers for you!	Tässä on teille tuoreita lehtiä!	Täin oo tu jasi rafnovva dapaprsi!
After reading the newspaper, give it to me!	Kun olette lukenut sanomalehden, antakaa se minulle!	Na jasi oo riiken novsapapr, faa jasi it tu aj!
LANGUAGES	KIELET	VOSSI
I need (I don't need) an interpreter.	Tarvitsen (en tarvitse) tulkin (tulkkia).	Aj niid (ej niid) vosmuujo.
What foreign languages do you know?	Mitä vieraita kieliä te osaatte?	Siko vifarva vossi jasi davoo?
In what language is it written / did you debate?	Millä kielellä se on kirjoitettu / te keskustelitte?	Kovy vos it oo kiiren / jasi visasaaen?
He speaks both Russian and English.	Hän puhuu sekä venäjää että englantia.	Hä sasaa a rus a eng.
Can you speak English?	Osaatteko englantia?	Davooko jasi eng?
She speaks good / fairly good English / German.	Hän puhuu hyvin / melko hyvin englantia / saksaa.	Hä sasaa hali / rafli hali eng / germ.
I'm not Swedish, but I speak some Swedish.	En ole ruotsalainen, mutta puhun jonkin verran ruotsia.	Aj ej oo svidjo, mut aj sasaa öri svid.
The Estonian language is similar to the Finnish language.	Eestin kieli muistuttaa suomen kieltä.	Est oblikaa fin vos.
Do you speak Finnish?	Puhutko sinä suomea?	Sasaako ja fin?
Does anyone here speak / understand Finnish?	Puhuuko / Ymmärtääkö täällä joku suomea?	Sasaako / dakavooko täla öjo fin?
Do you speak Russian / French / Spanish?	Puhutteko Te venäjää / ranskaa / espanjaa?	Sasaako Jasi rus / frans / esp?
He's afraid to talk in Russian.	Hän pelkää puhua venäjää.	Hä raak sasaa rus.
Could you speak slowly / slower, I still have a poor understanding of Russian / Italian!	Voisitteko puhua hitaasti / hitaammin, ymmärrän vielä huonosti venäjää / italiaa!	Vooifko jasi sasaa ponli / ponpirli, aj dakavoo pirnen ahvoli rus / ita!
When are talked fast, I don't understand everything.	Kun puhutaan nopeasti, en ymmärrä kaikkea.	Na sasaata nopli, aj ej dakavoo ki.
How does he speak Russian?	Miten hän puhuu venäjää?	Koli hä sasaa rus?
He speaks Russian very (very) quickly.	Hän puhuu venäjää hyvin (erittäin) nopeasti.	Hä sasaa rus hali (errili) nopli.
He has started talking Russian.	Hän on alkanut puhua venäjää.	Hä oo nööen sasaa rus.
Does he speak some Russian?	Puhuuko hän jonkin verran venäjää?	Sasaako hä öri rus?
It is quite a little.	Se on aivan vähän.	It oo fulli ipri.
He writes excellent Russian, but speaks quite poorly.	Hän kirjoittaa erinomaisesti venäjää, mutta puhuu melko huonosti.	Hä kiir erhali rus, mut sasaa rafli ahvoli.
The guide speaks slowly and understandably.	Opas puhuu hitaasti ja ymmärrettävästi.	Tudaavjo sasaa ponli a dakavoli.
He speaks quite fluently.	Hän puhuu aivan sujuvasti.	Hä sasaa fulli havotuuli.
How do you translate this word into Finnish?	Miten käännätte tämän sanan suomeksi?	Koli jasi vosmuu tä sa mu fin?
Would you please translate this letter into Finnish!	Kääntäisittekö tämän kirjeen suomeksi!	Vosmuuifko jasi tä kirgao mu fin!
Could you please translate this letter to me!	Voisitteko kääntää minulle tämän kirjeen!	Vooifko jasi vosmuu for aj tä kirgao!
You asked me to translate this text.	Pyysitte minua kääntämään tämän tekstin.	Jasi teaafen aj vosmuu tä kir.
He can translate well from Russian in Finnish.	Hän osaa hyvin kääntää venäjästä suomeen.	Hä davoo hali vosmuu ob rus mu fin.
Could you please check my translation?	Voisitteko tarkistaa käännökseni?	Vooifko jasi istaark ajof vosmuo?
Could you explain what it means?	Voisitteko selittää, mitä se merkitsee?	Vooifko jasi klirsaa, ko it obmaark?
What does this / that mean?	Mitä tämä / tuo tarkoittaa?	Ko tä / ät obmaark?
Did you understand what the clause means?	Ymmärsittekö, mitä lause merkitsee?	Dakavooenko jasi, ko lusa obmaark?
We can't survive without an interpreter.	Emme selviä ilman tulkkia.	Ajsi ej autvokliir ejli vosmuujo.
Do you have a Finnish-Vosa dictionary / glossary?	Onko sinulla suomi-vosa sanakirjaa / sanastoa?	Oofko ja fin-vosa sakirto / sisato?
I need a dictionary like that.	Tarvitsen tuollaista sanakirjaa.	Aj niid ätliva sakirto.
I can't find this word in the dictionary.	En pysty löytämään tätä sanaa sanakirjasta.	Aj ej votee kees tä sa ut sakirto.
What is this / that called?	Miksi tätä / tuota kutsutaan?	Komu tä / ät tukoota?
Please show me a sentence from the book.	Olkaa hyvä ja näyttäkää lause kirjasta.	Oo jasi hava a tekaa jasi lusa ut kirto.
Wait a minute.	Hetkinen.	Ipnoip.
I'll see if I can find it in this book.	Katson, löydänkö sen tästä kirjasta.	Aj kaa, keesko aj it ut tä kirto.
Russia belongs to the Slavic languages.	Venäjä kuuluu slaavilaisiin kieliin.	Rus tuoof slavva vossi.
Do you have a Russian mother tongue?	Onko Teillä venäjä äidinkieli?	Oofko Jasi rus ofvos?
He is an expert in the Vosa language.	Hän on Vosa-kielen asiantuntija.	Hä oo Vosa vos sovodajo.
He remembers Vosa's words well.	Hän muistaa hyvin vosan sanoja.	Hä söö hali Vosa sasi.
We have Vosa classes on Wednesdays.	Keskiviikkoisin meillä on vosan tunnit.	Na ditansi ajsi oof Vosa dinsi.
I have a Vosa textbook with me.	Minulla on vosan oppikirja mukanani.	Aj oof Vosa davkirto vi aj.
He learns new words.	Hän opettelee uusia sanoja.	Hä siapdaav novva sasi.
"What is a ""finger"" in Vosa?"	"Mitä on vosaksi ""sormi""?"	"Ko oo mu Vosa ""finger""?"
"It's a ""pavetap""."	"Se on ""pavetap""."	"It oo ""pavetap""."
It is important that you speak more Vosa.	On tärkeää, että te enemmän puhuisitte vosaa.	Oo curova, syt jasi pir sasaaif Vosa.
She is fluent in English.	Hän osaa erinomaisesti englantia.	Hä davoo erhali eng.
PHONE	PUHELIN	VISAVÖ
You can call there.	Voitte soittaa sinne.	Jasi voo visavöö itle.
Let him call rather to me!	Soittakoon hän mieluummin minulle!	Visavöö hä mihapirli tu aj!
Let's call first and ask!	Soitetaan ensin ja kysytään!	Visavööta isvana a koota!
You can call a duty officer on the phone.	Voitte puhelimella kutsua paikalle päivystäjän.	Jasi voo vy visavö tukoo le lo tuaftööjo.
Can I call?	Saako soittaa?	Aafko visavöö?
The number is again / The phone is busy all the time.	Numero on taas / Puhelin on koko ajan varattu.	Kasiö oo pirnen / Visavö oo ful no reesen.
Do you have time to call home?	Joko ehditte soittaa kotiin?	Ripnenko jasi novoo visavöö tu bal?
I couldn't call home.	En onnistunut soittamaan kotiin.	Aj ej saaken visavöö tu bal.
We could just as well call back a little later.	Voimme yhtä hyvin soittaa sitten vähän myöhemmin.	Ajsi voo reri hali visavöö itne ipri nepir.
The phone rings, drag the headset image on the smartphone screen.	Puhelin soi, vedä kuulokkeen kuvaa älypuhelimen näytöllä.	Visavö hööv, poaag ja vohövo kato la vissavö tekalao.
Hello!	Haloo!	Halou!
I'm listening!	Kuuntelen!	Aj höör!
Who are you asking?	Ketä kysytte?	Kojo jasi koo?
Please ask / Would you like to ask Matti Meikäläinen on the phone!	Olkaa hyvä ja pyytäkää / Pyytäisittekö Matti Meikäläistä puhelimeen!	Oo jasi hava a teaaf / Teaafifko Matti Meikäläinen tu visavö!
Would you please ask the manager on the phone?	Pyytäisittekö johtajaa puhelimeen?	Teaafifko jasi diirjo tu visavö?
He's there, I'll give him the phone.	Hän on tuossa, annan puhelimen hänelle.	Hä oo ätin, aj faa visavö tu hä.
Wait!	Odottakaa!	Obnoo jasi!
You are invited to the phone.	Teitä pyydetään puhelimeen.	Jasi teaafta tu visavö.
No one has called you?	Kukaan ei ole soittanut teille?	Ejkojo oo visavööen tu jasi?
My brother didn't call me today.	Veljeni ei soittanut minulle tänään.	Ajof bajson ej oo visavööen tu aj tätanna.
He called his brother.	Hän soitti veljelleen.	Hä visavööen tu häof bajson.
You were just called recentli.	Teille soitettiin juuri äsken.	Tu jasi visavööenta jusli rafnen.
The leader himself called.	Itse johtaja soitti.	Aut diirjo visavööen.
Say, that Heikki called.	Sanokaa, että Heikki soitti.	Saa jasi, syt Heikki visavööen.
Sorry to call you so early!	Anteeksi, että soitan näin aikaisin!	Ahhafali, syt aj visavöö täli lyna!
I knew you from the voice.	Tunsin sinut äänestä.	Aj kavodaaen ja ob hö.
I immediately knew your voice.	Tunsin heti Teidän äänenne.	Aj kavodaaen välejnen Jasiof hö.
I called yesterday, but you weren't home.	Soitin eilen, mutta te ette ollut kotona.	Aj visavööen edtanna, mut jasi ej ooen in bal.
Wait a minute, I'll write down the phone number, so that I'll not forget.	Odottakaa hetkinen, kirjoitan ylös puhelinnumeron, jotten unohtaisi.	Obnoo jasi ipno, aj kiir for sö visavö kasiö, syt aj ej öös.
Write down your phone number!	Kirjoita muistiin puhelinnumero!	Kiir ja for sö visavö kasiö!
When we're back, I'll call right away.	Kun olemme palanneet takaisin, soitan heti.	Na ajsi oo reuuten, aj visavöö välejnen.
Call me tonight!	Soittakaa minulle illalla!	Visavöö jasi tu aj ennatna!
Call me tomorrow at the same time!	Soittakaa huomenna tähän samaan aikaan!	Visavöö jasi detanna tä re na!
All right, I'll call tomorrow morning.	Hyvä on, soitan huomenaamulla.	Hava oo, aj visavööne detan entanna.
DEBATE	KESKUSTELU	VISASA
How's business?	Miten menee?	Koli tuu?
How are you?	Mitä kuuluu?	Ko authöö?
What about you?	Entäpä teille?	A ko tu jasi?
How are you?	Miten voitte?	Koli jasi voo?
Thank you, I feel great.	Kiitos, voin erinomaisesti.	Haforsa, aj voo erhali.
What good do you have to tell?	Mitä hyvää Teillä on kerrottavana?	Ko hava jasi oof öbsasaa?
Tell us how you are!	Kerro, miten ovat asiasi!	Öbsasaa, koli jaof sosi oo!
As usual.	Kuten tavallisesti.	Li resili.
Everything is fine.	Kaikki on kunnossa.	Ki oo na hava vosta.
Nothing special.	Ei mitään erikoista.	Ejö erliva.
Um. what would you say.	Tuota. mitähän sinulle sanoisi.	Ät, ko a aj saaif tu ja.
Where were you on vacation?	Missä te olitte lomalla?	Koin jasi ooen na urtöno?
How did your holiday go?	Miten lomanne meni?	Koli jasiof urtöno tuuen?
Thank you, excellent.	Kiitos, erinomaisesti.	Haforsa, erhali.
Tell us about your trip!	Kerrohan matkastasi!	Öbsasaa a ja öb jaof rotuo!
Tell us about Runeberg!	Kertokaa meille Runebergistä!	Öbsasaa jasi tu ajsi öb Runeberg!
So.	Niin.	Itli.
I'll tell you a case of our family life.	Kerron teille erään tapauksen perheemme elämästä.	Aj öbsasaa tu jasi ö obhäp öb ajsiof baj eo.
I'll tell you a funny thing.	Kerron teille huvittavan jutun.	Aj öbsasaa tu jasi hehrosva öbsasa.
That's a weird thing.	Se on outo juttu.	It oo ejvikadava öbsasa.
Are you joking or are you serious?	Lasketko leikkiä vai oletko tosissasi?	Saako ja lek taj ooko ja darilli?
Of course, I'm just kidding.	Tietysti puhun vain leikkiä.	Dajeli aj sasaa erisli lek.
It's a nasty joke.	Se on ilkeä pila.	It oo ahcuva tarlek.
Who are they talking about?	Kenestä he keskustelevat?	Öb kojo häsi visasaa?
Everyone talks about them.	Kaikki puhuvat heistä.	Ki sasaa öb häsi.
What are they talking about?	Mistä he puhuvat?	Koöb häsi sasaa?
About weather.	Säästä.	Öb nista.
What did he tell you?	Mistä hän kertoi?	Ko hä öbsasaaen?
