VosaTevos	Finnnish	English
afrikans	afrikaans	Afrikaans
Afrlo	Afrikka	Africa
afrovyo	meriitti	merit
afruu yvfulmu	kuroa umpeen	catch up
afrva	afrikkalainen	African
aftuejva	luoksepääsemätön	inaccessible
aftuo	pääsy	access; accessing; admittance
aftuorovfa	pääsymaksu	access charge; entrance fee
aftuovotrasi	pääsykokeet	entrance examinations
Afturobatan	pääsiäismaanantai	Easter Monday
Afturojätan	pääsiäissunnuntai	Easter Sunday
Afturono	pääsiäinen	Easter; passover
Afturono hatusaa	virpoa	go trick-or-treating
Afturono mägjo	trulli	Easter witch
aftuu	pääsevät; päästä	access; can get; get to; reach
aftuu ismivao	päästä yksimielisyyteen	reach a consensus
aftuu mu friva	päästä vapaaksi	break loose
aftuu ylli	päästä yli	get over
aftuuen paveli	päässyt käsiksi; käsiksi	accessed; got hold of
aföön	ehtyä	dry up
aföönejva	ehtymätön	inexhaustible
aföönte	ehtyminen	depletion
agatmo	akaatti; agaatti	agate
agemhäp	nyyttikestit	bring-dish party; potluck
aha	ahaa	aha
aha fika	ahaa-elämys	aha experience; sudden understanding
ahaap	kahmia; kähmiä; varastaa	purloin; steal; grope; pilfer
ahaapen	varastettu; varasti; varastivat	stole; stolen
ahaapte	varastaminen; varastelu	stealing
ahafjo	saamari	damn
ahahculi	törkeästi	coarsely; grossly; outrageously
ahahcuva	törkeä	flagrant; gross; egregious; blatant; outrageous
ahahcuvao	törkeys	obscenity
ahahjo	hitto	dammit; damn; deuce; heck
ahap	varkaus	larceny; stealing; theft
ahapjo	roisto; varas; voro	hoodlum; baddy; crook; villain; goon; knave; punk; rascal; rogue; scoundrel; thief; thug; cur
ahapjova	roistomainen	villainous; blackguardly; crooked
ahapli	varkain	stealthily
ahaprajo	kleptomaani	kleptomaniac
ahaptuu	kähveltää	walk away with
ahapvao	konnuus	villainy
aharcuva	ankara; nurja	stern; unfriendly; wrong; sulky; purl; noxious; inauspicious; adverse; repugnant
aharäm	ämmä	battleaxe
ahautkautee-en	epämuodostunut	deformed
ahautkauteo	epämuodostuma	deformity; malformation
ahbönmiijo	kiivailija	zealot
ahbönmili	kiivaasti	fiercely; violently
ahbönmiva	kiivas	violent; choleric; intense
ahbönmivao	kiivaus	impetuosity; vehemence
ahcujo	ilkimys	mischief
ahculi	ilkeästi; pahanilkisesti; tuhmasti	evilly; maliciously; nastily; naughtily; viciously; wickedly
ahculioli	häijysti	maliciously
ahculiova	häijy	villainous; vicious; wicked
ahcumiva	pahansisuinen; pahantuulinen	splenetic; ill-tempered; ill-natured; bad-tempered
ahcumiva unäm	pahansisuinen ämmä	battleaxe
ahcumuu	pahastua	resent
ahcumuuen	pahentunut	aggravated
ahcuoli	töykeästi	gruffly; rough; rudely
ahcuova	töykeä; tyly	rude; unkind; impolite; brusque
ahcupö	ilkivalta	mischief; vandalism; malicious mischief
ahcupö teejo	ilkivallan tekijä	perpetrator of vandalism; vandal
ahcupöide	huliganismi	hooliganism
ahcupöjo	huligaani	hooligan
ahcupöva	ilkivaltainen	mischievous
ahcusaa	nälviä	carp; nag
ahcutra	koettelemus	affliction; ordeal
ahcuva	ilkeä; pahanilkinen; tuhma	mean; wicked; vicious; spiteful; scurrilous; nefarious; naughty; bad; mischievous; malicious; maleficent; malefic; loutish; iniquitous; icky; elfish; dour; catty; nasty
ahcuvao	pahanilkisyys; tuhmuus; ilkeys	malice; spite; vileness; naughtiness; malevolence; meanness; maliciousness
ahcuyvejli	häikäilemättä; häikäilemättömästi	ruthlessly; unflaggingly
ahcuyvejva	häikäilemätön	callous; machiavellian; ruthless; unscrubulous; unscrupulous
ahcuyvejvao	häikäilemättömyys	unscrupulousness
ahcöyh	epäsointu	discord; dissonance
ahcöyhva	epäsointuinen	dissonant
ahdahonva	huonomaineinen; pahamaineinen; surullisenkuuluisa	disreputable; ill-famed; infamous; notorious
ahdahonvao	pahamaineisuus	notoriety
ahdayste	propaganda	propaganda
ahdaystejo	propagandisti	propagandist
ahdaysteva	propagandistinen	propagandistic
ahdeo	vitsaus	plague; scourge
ahdiir	narrata	fool
ahdiirjo	narri	fool; jester; zany
ahdiirjova	narrimainen	zany
ahdiirtan	aprillipäivä	April fools day
ahdiplo	horna	abyss; hell
ahdirva	katala	lowdown; treacherous; devious; dark
aheaap	murhata	murder
aheaapjo	murhaaja	murderer; murderess
aheaapli	murhaavasti	murderously
aheaapmä	murhamies	cutthroat; murderer
aheaapte	murhaaminen	murdering
aheaapva	murhaava	murderous
aheap	murha	homicide; murder
aheapböönte	murhapoltto	arson
aheapofrava	murhanhimoinen	murderous; homicidal
aheaptraate	murhayritys; attentaatti	assassination attempt; attempted assassination; attempted murder
ahelo	slummi	slum
ahendahäpli	pahaenteisesti	menacingly; ominously
ahendahäpva	pahaenteinen	threatening; ill-omened; inauspicious; ominous
ahendao	paha aavistus	misgiving
ahep	rikkakasvi; rikkaruoho	weed
ahepaap	kitkeä	weed out; cleanse; eradicate; pull up; rinse; root out; scavenge; scour; scrub; weed
ahfaf	korruptio	corruption
ahfafva	korruptoitunut	venal; corrupt
ahfi	kipu	ache; hurting; pain
ahfibön	kiirastuli	Purgatory
ahfiejli	kivuttomasti	painlessly
ahfiejva	kivuton	painless
ahfii	koskea	be sore
ahfiite	kivuntunne	feeling of pain
ahfili	kipeästi	sorely
ahfistava	ankea	somber; mirthless; dreary; cheerless; dismal
ahfisää	rääkyä	howl; yell
ahfitee	satuttaa	hurt; injure
ahfitermo	kipulääke	painkiller; analgesic
ahfiup	nokkonen; viholainen	nettle
ahfiuplaevret	nokkosihottuma	hives
ahfiva	kipeä; kivulias	ill; painful; sick; sore; aching
ahfivao	kipeys	painfulness; poignancy
ahforhäkvo	raippa	whip
ahforroov	sakottaa	fine; give penalty
ahforrov	sakko	fine; penalty
ahfulaaf	kyllästyttää	satiate
ahfulaafen	kyllästynyt	bored; fed up; tired
ahgliuu	luisua	slither
ahhafa	anteeksiantamus; anteeksianto	absolution; forgiveness; pardon
ahhafaa	antaa anteeksi	forgive; remit
ahhafaaen	annettu anteeksi; antoi anteeksi	forgave; forgiven
ahhafaatava	anteeksiannettava	excusable; forgivable; pardonable
ahhafaava	anteeksiantava	forgiving
ahhafali	anteeksi	sorry; excuse me; excused; forgive; forgiven; pardon; pardoned
ahhafateaf	anteeksipyyntö	apology
ahhamusaa	soimata; torua	rebuke; reproach; reprove; scold; upbraid; chide
ahhamusasi	torut	reproval
ahharov	ane	indulgence
ahhaser	karhunpalvelus	disservice
ahhate	hyvike	indemnity
ahhaupe	piski	cur; pooch
ahhauu	räksyttää; räkyttää	yap
ahho	demoni; paha henki	bad spirit; daemon; demon
ahhojo	hiisi; vihtahousu	devil; goblin; nix
ahhoo	riivata	obsess
ahhooen	riivaama; riivattu	demoniacal; possessed; demoniac; bewitched; vexed with a devil
ahhoojo	riivaaja	devil; evil spirit
ahhova	demoninen	demonic
ahhääk	mukiloida	bash up; maul
ahhö	melu	ado; din; noise
ahhöcuoo	räyhätä	brawl
ahhöcuu	remuta	racket
ahhöhäp	rytäkkä	scuffle; hubbub
ahhöli	meluisasti	noisily
ahhöpöcuyvjo	öykkäri	bully; loudmouth; lout; troublemaker
ahhötee	meluta; möykätä	be noisy; make a noise; make trouble loudly
ahhöva	meluisa	noisy; rowdy; clamorous
ahhöyv	melueste	noise barrier
ahiplo	epäkohta	grievance
ahipmäm	penska; kakara; musikka	brat; nauhgty disobent child
ahippe	nulikka	puppy; stripling
Ahjo	perkele; piru; riiviö; saatana; paholainen	demon; devil; fiend; Satan
ahjoli	perkeleesti; pirullisesti	like hell; devilishly; diabolically; fiendishly
ahjosio	kopla	gang
ahjousjo	satanisti	satanist
ahjova	perkeleellinen; pirullinen; rietas; saatanallinen	diabolical; vulgar; satanic; salacious; licentious; lewd; lecherous; lascivious; impure; fiendish; diabolic; devilish; demonic; coarse; carnal; bedeviled; immoral
ahjovao	riettaus	obscenity; lechery
ahkamcuva	ankara	harsh
ahkamjo	kovis	toughie
ahkamva	ankara	hard
ahkarli	röyhkeästi	brazenly; cheekily; impudently; insolently
ahkarva	röyhkeä	brazen; scurrilous; sassy; ruffian; presumptuous; insolent; impudent; impertinent; cheeky; brassy; brash; arrogant; chesty
ahkarvao	hävyttömyys; röyhkeys	impertinence; insolence; impudence; effrontery; arrogance; presumptuousness; forwardness
ahkas	tragedia; tragiikka	tragedy
ahkasli	traagisesti	tragically
ahkasva	traaginen	tragic; tragical
ahkasvao	traagisuus	tragedy
ahkautemo	teratogeeni	teratogen
ahkautemova	teratogeeninen	teratogenic
ahkauva	rujo	shapeless; deformed; formless; malformed
ahkaviseem	irstailla	debauch; debauchery
ahkaviseemjo	irstailija	debauchee; libertine; rounder
ahkaviseemte	irstailu	debauch; debauchery; debauching; lechery
ahkavisem	porno	porn
ahkavisemva	irstas; pornografinen	lustful; profligate; salacious; pornographic; obscene; lecherous; lascivious; dissolute; debauched; dirty; lewd
ahkavisemvao	irstaus	libertinism; revel; lasciviousness; dissipation; debauchery
ahkirek	turmio	perdition; ruin; destruction
ahkirekva	turmiollinen	pernicious; ruinous
ahkliir	häikäistä	glare; dazzle
ahkliirva	häikäisevä	blinding; glaring; resplendent; dazzling
ahklirsaa	pahoitella	bemoan; bewail; be sorry for; regret
ahklirsaaen	pahoitteli	regretted
ahlemsva	pahanhajuinen	fetid; stinking; smelly; noisome; foul-smelling; malodorous
ahli	pahasti; pahoin	wickedly; badly; evilly
ahlicuu	kaltoin kohdella	treated badly; walk over
ahlicuute	kaltoin kohtelu	mistreat; worst treatment
ahlieöpiir	kitua	linger pain
ahlieöpiirva	kitukasvuinen	scrubby; stunted
ahlio	pahe	immoral habit; vice
ahliova	huonotapainen; pahatapainen; paheellinen	ill-mannered; unmannered; depraved
ahlisipao	pahoinpitely	maltreatment; lambasting; abuse; battery; ill-treatment; ill-usage
ahlisipaoo	pahoinpidellä	abuse; batter; maltreat
ahlisipaooen	pahoinpidelty	battered; mistreated
ahlisipaoojo	pahoinpitelijä	assaulter; abuser
ahliteoo	löylyttää	trounce
ahliva	pahainen	miserable; evil
ahlivoote	pahoinvointi	ill-being; nausea; sickness
ahlivoova	pahoinvoiva	nauseated; sick
ahlo	helvetti	darning; hell; hellion; infernal; perdition; inferno
ahlo edpivillö	helvetin esikartano	limbo
ahloli	helvetisti	damnably; hellishly
ahlosa	helkkari	what in hell
ahlova	infernaalinen; helvetillinen	hellish; infernal
ahlumiva	pitkästyttävä; pitkäveteinen	tedious; boring; long-winded; prolix; prosy
ahlytuo	lankeaminen; lankeemus	fall; falling; transgression
ahlytuu	langeta	fall
ahlytuuen	langennut	fallen
ahlytuuva	lankeava	falling
ahmethö	räminä	rattle; jangle
ahmethöö	rämistä	rattle
ahmicuu	paheksua	disapprove
ahmicuuen	paheksuttu	unlawful
ahmicuute	paheksunta	disapproval; disapprobation
ahmii	potuttaa	be disgruntled
ahmili	pahoillaan	sorry; regretful
ahmilii	sapettaa	gall
ahmiobsaa	siunailla	shake head at; utter exclamations; wonder at
ahmiva	kelju; kenkku	bitchy; troublesome
ahmoupva	pahasuinen	foul-mouthed
ahmuo	turmelus	corruption; degeneracy; depravity
ahmuu	turmeltua	be damaged; be spoiled; be corrupted
ahmuuejva	turmeltumaton	incorrupt
ahmuuen	turmeltunut	corrupt; corrupted; damaged
ahmuute	turmeltuminen	depravity
ahmägjo	noita	witch
ahmägjo larau	noidankehä	vicious circle
ahmägvao	noituus	sorcery; witchcraft; witchery
ahmägäm	noita-akka	witch; enchantress; sorceress; crone
ahmääg	noitua	bewitch
ahmäägen	noiduttu	under a spell
ahnid	hätä	anxiety; agony; difficulties; distress; emergency; extremity; grief; need; predicament; straits; destitution
ahnid lirsa	hätävalhe	emergency lie; fib; white lie
ahnidbel	hätäkello	tocsin
ahnidli	hätäisesti	hastily; rashly
ahnidres	hätävara	emergency supply; makeshift
ahnidsta	hätätila; hätätilanne	urgency; crisis; emergency; state of emergency
ahnidva	hätäinen	rash; impulsive; hurried; hotheaded; anxious; flurried; hasty
ahnilk	saasta	taint; filth
ahnilkmo	saaste	pollutant; pollution
ahnilkmoo	saastuttaa	contaminate; pollute; defile
ahnilkmoojo	saastuttaja	polluter
ahnilkmoote	saastuttaminen	pollution; defilement
ahnilkmova	saasteinen	polluted
ahnilkva	likainen; saastainen	dirty; defiled; filthy; unclean; scummy
ahnilkvao	saastaisuus	filthiness
ahnitpu	malka	beam
ahnukka	painajainen; painajaisuni	nightmare
ahnukkava	painajaismainen	nightmarish
aho	synti	evildoing; trespass; transgression; sin
ahoahfi	synnintunto	contrition
ahoahnid	synninhätä	distress over sin
ahob	pahanen	poor thing
ahobcuu	kohdella huonosti	ill-treat; treat badly; maltreat; mistreat
ahobrava	pahansuopa; pahantahtoinen	catty; wicked; malicious; malevolent
ahobravao	pahansuopaisuus; pahantahtoisuus	malevolence; antagonism
ahobsta	kohtalo	destine; fortune; fate; destiny
ahobstaaen	kohtalon määräämä	fated
ahobstali	kohtalokkaasti	fatefully
ahobstaus	fatalismi; fatalismia; kohtalousko	fatalism
ahobstausjo	fatalisti	fatalist
ahobstausva	fatalistinen	fatalistic
ahobstava	kohtalokas; kohtalonomainen	fateful; baneful; fatal
ahoejva	synnitön	sinless
ahofaap	anastaa; rohmuta	usurp; steal; seize; grab; hog
ahofaapen	anastettu	usurped; appropriated
ahofaapjo	anastaja	usurper
ahofapa	synninpäästö	pardon; remission; absolution
ahofra	himo	craving; lust
ahofraa	himoita	crave; desire; covet
ahofraajo	hekumoitsija	voluptuary
ahofraava	himoitseva	covetous
ahofrao	hekuma	lust
ahofraova	hekumallinen	voluptuous
ahofrava	himokas	libidinous; randy; prurient; lustful
ahofravao	himokkuus	lustfulness
ahogörilsa	rippi; synnintunnustus	confession
ahogörilsaa	ripittäytyä	confess one's sins
ahogörilsama	rippi-isä	father confessor
ahohevga	syntitaakka	burden of sin
aholiva	synnillinen	sinful
aholod	syntikuorma	burden of sin
aholurik	syntilista	sin list
aholytuo	syntiinlankeemus	fall
ahosi ahhafa	syntien anteeksiantamus	remission of sins
ahosi tehasoopjo	syntien sovittaja	propitiator of sins
ahosoor	katua	regret; feel sorry; repent; rue
ahosoorejva	katumaton	impenitent; remorseless; unrepentant
ahosoorte	katumus	remorse; repentance; regret; penitence; penance; contrition; compunction
ahosoorva	katuva; katuvainen	remorseful; repentant; penitential
ahosortan	katumuspäivä	day of penance
ahoteejo	synnintekijä	sinner
ahousoffa	syntiuhri	sin offering
ahova	syntinen	unholy; sinful; sinner
ahovao	syntisyys	sinfulness
ahpaeön	surma	bane; death
ahpaeöön	surmata	kill; put to death; slay
ahpaeöönjo	surmaaja	killer
ahpiir	pahentaa	aggravate; exacerbate; make worse; worsen
ahpir	pahempi	worse
ahpircuo	sorto	repression; oppression
ahpircuopö	sortovalta	despotism
ahpircuu	sortaa	oppress; persecute; tyrannize
ahpircuuen	sorrettu	oppressed
ahpircuujo	sortaja	oppressor
ahpirli	pahemmin	worse
ahpiteaaf	kinuta	ask insistently; beg
ahpocujärli	ilkikurisesti	rascally; mischievously
ahpocujärva	ilkikurinen	unruly; mischievious; mischievous; puckish
ahpomakjo	renttu	yob; rotter; bum; lout
ahpope	koni; kaakki	hack; jade; nag
ahpopöide	terrorismi	terrorism
ahpopöte	terrori	terror
ahpopötee	terrorisoida	terrorize
ahpopöteejo	terroristi	terrorist
ahporeek	loukata; rikkoa	violate
ahporeekejva	loukkaamaton	inviolable; inviolate
ahporek	loukkaus	violation
ahpuorva	viheliäinen	miserable; beggarly; execrable; vile; wretched
ahpöculi	ankarasti	harshly; severely; sternly; strictly
ahpöcupir	ankarampi	more severe
ahpöcust	ankarin	harshest; severest
ahpöcuva	ankara	cruel; severe; brutal; unkind
ahpöcuvao	ankaruus; karmeus	austerity; harshness; rigor; rigorousness; rigour; severity; sternness
ahpösoreekjo	konna	felon; miscreant; villain; transgressor; baddy; culprit; offender; crook; blackguard; delinquent
ahpösta	taantumus	reaction; retrogression
ahpöstava	taantumuksellinen	reactionary
ahpötekaas	sabotoida	sabotage
ahpötekas	sabotaasi	sabotage
ahraab	hiertää	chafe; gall
ahrapoaag	vietellä	tempt; seduce
ahrapoaagjo	viettelijä	seducer
ahrapoaagli	viettelevästi	seductively; sedulously
ahrapoaagte	viettelys; viettely	seduction
ahrapoaagva	viettelevä	seducing; seductive
ahrapoaagäm	viettelijätär	temptress; seductress
ahraso	skandaali rakkausjuttu	affaire; scandalous love affair
ahreek	loukata; rikkoa; särkeä	infringe; transgress; vandalize
ahreekejvao	loukkaamattomuus	sanctity
ahreeken	loukattu	infringed
ahreekjo	rikkoja	violator; transgressor
ahrek	rike; rikkomus	misdemeanour; misdemeanor; misconduct; infringement; infraction; offense; tort; transgression; violation; offence
ahrektö	tihutyö	misdeed
ahrektöide	vandalismi	vandalism
ahrektööjo	vandaali	vandal
ahrelito	plagiaatti	crib
ahrelitoo	plagioida	plagiarize
ahrelitoote	plagiointi	plagiarism; plagiarizing
ahriisk	vaarantaa	adventure; endanger; hazard; imperil; jeopardize; risk; venture
ahrisk	vaara	peril; hazard; jeopardy; danger; risk
ahriskejva	vaaraton	harmless
ahriskli	vaarallisesti	dangerously; perilously
ahriskva	vaarallinen	dangerous; hazardous; perilous
ahriskvao	vaarallisuus	dangerousness
ahritsjo	porho	magnate
ahro	mammona	lucre; mammon
ahroaap	ryöstellä; ryöstää; rosvota	kidnap; abduct; rob; ransack; plunder; pillage; loot
ahroaapen	ryöstetty	robbed; purloined; looted
ahroaapjo	ryöstäjä	mugger; robber; pillager; looter
ahroaapte	ryöstely	looting; pillage
ahroap	ryöstö	ransack; ransacking; plundering; pillaging; rapine; pillage; heist; depredation; robbery
ahroapjo	rosvo; ryöväri	bandit; marauder; robber; thief
ahroapteafro	ryöstösaalis	booty
ahroriip	haaskata	trash; waste; fritter away; ruin
ahroriipte	haaskaus	waste
ahrosaa	arvostella	critique
ahroscuu	remuta	make whoopie; whoop it up
ahrosta	lama	depression; recession
ahrosta limno	lamakausi	doldrums; recession
ahrostamuu	lamautua	be depressed
ahrovdiir	kavaltaa	misappropriate; peculate; embezzle; betray
ahrovdiirjo	kavaltaja	embezzler; betrayer
ahrovdiirte	kavallus	embezzlement; embezzling; misappropriation
ahruevtuu	linkuttaa; nilkuttaa	hobble; limp
ahruevtuuva	nilkku	lame
ahsadpoaap	kidnapata	kidnap
ahsava	rääväsuinen	rude
ahsio	mafia	mafia
ahsisaa	piruilla	tease; taunt
ahsivcuoo	rettelöidä	brawl
ahsiveiiv	huikennella	frivol away; shoot; be fickle
ahsiveiivva	huikentelevainen	staggering
ahst	pahin	worst
ahsta	ahdinko	strait; trouble; tribulation; suffering; predicament; ordeal; exigency; distress; disaster; adversity; plight; trial
ahstaa	ahdistaa	worry; pinch; distress; press; pressure; pursue; push; vex; pester; strangle; hector; harass; heckle; constrict; chase; bother; badger; annoy; irritate
ahstaajo	ahdistelija	molester
ahstamiva	tukala	awkward; harsh; uncomfortable
ahstao	ahdistus	anguish; anxiety; oppression; tribulation
ahstategöroide	opportunismi	opportunism
ahstategöroidejo	opportunisti	opportunist
ahstategöroideva	opportunistinen	opportunistic
ahstava	ahdistava	troubling; worrying; distressing; distressful; oppressive
ahstcujo	pessimisti	pessimist
ahstculi	pessimistisesti	pessimistically
ahstcuo	pessimismi	pessimism
ahstcuva	pessimistinen	pessimistic
ahstli	pahiten	worst
ahsttee	tärvellä; pilata	taint; vitiate; spoil; queer; impair; disfigure
ahsttee kasotosi	pilata suunnitelmat	ruin the plans
ahsttee-en	pilaama	tainted
ahstteejo	pilaaja	spoiler
ahstteeva	pilaava	spoiling
ahstteli	pilalla; pilalle	botched; loused; marred; ruined; to ruin
aht	kahdeksan	eight; number eight
ahtarjo	retku	good-for-nothing; scoundrel; idler
ahtbas	kahdeksankymmentä	eighty
ahteejo	pahantekijä	evildoer; evil-doer; malefactor; wrongdoer
ahteens	kiristää	blackmail
ahteensjo	kiristäjä	blackmailer
ahtensva	ankara	rigorous; strict; stringent
ahthyn	elokuu	August
ahtihtuujo	tunkeilija	trespasser
ahtik	kahdeksasosa	eighths
ahtka	kahdeksikko	eight
ahtofa	lahjus	bribe; payola
ahtofaa	lahjoa	bribe; suborn
ahtofaaen	lahjoma; lahjottu	bribe; bribed
ahtofaate	lahjominen	offer of a bribe
ahtofao	lahjonta	bribery; corruption
ahtovriip	nuuduttaa	wilt
ahtsio	oktetti	octet
ahtsiö	heksaluku	hexadecimal
ahtuönte	sählinki	blundering
ahtuöntee	sähliä; sählätä	blunder; fumble; work unskilled
ahtva	kahdeksas; kahdeksannes	eighth
ahtäng	kahdeksankulmio	octagon
ahurpiit	lintsata; pinnata	skive
ahurpiitjo	pinnari	shirker; truant
ahva	paha; pahoja	bad ones; evil; bad; vicious
ahvamlo	allikko	pond; puddle
ahvao	pahuus	badness; evil; malice; wickedness
ahvaova	pahanlaatuinen	malignant
ahvaovao	pahanlaatuisuus	malignancy
ahviseem	tehdä huorin	whore
ahviseemjo	elostelija	philanderer; lecher
ahviseemte	haureus	fornication
ahvisemjo	huorintekijä	fornicator; whoremonger
ahvisemsava	rivo; ruokoton	scabrous; smutty; ribald; obscene; nasty; lewd; bawdy; voluptuous
ahvisemsavao	rivous	obscenity; lewdness
ahvisemva	huora	sporting lady; woman of the street; whoring; whore; trollop; tart; prostitute; lady of pleasure; hooker; harlot; bawd; working girl; fancy woman
ahvisemvao	huoruus	fornication
ahvoböönva fätkatvo	suitsevainen kynttilä	flickering candle
ahvofi	tuska	ache; anguish; pain
ahvofii	kokea kipua; kokea tuskaa	experience pain
ahvofili	tuskallisesti	agonizingly; painfully
ahvofimuu	tuskastua	get impatient; get irritated; grow impatient with
ahvofiofli	tuskaisesti	painfully
ahvofiofva	tuskainen	agonized; pained
ahvofiva	tuskallinen; tuskallista	excruciating; painful; agonizing
ahvofivao	tuskaisuus	painfulness
ahvohööva	huonokuuloinen	hard of hearing
ahvoiptol	tönö	hovel; shanty
ahvojo	kelmi; lurjus	rascal; shyster; ruffian; scallywag; villain; rogue; loafer; double-dealer; chiseler; cad; bad hat; scoundrel; rapscallion
ahvokatee	tuhertaa; töhertää; töhriä	blot; scrawl; scribble; smear; smudge
ahvokateo	töherrys	daub
ahvoleioo	virua	languish; lounge
ahvoleioo autterreeken	virua loukkantuneena	lounge hurt
ahvoleioo dafiejna	makaa tajuttomana; virua tajuttomana	lie unconscious; lounge unconscious
ahvoleioo retna	makaa sairaana	lie sick
ahvoli	huonosti	badly; ill; poorly; shoddily
ahvolitee	tunaroida	fluff; bungle; muff; botch; bumble; mishandle
ahvoliteejo	tunari	bungler
ahvoova	huonovointinen	indisposed; sick; unwell
ahvopiir	huonontaa	bastardize; disabuse; impair; worsen
ahvopir	huonompi	worse; inferior
ahvosaa	kangertaa	stutter
ahvosakeva	huono-onninen	unlucky; luckless
ahvosasa	mongerrus	lingo
ahvosasaa	mongertaa	monger; speak not fluently; stutter
ahvost	huonoin	worst
ahvostao	röttelö	shack
ahvostava	huonokuntoinen; rähjä; rähjäinen	old wreck; tatty; squalid; rickety; ill-tempered; illdisposed; disrepair; disabused; seedy
ahvostavö	rotisko	ramshackle house; ramshackle vehicle; rattletrap
ahvoteli	tökerösti	bluntly
ahvoteva	tökerö	clumsy; inapt; sloppy
ahvotol	hökkeli	shack; hovel
ahvotolcel	hökkelikylä	shantytown
ahvotörov	nälkäpalkka	starvation wage; pittance
ahvova	huono	bad; defective; mediocre; poor; second-rate; unfit; unsatisfactory
ahvovao	huonous	badness
ahvovaova	huonolaatuinen	substandard; poor quality
ahvovöjo	veijari	sly; rogue; rascal
ahvoäm	lutka	hussy; slut
ahvoöösva	huonomuistinen	forgetful
ahvyjo	kätyri	bravo; collaborator; henchman; hireling; minion; underling
ahylcuova	pöyhkeä	haughty; snooty; conceited
ahylcuovao	pöyhkeys	haughtiness
ahylnidvao	ylettömyys	immoderation
ahyys	villitä	drive wild; incite; stir up
ahyyste	villitys	craze; fad; furor
ahö	pahus	damn; heck
ahöbsa	rienaus; solvaus; riena	insult; profanity; affront; abuse; slander; blasphemy
ahöbsaa	rienata; solvata	abuse; affront; blaspheme; insult
ahöbsasi	rienaukset	profanity
ahöfriip	tuhlata	squander; throw away; waste
ahöfriipjo	tuhlaaja; tuhlari	spender; spendthrift
ahöfriipli	tuhlaten	wasting away; lavishly
ahöfriipson	tuhlaajapoika	prodigal son
ahöfriipte	tuhlaus	wastage; waste
ahöfriipva	tuhlaavainen; tuhlaava	extravagant; wasteful
