Tunniste	Englanti	Suomi	Vosa
43	It's windy outside, put on a scarf!	Ulkona tuulee, pistä huivi päähän!	Ni houu. Paa ja päleivat le pä!
44	This scarf is pure wool.	Tämä kaulahuivi on puhdasta villaa.	Tä nekvevat oo klinva vulmo.
45	You haven't lost your gloves at all?	Ette suinkaan ole hukannut käsineitänne?	Jasi ejejli oo keseejen jasiof pavetosi?
46	He has a ring in his finger.	Hänellä on sormessaan sormus.	Hä oof rauli pavetap tapring.
47	I bought sharp-pointed shoes.	Ostin teräväkärkiset kengät.	Aj ääfen kutönpikva tuvetosi.
48	Where can I polish my shoes?	Missä voi kiillottaa kengät?	Koin voo telakliir tuvetosi?
49	Boots on the foot must not enter.	Saappaat jalassa ei saa mennä sisään.	Lutuvetosi la tuvesi ej aaf intuu.
50	You are already running without socks.	Te kuljette jo ilman sukkia.	Jasi tuut ripnen ejli soksi.
51	LOOKS	ULKONÄKÖ	NILIKA
52	They look like each other.	He ovat toistensa näköisiä.	Häsi oo likava obki tuasi.
53	What does he look like?	Minkä näköinen hän on?	Ko likava hä oo?
54	She loves to wear dark sunglasses.	Hän pitää mielellään tummia aurinkolaseja.	Hä paoo hamili takkäva aurloglasi.
55	You have something on your nose.	Sinulla on jotain nenälläsi.	Ja oof ö la jaof nes.
56	When I come from the south, I am quite brown.	Kun tulen etelästä, olen aivan ruskea.	Na ja uut ut ron, aj oo fulli brauva.
57	Do you have suntan lotion / hairbrush / face cream / foot cream / nail scissors?	Onko sinulla aurinkovoidetta / hiusharja / kasvovoidetta / jalkavoidetta / kynsisakset?	Oofko ja aurlo oilpamo / päsiheörvo / edpä oilpamo / tuve oilpamo / rapve dukutvo?
58	You have short hair.	Sinulla on lyhyet hiukset.	Ja oof ulva päheörsi.
59	Has she combed her hair herself or did she it at the hair salon put?	Onko hän kammannut tukkansa itse vai laitattiko hän sen kampaamossa?	Ooko hä päheörvooen häof päsiheör aut taj tuapaaenko hä it in heörlö?
60	I'd like my hair at the barber shave.	Haluaisin ajattaa tukkani parturissa.	Aj ofraaif tuakuut ajof päsiheör in heörlö.
61	This barber shop has only a men's room.	Tässä parturissa on vain miesten sali.	Täin heörlö oo erisli mäsi tolik.
62	RADIO AND TELEVISION	RADIO JA TELEVISIO	HÖDAVÖ A KADAVÖ
63	Turn on the radio!	Pistä auki radio!	Paa ja hödavö oupli!
64	Turn off the radio!	Sulje radio!	Puoo ja hödavö!
65	The radio said it was getting warmer.	Radiossa kerrottiin, että tulee lämpimämpää.	In hödavö öbsasaaenta, syt uut lakpir.
66	Can I turn off the TV?	Voiko television pistää kiinni?	Vooko kadavö paa puo?
67	Turn off the TV!	Sulje televisio!	Puoo kadavö!
68	Did you watch TV yesterday?	Katselitteko eilen televisiota?	Sikaaenko jasi edtanna kadavö?
69	The author created a fine mother character.	Kirjailija loi hienon äidin hahmon.	Rokiirjo novtee-en väkava amof hokau.
70	The performance turned out to be weak.	Esitys osoittautui heikoksi.	Siedtuka auttukaaen mu opva.
71	RECORDER AND PHONOGRAPH	NAUHURI JA LEVYSOITIN	HÖSLOVÖ A LEITOHÖVÖ
72	Move the recorder to a quieter position!	Pistä nauhuri hiljaisemmalle!	Paa ja hönauuhvö öhpir!
73	Put the recorder off!	Pistä nauhuri kiinni!	Puoo hönauuhvö!
74	I took the recorder with me.	Otin nauhurin mukaani.	Aj aapen hönauuhvö tuvi aj.
75	Let's listen to new tapes!	Kuunnellaan uusia nauhoja!	Höörta novva nauhsi!
76	Put the turntable off!	Pistä levysoitin kiinni!	Puoo leitohövö!
77	Sound discs are pretty cheap.	Äänilevyt ovat aika halpoja.	Höleitosi oo rafli lyrovva.
78	Buy me few records!	Osta minulle muutama äänilevy!	Ääf ja for aj ösi höleito!
79	This is a brand new record.	Tämä on aivan uusi äänilevy.	Tä oo fulli novva höleito.
80	PHOTOGRAPHY	VALOKUVAUS	KATKATOAP
81	They take lots of photos, like all tourists.	He ottavat paljon valokuvia, kuten kaikki turistit.	Häsi aap siri katkatosi, li ki rotuojosi.
82	You take good photos.	Te otatte hyviä valokuvia.	Jasi aap hava katkatosi.
83	I just take colour photos.	Otan vain värivalokuvia.	Aj aap erisli käkatkatosi.
84	Take a picture of us here!	Ottakaa meistä kuva tässä!	Aap jasi ob ajsi kato täin!
85	Can you take photos?	Osaatteko te ottaa valokuvia?	Davooko jasi aap katkatosi?
86	Do you want me to show you photos?	Haluatteko, että näyttäisin teille valokuvia?	Ofraako jasi, syt aj tekaaif tu jasi katkatosi!
87	Would you like to view photos?	Haluaisitteko katsella valokuvia?	Ofraaifko jasi sikaa katkatosi?
88	The photos became bad.	Valokuvista tuli huonoja.	Katkatosi muuen ahvova.
89	This is a very successful photograph.	Tämä on hyvin onnistunut valokuva.	Tä oo hali saaken katkato.
90	You've made a good video.	Olette ottaneet hyvän videon.	Jasi oo aapen hava kahöto.
91	Do you have a camera with you?	Onko teillä kamera mukana?	Oofko jasi kavö vi?
92	He forgot his camera.	Hän unohti kameransa.	Hä öösen häof kavö.
93	May I have a black and white film for a photographic machine?	Saisinko mustavalkoisen filmin valokuvauskonetta varten?	Aafifko ja tivvitva sikato for kavö?
94	VISUAL ARTS	KUVAAMATAIDE	KATOKAV
95	Yesterday we went to an exhibition of young painters.	Kävimme eilen nuorten taidemaalareitten näyttelyssä.	Ajsi uttuuen edtanna in nuva kavkämojosi tekahäp.
96	Your son knows how to draw well.	Poikanne osaa hyvin piirtää.	Jasiof son davoo hali katee.
97	Have you been to the Tretyakov Gallery?	Oletko ollut Tretjakovin galleriassa?	Ooko ja ooen in Tretjakov kavlo?
98	Do you know the paintings of this painter?	Tunnetteko tämän taidemaalarin tauluja?	Kadavooko jasi tä kavkämojo volkatosi?
99	This is a well-known painting by a well-known painter.	Tämä on tunnetun taidemaalarin hyvin tunnettu maalaus.	Tä oo kavodaaen kavkämojo-of hali kavodaaen kämoto.
100	There are paintings by the painter Repin.	Tuossa on taidemaalari Repinin maalauksia.	Ätin oo kavkämojo Repinof kämotosi.
101	He is a true / excellent artist.	Hän on todellinen / erinomainen taiteilija.	Hä oo rilva / erhava kavjo.
102	Where did you have such interesting paintings?	Mistä teillä on noin mielenkiintoisia tauluja?	Kout jasi oof ätli ruhamiva volkatosi?
103	What is that statue?	Mikä patsas tuo on?	Ko kaukavto ät oo?
104	sculpture, sculpt, sculpture	veistos, veistää, kuvanveisto	kaukutto, kaukuut, kaukut
105	MUSIC	MUSIIKKI	ROHÖ
106	I enjoy listening to music very much.	Kuuntelen hyvin mielelläni musiikkia.	Aj höör hali hamili rohö.
107	I often listen to music when I read at home.	Kuuntelen usein musiikkia, kun luen kotona.	Aj sina höör rohö, na aj riik in bal.
108	He is only interested in music.	Häntä kiinnostaa vain musiikki.	Hä ruhamii erisli rohö.
109	You will enjoy the choir.	Tulette nauttimaan kuorosta.	Jasi rosaapne hösasio.
110	The concert even appealed to Markku, who doesn't particularly like music.	Konsertti miellytti jopa Markkuakin, joka ei erityisemmin pidä musiikista.	Rohöhäp mihaaen jea Markku ali, kojo ej eröpirli öbraa rohö.
111	What kind of music do you like: devout, peaceful, atmospheric or any other kind of music?	Millaisesta musiikista pidätte: hartaasta, rauhallisesta, tunnelmallisesta vai muunlaisesta musiikista?	Kova rohö jasi öbraa: usmiva, pisva, fistava taj tuava rohö?
112	That's a familiar melody.	Tuo on tuttu melodia.	Ät oo vikadava sihökau.
113	We played three records.	Soitimme kolme levyä.	Ajsi hööven tre höleitosi.
114	He plays the violin very well.	Hän soittaa hyvin viulua.	Hä hööv hali violhöv.
115	He sat down at the piano and started playing.	Hän istuutui pianon ääreen ja alkoi soittaa.	Hä autsiiten tuttu pianhöv a nööen hööv.
116	I really like peaceful songs.	Pidän kovasti rauhallisista lauluista.	Aj öbraa piri pisva hösasi.
117	Sing us a Finnish song!	Laulakaa meille joku suomalainen laulu!	Hösaa jasi tu ajsi ösi finva hösa!
118	Unfortunately, I can't sing.	Valitettavasti en osaa laulaa.	Ongsali aj ej davoo hösaa.
119	Let's learn a new song!	Opetellaanpa uusi laulu!	Siapdaavta a novva hösa!
120	Previously, he was a famous singer.	Aikaisemmin hän oli kuuluisa laulaja.	Lynapir hä ooen dahonva hösaajo.
121	WRITING	KIRJOITTAMINEN	KIIRTE
122	Give me a pen!	Annahan kynä!	Faa a ja kirvo!
123	Do you have a pen?	Onko teillä kynää?	Oofko jasi kirvo?
124	Whose pen is this? Mine.	Kenen tämä kynä on? Minun.	Kojo-of tä kirvo oo? Ajof.
125	Whose pen is this?	Kenen kynä tämä on?	Kojo-of kirvo tä oo?
126	I don't have a pencil.	Minulla ei ole lyijykynää.	Aj ej oof moCkirvo.
127	The pens are there in the desk drawer.	Kynät ovat siellä kirjoituspöydän laatikossa.	Kirvosi oo itla in kirlaos boks.
128	Give me some paper!	Anna vähän paperia!	Faa ja ipri papr!
129	What do you write in the notebook?	Mitä sinä kirjoitat vihkoon?	Ko ja kiir intu sökirto?
130	Are you writing me letters?	Kirjoitatko minulle kirjeitä?	Kiirko ja tu aj kirgaosi?
131	The names of the holidays are capitalized.	Juhlapäivien nimet kirjoitetaan isolla kirjaimella.	Ronotansi ersasi kiirta vy piva kirka.
132	Do you want to be included in the city tour list?	Merkitsenkö teidät kaupunkikierrokselle lähtevien luetteloon?	Maarkko aj ja intu taun rauno urtuuva lurik?
133	DOCUMENT	ASIAKIRJA	SOKIR
134	Fill out the form!	Täyttäkää lomake!	Fuul jasi kaupapr!
135	No visa has been issued yet.	Viisumia ei ole vielä annettu.	Nihylpöafto ej oo pirnen faaen.
136	May I see your identity paper?	Saisinko nähdä henkilöllisyyspaperinne?	Aafifko aj vokaa jasiof hojovao paprsi?
137	I forgot my passport to the hotel.	Unohdin passini hotelliin.	Aj öösen ajof pöafto in rotuotol.
138	Show your license card!	Näyttäkää lupakorttinne!	Tekaa jasi jasiof pöfakart!
139	Do you have a certificate with you?	Onko Teillä todistus mukananne?	Oofko Jasi darilkir vi?
140	Where can I make a copy?	Missä voi ottaa kopion?	Koin voo aap relito?
141	LITERATURE, PRESS	KIRJALLISUUS, LEHDISTÖ	KIRSITO, SIDAPAPR
142	I do not enjoy reading in the library.	En lue mielelläni kirjastossa.	Aj ej riik hamili in sikirlö.
143	You can borrow these books and students borrow books from the library.	Voitte lainata nämä kirjat ja opiskelijat lainaavat kirjoja kirjastosta.	Jasi voo lonroaaf täsi kirtosi a apdaavjosi lonroaaf kirtosi ut sikirlö.
144	Have you been to the library?	Oletteko olleet kirjastossa?	Ooko jasi ooen in sikirlö?
145	Where do you have a fiction department?	Missä teillä on kaunokirjallisuuden osasto?	Koin jasi oof kakirsito iklo?
146	What kind of literature are you interested in?	Millaisesta kirjallisuudesta olet kiinnostunut?	Ob kova kirsito ja oo ruhamiien?
147	Puskin is a great Russian poet / favorite poet.	Puskin on suuri venäläinen runoilija / lempirunoilijani.	Puskin oo piva rusva kausajo / ajof leprakausajo.
148	He is an excellent writer.	Hän on erinomainen kirjailija.	Hä oo erhava rokiirjo.
149	How can you not like a writer like that?	Kuinka voi olla pitämättä tuollaisesta kirjailijasta.	Koli voo oo öbraaejli ätliva rokiirjo.
150	Have you read Dostoevsky's novels?	Oletteko lukenut Dostojevskin romaaneita?	Ooko jasi riiken Dostojevskof kakirtosi?
151	This is a serious novel.	Tämä on vakava romaani.	Tä oo greva kakirto.
152	This is the book I talked to you about.	Tämä on se kirja, josta puhuin teille.	Tä oo it kirto, koöb ja sasaaen tu jasi.
153	Where have you gotten such a rare book?	Mistä olette hankkinut tällaisen harvinaisen kirjan?	Kout oo jasi foraafen täva hitnova kirto?
154	If you happen to see this book, buy now!	Jos satut näkemään tämän kirjan, osta heti!	If ja saat vokaa tä kirto, ääf ja välejnen!
155	Take a book on the way to read!	Ottakaa kirja matkalukemiseksi!	Aap jasi kirto for rotuo riikte!
156	Where is the best place to buy books on Chinese language?	Mistä on parasta ostaa kiinan kieltä käsitteleviä kirjoja?	Kout oo hast ääf kin vos cuteeva kirtosi.
157	By chance you don't have a Russian-Finnish dictionary with you?	Ei sinulla ole sattumalta mukanasi venäjä-suomi sanakirjaa?	Ejko ja oof satli rus-fin sakirto vi?
158	Could you give me that book and that dictionary?	Antaisitteko minulle tuon kirjan ja tuon sanakirjan?	Faaifko jasi tu aj tä kirto a tä sakirto?
159	What are you reading?	Mitä Te luette?	Ko jasi riik?
160	You mustn't read so much.	Et saa lukea niin paljon.	Ja ej aaf riik itli piri.
161	What magazines do you read?	Mitä aikakauslehtiä te luette?	Kosi limnodapaprsi jasi riik?
162	among other things Science magazine	mm. Tiedelehteä	vi tua Dädapapr
163	Do you have computer magazines?	Onko teillä tietokonelehtiä?	Oofko jasi davö dapaprsi?
164	What is written in the magazines?	Mitä lehdissä kirjoitetaan?	Ko in dapaprsi kiirta?
165	You have written an interesting article.	Olette kirjoittanut mielenkiintoisen artikkelin.	Jasi oo kiiren ruhamiva obkir.
166	Which page is it on?	Millä sivulla se on?	Kola kirsid it oo?
167	Here are fresh newspapers for you!	Tässä on teille tuoreita lehtiä!	Täin oo tu jasi rafnovva dapaprsi!
168	After reading the newspaper, give it to me!	Kun olette lukenut sanomalehden, antakaa se minulle!	Na jasi oo riiken novsapapr, faa jasi it tu aj!
169	LANGUAGES	KIELET	VOSSI
170	I need (I don't need) an interpreter.	Tarvitsen (en tarvitse) tulkin (tulkkia).	Aj niid (ej niid) vosmuujo.
171	What foreign languages do you know?	Mitä vieraita kieliä te osaatte?	Siko vifarva vossi jasi davoo?
172	In what language is it written / did you debate?	Millä kielellä se on kirjoitettu / te keskustelitte?	Kovy vos it oo kiiren / jasi visasaaen?
173	He speaks both Russian and English.	Hän puhuu sekä venäjää että englantia.	Hä sasaa a rus a eng.
174	Can you speak English?	Osaatteko englantia?	Davooko jasi eng?
175	She speaks good / fairly good English / German.	Hän puhuu hyvin / melko hyvin englantia / saksaa.	Hä sasaa hali / rafli hali eng / germ.
176	I'm not Swedish, but I speak some Swedish.	En ole ruotsalainen, mutta puhun jonkin verran ruotsia.	Aj ej oo svidjo, mut aj sasaa öri svid.
177	The Estonian language is similar to the Finnish language.	Eestin kieli muistuttaa suomen kieltä.	Est oblikaa fin vos.
178	Do you speak Finnish?	Puhutko sinä suomea?	Sasaako ja fin?
179	Does anyone here speak / understand Finnish?	Puhuuko / Ymmärtääkö täällä joku suomea?	Sasaako / dakavooko täla öjo fin?
180	Do you speak Russian / French / Spanish?	Puhutteko Te venäjää / ranskaa / espanjaa?	Sasaako Jasi rus / frans / esp?
181	He's afraid to talk in Russian.	Hän pelkää puhua venäjää.	Hä raak sasaa rus.
182	Could you speak slowly / slower, I still have a poor understanding of Russian / Italian!	Voisitteko puhua hitaasti / hitaammin, ymmärrän vielä huonosti venäjää / italiaa!	Vooifko jasi sasaa ponli / ponpirli, aj dakavoo pirnen ahvoli rus / ita!
183	When are talked fast, I don't understand everything.	Kun puhutaan nopeasti, en ymmärrä kaikkea.	Na sasaata nopli, aj ej dakavoo ki.
184	How does he speak Russian?	Miten hän puhuu venäjää?	Koli hä sasaa rus?
185	He speaks Russian very (very) quickly.	Hän puhuu venäjää hyvin (erittäin) nopeasti.	Hä sasaa rus hali (errili) nopli.
186	He has started talking Russian.	Hän on alkanut puhua venäjää.	Hä oo nööen sasaa rus.
187	Does he speak some Russian?	Puhuuko hän jonkin verran venäjää?	Sasaako hä öri rus?
188	It is quite a little.	Se on aivan vähän.	It oo fulli ipri.
189	He writes excellent Russian, but speaks quite poorly.	Hän kirjoittaa erinomaisesti venäjää, mutta puhuu melko huonosti.	Hä kiir erhali rus, mut sasaa rafli ahvoli.
190	The guide speaks slowly and understandably.	Opas puhuu hitaasti ja ymmärrettävästi.	Tudaavjo sasaa ponli a dakavoli.
191	He speaks quite fluently.	Hän puhuu aivan sujuvasti.	Hä sasaa fulli havotuuli.
192	How do you translate this word into Finnish?	Miten käännätte tämän sanan suomeksi?	Koli jasi vosmuu tä sa mu fin?
193	Would you please translate this letter into Finnish!	Kääntäisittekö tämän kirjeen suomeksi!	Vosmuuifko jasi tä kirgao mu fin!
194	Could you please translate this letter to me!	Voisitteko kääntää minulle tämän kirjeen!	Vooifko jasi vosmuu for aj tä kirgao!
195	You asked me to translate this text.	Pyysitte minua kääntämään tämän tekstin.	Jasi teaafen aj vosmuu tä kir.
196	He can translate well from Russian in Finnish.	Hän osaa hyvin kääntää venäjästä suomeen.	Hä davoo hali vosmuu ob rus mu fin.
197	Could you please check my translation?	Voisitteko tarkistaa käännökseni?	Vooifko jasi istaark ajof vosmuo?
198	Could you explain what it means?	Voisitteko selittää, mitä se merkitsee?	Vooifko jasi klirsaa, ko it obmaark?
199	What does this / that mean?	Mitä tämä / tuo tarkoittaa?	Ko tä / ät obmaark?
200	Did you understand what the clause means?	Ymmärsittekö, mitä lause merkitsee?	Dakavooenko jasi, ko lusa obmaark?
201	We can't survive without an interpreter.	Emme selviä ilman tulkkia.	Ajsi ej autvokliir ejli vosmuujo.
202	Do you have a Finnish-Vosa dictionary / glossary?	Onko sinulla suomi-vosa sanakirjaa / sanastoa?	Oofko ja fin-vosa sakirto / sisato?
203	I need a dictionary like that.	Tarvitsen tuollaista sanakirjaa.	Aj niid ätliva sakirto.
204	I can't find this word in the dictionary.	En pysty löytämään tätä sanaa sanakirjasta.	Aj ej votee kees tä sa ut sakirto.
205	What is this / that called?	Miksi tätä / tuota kutsutaan?	Komu tä / ät tukoota?
206	Please show the sentence from the book. Wait a minute.	Olkaa hyvä ja näyttäkää lause kirjasta. Hetkinen.	Oo jasi hava a tekaa jasi lusa ut kirto. Ipnoip.
207	I'll see if I can find it in this book.	Katson, löydänkö sen tästä kirjasta.	Aj kaa, keesko aj it ut tä kirto.
208	Russia belongs to the Slavic languages.	Venäjä kuuluu slaavilaisiin kieliin.	Rus tuoof slavva vossi.
209	Do you have a Russian mother tongue?	Onko Teillä venäjä äidinkieli?	Oofko Jasi rus ofvos?
210	He is an expert in the Vosa language.	Hän on Vosa-kielen asiantuntija.	Hä oo Vosa vos sovodajo.
211	He remembers Vosa's words well.	Hän muistaa hyvin vosan sanoja.	Hä söö hali Vosa sasi.
212	We have Vosa classes on Wednesdays.	Keskiviikkoisin meillä on vosan tunnit.	Na ditansi ajsi oof Vosa dinsi.
213	I have a Vosa textbook with me.	Minulla on vosan oppikirja mukanani.	Aj oof Vosa davkirto vi aj.
214	He learns new words.	Hän opettelee uusia sanoja.	Hä siapdaav novva sasi.
215	"What is a ""finger"" in Vosa?"	"Mitä on vosaksi ""sormi""?"	"Ko oo mu Vosa ""finger""?"
216	"It's a ""pavetap""."	"Se on ""pavetap""."	"It oo ""pavetap""."
217	It is important that you speak more Vosa.	On tärkeää, että te enemmän puhuisitte vosaa.	Oo curova, syt jasi pir sasaaif Vosa.
218	She is fluent in English.	Hän osaa erinomaisesti englantia.	Hä davoo erhali eng.
219	PHONE	PUHELIN	VISAVÖ
220	You can call there.	Voitte soittaa sinne.	Jasi voo visavöö itle.
221	Let him call rather to me!	Soittakoon hän mieluummin minulle!	Visavöö hä mihapirli tu aj!
222	Let's call first and ask!	Soitetaan ensin ja kysytään!	Visavööta isvana a koota!
223	You can call a duty officer on the phone.	Voitte puhelimella kutsua paikalle päivystäjän.	Jasi voo vy visavö tukoo le lo tuaftööjo.
224	Can I call?	Saako soittaa?	Aafko visavöö?
225	The number is again / The phone is busy all the time.	Numero on taas / Puhelin on koko ajan varattu.	Kasiö oo pirnen / Visavö oo ful no reesen.
226	Do you have time to call home?	Joko ehditte soittaa kotiin?	Ripnenko jasi novoo visavöö tu bal?
227	I couldn't call home.	En onnistunut soittamaan kotiin.	Aj ej saaken visavöö tu bal.
228	We could just as well call back a little later.	Voimme yhtä hyvin soittaa sitten vähän myöhemmin.	Ajsi voo reri hali visavöö itne ipri nepir.
229	The phone rings, drag the headset image on the smartphone screen.	Puhelin soi, vedä kuulokkeen kuvaa älypuhelimen näytöllä.	Visavö hööv, poaag ja vohövo kato la vissavö tekalao.
230	Hello! I'm listening! Who are you asking?	Haloo! Kuuntelen! Ketä kysytte?	Halou! Aj höör! Kojo jasi koo?
231	Please ask / Would you like to ask Matti Meikäläinen on the phone!	Olkaa hyvä ja pyytäkää / Pyytäisittekö Matti Meikäläistä puhelimeen!	Oo jasi hava a teaaf / Teaafifko Matti Meikäläinen tu visavö!
232	Would you please ask the manager on the phone?	Pyytäisittekö johtajaa puhelimeen?	Teaafifko jasi diirjo tu visavö?
233	He's there, I'll give him the phone.	Hän on tuossa, annan puhelimen hänelle.	Hä oo ätin, aj faa visavö tu hä.
234	Hold on! You will be asked to phone.	Odottakaa! Teitä pyydetään puhelimeen.	Obnoo jasi! Jasi teaafta tu visavö.
235	No one has called you?	Kukaan ei ole soittanut teille?	Ejkojo oo visavööen tu jasi?
236	My brother didn't call me today.	Veljeni ei soittanut minulle tänään.	Ajof bajson ej oo visavööen tu aj tätanna.
237	He called his brother.	Hän soitti veljelleen.	Hä visavööen tu häof bajson.
238	You were just called recentli.	Teille soitettiin juuri äsken.	Tu jasi visavööenta jusli rafnen.
239	The leader himself called.	Itse johtaja soitti.	Aut diirjo visavööen.
240	Say, that Heikki called.	Sanokaa, että Heikki soitti.	Saa jasi, syt Heikki visavööen.
241	Sorry to call you so early!	Anteeksi, että soitan näin aikaisin!	Ahhafali, syt aj visavöö täli lyna!
242	I knew you from the voice.	Tunsin sinut äänestä.	Aj kavodaaen ja ob hö.
243	I immediately knew your voice.	Tunsin heti Teidän äänenne.	Aj kavodaaen välejnen Jasiof hö.
244	I called yesterday, but you weren't home.	Soitin eilen, mutta te ette ollut kotona.	Aj visavööen edtanna, mut jasi ej ooen in bal.
245	Wait a minute, I'll write down the phone number, so that I'll not forget.	Odottakaa hetkinen, kirjoitan ylös puhelinnumeron, jotten unohtaisi.	Obnoo jasi ipno, aj kiir for sö visavö kasiö, syt aj ej öös.
246	Write down your phone number!	Kirjoita muistiin puhelinnumero!	Kiir ja for sö visavö kasiö!
247	When we're back, I'll call right away.	Kun olemme palanneet takaisin, soitan heti.	Na ajsi oo reuuten, aj visavöö välejnen.
248	Call me tonight!	Soittakaa minulle illalla!	Visavöö jasi tu aj ennatna!
249	Call me tomorrow at the same time!	Soittakaa huomenna tähän samaan aikaan!	Visavöö jasi detanna tä re na!
250	All right, I'll call tomorrow morning.	Hyvä on, soitan huomenaamulla.	Hava oo, aj visavööne detan entanna.
251	DEBATE	KESKUSTELU	VISASA
252	How's it going? How are you?	Miten menee? Mitä kuuluu?	Koli tuu? Ko authöö?
253	What about you?	Entäpä teille?	A ko tu jasi?
254	How are you?	Miten voitte?	Koli jasi voo?
255	Thank you, I feel great.	Kiitos, voin erinomaisesti.	Haforsa, aj voo erhali.
256	What good do you have to tell?	Mitä hyvää Teillä on kerrottavana?	Ko hava jasi oof öbsasaa?
257	Tell us how you are!	Kerro, miten ovat asiasi!	Öbsasaa, koli jaof sosi oo!
258	As usual. Everything is fine.	Kuten tavallisesti. Kaikki on kunnossa.	Li resili. Ki oo na hava vosta.
259	Nothing special.	Ei mitään erikoista.	Ejö erliva.
260	Um. what would you say.	Tuota. mitähän sinulle sanoisi.	Ät, ko a aj saaif tu ja.
261	Where were you on vacation?	Missä te olitte lomalla?	Koin jasi ooen na urtöno?
262	How did your holiday go?	Miten lomanne meni?	Koli jasiof urtöno tuuen?
263	Thank you, excellent.	Kiitos, erinomaisesti.	Haforsa, erhali.
264	Tell us about your trip!	Kerrohan matkastasi!	Öbsasaa a ja öb jaof rotuo!
265	Tell us about Runeberg!	Kertokaa meille Runebergistä!	Öbsasaa jasi tu ajsi öb Runeberg!
266	So.	Niin.	Itli.
267	I'll tell you a case of our family life.	Kerron teille erään tapauksen perheemme elämästä.	Aj öbsasaa tu jasi ö obhäp öb ajsiof baj eo.
268	I'll tell you a funny thing.	Kerron teille huvittavan jutun.	Aj öbsasaa tu jasi hehrosva öbsasa.
