English	Finnish	Vosa
Free programs are available online or you can rent remote access to an expensive program. Or would a member already have a good house design software ready. Will the house be built by hand or from a ready-made package? When we get a good proton designed, we could give it to industrialization planning to see if the package could be manufactured cheaply industrially.	Netistä on saatavissa ilmaisohjelmia tai voi vuokrata kalliiseen ohjelmaan etäkäyttöä. Vai olisiko jollakin jäsenellä jo valmiina hyvä talon suunnitteluohjelmisto. Tehdäänkö talo hartiavoimin vai valmispaketista? Kun saamme suunniteltua hyvän proton, voisimme antaa sen teollistamissuunnitteluun, saataisiinko paketti valmistettua halvalla teollisesti.	Ut vinet oo voafna ejrovriva progsi taj voo lonfääf farteo for ylrovva prog. Taj oofko kojo ve ripnen tefulli hava tolkasoote siprog. Tootako tol vy leiolkveposi taj ob tefulpäk? Na ajsi aaf kasooen hava nölikato, ajsi vooif faa it tu tolööte kasoote, aaftaifko päk too lyrovli toolöli.
What activities and everything else do you want in the community? Detailed design.	Mitä toimintaa ja kaikkea muuta haluatte yhteisöön? Yksityiskohtainen suunnittelu.	Ko ote a ki tua ofraa jasi tu isvisio? Tarkiplova kasoote.
Environmental problems	Ympäristöongelmat	Raulo-ongsi
In general, environmental problems, their causes, weights, solutions and their evaluation.	Yleisesti ympäristöongelmat, niiden syyt,  painoarvot, ratkaisut ja niiden arviointi.	Tihnali raulo-ongsi, itsiof sysi, hevrosi, gnosi a itsiof rokaate.
Acentralized, compact portal from which problems and solutions can be searched.	Tehtävä keskitetty tiivis portaali, josta voidaan hakea ongelmia ja ratkaisuvaihtoehtoja.	Piit tee midpaaen tihruva ylnetsisid, kout voota seek ongsi a gno tajifosi.
Development of simulation models of causes and consequences and their research. A centralized database of causes, consequences, solutions and evaluations of solutions.	Syiden ja seurausten simulointimallien kehittäminen ja niiden tutkimus. Keskitetty tietokanta syille, seurauksille, ratkaisuille ja ratkaisujen arvioinneille.	Sysi a deosi litekaate likatosi deevte a itsiof daka. Midpaaen dabes for sysi, deosi, gnosi a gnosi rokaate.
Development and enabling and widespread acceptance of global and national legislation and agreements.	Yleismaailmallisen ja kansallisen lainsäädännön ja sopimusten kehittäminen ja niiden toimeenpanon mahdollistaminen ja laaja hyväksyntä.	Tihnakölliva a hyjva pösote a visopto deevte a itsiof paote vovaate a leileiva hafa.
More research, training, education. Publicly available data sources.	Lisää tutkimusta, koulutusta, valistusta. Tietolähteet yleisesti saataville.	Pir daka, padaavte, katdafa. Dasorssi tihnali for voafna.
Climate change	Ilmastonmuutos	Homsta temuo
Causes:	Syyt:	Sysi
Increase in greenhouse gases. With the melting of permafrost and ice, more greenhouse gases are released from nature. Emissions of harmful substances into the air. Decrease in vegetation that would act as a carbon sink.	Kasvihuonekaasujen lisääntyminen. Ikiroudan ja jään sulaminen, kasvihuonekaasuja vapautuu luonnostakin enemmän. Haitallisten aineiden päästöt ilmaan. Kasvillisuuden, joka toimisi hiilinieluna, väheneminen.	Eptolik hamsi sipiirte. Kikino molkalm a kalm mlaakte, eptolik hamsi autfriuur biolo a pir. Ögrova mosi fapasi tu hom. Siep, koö oteeif moCinemve, autriipte.
Natural variation between the ice age and the warm season and other natural variations?	Luonnollinen vaihtelu jääkauden ja lämpimän kauden välillä ja muut luonnolliset vaihtelut?	Biova simuuo välna kalm limno a lakva limno a tuasi biova siermuosi.
Solutions:	Ratkaisut:	Gnosi:
A thorough study of all existing solutions and possible future and developing ones. Implementation of proven solutions.	Perusteellinen selvitys kaikista jo olemassa olevista ratkaisuista ja mahdollisista tulevista ja kehitteillä olevista. Hyväksi todettujen ratkaisujen käyttöönotto.	Alsyva soklirap öb ki ripnen oova gnosi a vova neeva a deevnen oova. For hava darilkasaaen gnosi teoap.
Increase in waste	Jätemäärän kasvu	Jätri piirte
Causes:	Syyt:	Sysi:
There has been a desire to increase consumption so that markets and profits increase.	Kulutusta on haluttu lisätä, että markkinat ja voitot kasvaisivat.	Tetoriipte oo obraaen piir, syt forfäsi a vinsi piirif.
Solutions:	Ratkaisut:	Gnosi:
Recycling economy. Consumer education.	Kierrätystalous. Kuluttajavalistus.	Torauute rosta. Tetoriipjo katdafa.
More durable and longer-lasting products on the one hand and biodegradable products on the other.	Kestävämmät ja pitkäikäisemmät tuotteet ja toisaalta biohajoavat tuotteet.	Ögvopir a lujänripir tosi a tuaelli bio silomuuva tosi.
Depletion of biodiversity	Luonnon monimuotoisuuden köyhtyminen	Biolo sikauvao autstirpiirte
Causes:	Syyt:	Sysi:
Not all organisms have a chance to survive. Hunting consumption of natural products.	Kaikilla eliöillä ei ole elinmahdollisuuksia. Luonnontuotteiden riistokulutus.	Ki eösi ej oof eovovaosi. Biolotosi ofpöap tetoriipte.
Solutions:	Ratkaisut:	Gnosi:
Cultivate and grow rare species and promote their survival. More nature reserves. More enlightenment.	Viljellään ja kasvatetaan harvinaisia lajeja ja edistetään niiden säilymistä. Enemmän luonnonsuojelualueita. Lisää valistusta.	Viilta a paeöpiirta hitnova vaiksi a vyroteeta itsi lienoote. Pir biolo seefte leilosi. Pir katdafa.
Depletion of natural resources	Luonnonvarojen hupeneminen	Bioloressi autroriipte
Causes:	Syyt:	Sysi:
People always just want a higher standard of living, even those who already have the necessary commodities. The recycling economy is not working perfectly. Arms production and wars are wasting natural resources and destroying nature and infrastructure.	Ihmiset haluavat aina vain korkeampaa elintasoa, nekin joilla on jo välttämättömät hyödykkeet. Kierrätystalous ei toimi täydellisesti. Asetuotanto ja sodat kuluttavat turhaan luonnonvaroja ja tuhoavat luontoa ja infraa.	Mämsi ofraa kina isli ylpir eotal, häsi a, kosi oof ripnen nidva görotosi. Torauute rosta ej otee fulvoli. Sipvo toote a sipsi toriip nidejli bioloressi a kireek biolo a beslitol.
Solutions:	Ratkaisut:	Gnosi:
Ending unnecessary consumption. Increasing the production and use of renewable resources. Consumption of intangible assets more and less consumption of tangible assets. All people should work for the common good, and not act too selfishly.	Turhan kulutuksen lopettaminen. Uusiutuvien luonnonvarojen tuotannon ja käytön lisääminen. Aineettomien hyödykkeiden kulutusta enemmän ja vähemmän aineellisten hyödykkeiden kulutusta. Kaikkien ihmisten pitäisi toimia yhteisen hyvän puolesta, eikä toimia liian itsekkäästi.	Nidejva toriipte teöönte. Autnoovva bioloressi toote a teo pirpaate. Moejva görotosi toriipte pir a rip mova görotosi. Ki mämsi piitif otee gö viofva hava, a ej otee ylrili autli.
Noise	Melu	Ahhö
Causes:	Syyt:	Sysi:
Transport. Machinery.	Liikenne. Koneet.	Tusta. Vösi
Solutions:	Ratkaisut:	Gnosi:
Quieter sounding vehicles and machines. Reducing traffic, jobs and services close to housing, more teleworking.	Hiljaisempi ääniset kulkuvälineet ja koneet. Liikenteen vähentäminen, työpaikat ja palvelut lähelle asuntoja, etätyötä enemmän.	Öhpir tuuttevosi a vösi. Tusta riipte, tölosi a sersi tu raf elosi, fartö pir.
Ozone depletion	Otsonikato	MoOtre kayyrte
Causes:	Syyt:	Sysi:
Harmful chemicals in air.	Haitalliset kemikaalit ilmaan.	Ögrova kemmosi tu hom.
Solutions:	Ratkaisut:	Gnosi:
Harmful chemicals are replaced by harmless ones. Green chemistry.	Haitalliset kemikaalit korvataan haitattomilla. Vihreä kemia.	Ögrova kemmosi sijfaata vy ögroejva. Grinva kemda.
Acidification of water bodies and soils	Vesistöjen ja maaperän happamoituminen	Sivamlosi a almol authapmuute
Causes:	Syyt:	Sysi:
Pollution deposition from the air and emissions from sewers.	Saasteiden laskeumat ilmasta ja päästöt viemäreistä.	Ahnilkmosi lyomosi ut hom a fapasi ut nilkvamgasi.
Solutions:	Ratkaisut:	Gnosi:
Green chemistry. Water purification methods.	Vihreä kemia. Vesistöjen puhdistusmenetelmät.	Grinva kemda. Sivamlosi kliinte culitesi.
Eutrophication of water bodies	Vesistöjen rehevöityminen	Sivamlosi pirieepte
Causes:	Syyt:	Sysi:
Harmful emissions to water.	Haitalliset päästöt vesistöihin.	Ögrova fapasi tu sivamlosi.
Solutions:	Ratkaisut:	Gnosi:
Development and introduction of better water treatment technologies. Green chemistry that would not be so much harmful emissions.	Parempien vedenpuhdistusteknologioiden kehitys ja käyttöönotto. Vihreä kemia, että ei tulisi niin paljon haitallisia päästöjä.	Hapir vamkliinte tekdä dev a teoap. Grinva kemda, syt ej uutif itli siri ögrova fapasi.
Environmental toxins and chemicalization of the environment	Ympäristömyrkyt ja ympäristön kemikalisoituminen	Raulo toksmosi a raulo kemmopiirte
Causes:	Syyt:	Sysi
Harmful chemicals. When products decompose in nature, harmful compounds may also be released.	Haitalliset kemikaalit. Tuotteiden hajotessa luonnossa saattaa myös tulla haitallisia yhdisteitä.	Ögrova kemmosi. Na tosi silomuu in biolo meej ali uut ögrova vimosi.
Solutions:	Ratkaisut:	Gnosi:
Green chemistry. Consumer education. More environmentally friendly and natural products for more uses.	Vihreä kemia. Kuluttajavalistus. Luontoystävällisiä ja luonnontuotteita enemmän käyttökohteisiin.	Grinva kemda. Tetoriipjo katdafa. Biolohavicuva a biolotosi pir tu teo-obsi.
A more detailed list of environmental challenges	Ympäristön haasteista tarkempi luettelo	Öb raulo hassi tarkpir lurik
Climate change, greenhouse gas emissions, global warming.	Ilmastonmuutos, kasvihuonekaasupäästöt, maailmanlaajuinen lämpeneminen.	Homsta temuo, eptolik ham fapasi, kölleiva lakpiirte.
Air pollution, urban air, long-distance transport.	Ilman saastuminen, kaupunkien ilma, kaukokulkeutuminen.	Hom autahnilkmoote, taunsi hom, farauttuutte.
Ozone depletion, ground-level ozone and other photochemical oxidants (electron acceptors like oxygen, electron is negative or under zero electrically part of atom, electricity is säh in Vosa, proton is plus electric, neutron is electrically uncharged).	Otsonikerroksen oheneminen, alailmakehän otsoni ja muut valokemialliset hapettimet (elektronin vastaanottajia, kuten happi; elektroni on negatiivinen tai alle nollan oleva atomin osa, sähkö on säh Vosaksi, protoni on plus-sähköinen, neutroni on sähköisesti varaukseton).	MoOtre leiyl nitpiirte, alhom larau moOtre a tua katkemdava ripsähik-aapjösi (ripsähik aapjösi li moO; ripsähik oo ejva taj alnulva sähva ik of moik, säh oo electricity mu eng, proton oo pirsähik, neutron oo ejjesähik).
Water pollution, eutrophication, wastewater management, oil pollution, plastic waste.	Vesistöjen saastuminen, rehevöityminen, jätevesien hallinta, öljysaasteet, muovijäte.	Sivamlosi autahnilkmoote, pirieepte, jätvamsi ofpö, oilmo ahnilkmosi, kaumojät.
Scarcity and pollution of clean, fresh water. Dams and their impact on the environment.	Puhtaan, makean veden niukkuus ja saastuminen. Padot ja niiden vaikutus ympäristöön.	Klinva, suitva vam aliprivao a autahnilkmoote. Vamyvsi a itof ys tu raulo.
Soil pollution, land use, urban sprawl, load.	Maaperän saastuminen, maankäyttö, kaupunkiasutuksen leviäminen, kuormitus.	Almol autahnilkmoote, mol teo, taun eori leituute, lodri.
Deforestation, rainforest loss, desertification, forest degradation.	Metsäkato, sademetsien kato, aavikoituminen, metsien laadun huononeminen.	Pul kayyrte, vamlypulsi kayyrte, eloejouplomuo,  pulsi vao autahvopiirte
Loss of biodiversity, species that take up too much space from others.	Luonnon monimuotoisuuden katoaminen, lajit jotka vievät liiaksi tilan muilta.	Biolo sikauvao kayyrte, vaiksi, koösi  gaa ylylrili til ut tuasi.
Increased carbon footprint, overpopulation, over-consumption, depletion of natural resources.	Suurentunut hiilijalanjälki, ylikansoitus, liika kuluttaminen, luonnonvarojen ehtyminen.	Pipiiren moCtuvedeka, ylhyyjte, ylrili toriipte, bioloressi aföönte.
Household and industrial waste, non - recyclable waste, rubbish and landfills.	Kotitalouksien ja teollisuuden jätteet, kierrättämätön jäte, roskat ja kaatopaikat.	Balrostasi a tolövao jätsi, torauuejva jät, nilkösi a jätleilosi.
Lack of sustainable development, poverty.	Kestävän kehityksen mukaisen toiminnan vähyys, köyhyys.	Ögvova dev lioova oteof iprivao, stirvao.
Agricultural pollution, industrial agriculture, food security, soil erosion and degradation.	Maatalouden saasteet, teollinen maatalous, ruokaturvallisuus, maaperän eroosio ja huononeminen.	Vilrosta ahnilkmosi, tolöva vilrosta, emturvao, almol autriipte a autahvopiirte.
Overfishing, overhunting, coastal threats.	Ylikalastaminen, ylimetsästys, rannikkoalueiden uhat.	Ylfiiste, ylpulpeaapte, vamdimlo leilosi obrisksi.
Toxins, pharmaceutical waste to nature, soil, water, aquatic life, fish deaths, Bioaccumulation, biomagnification. Chemical risks e.g. hydrogen cyanide, hydrogen sulfide, nitrogen dioxide, ricin, organophosphate pesticides, formaldehyde, asbestos, benzene, beryllium, chlorofluorocarbons, cyanide, DDT, endocrine disruptors, explosives, pesticides, hydrocarbons, PBS, perchlorate, permanent compounds, toxic heavy metals, arsenic, mercury, lead, PCBs, dioxin, polycyclic aromatic hydrocarbons, radioactive contamination, volatile organic compounds.	Myrkyt, lääkejätteet luontoon, maaperään, vesistöön, vesieliöstöön, kalakuolemat, biokertyminen, biomagnifikaatio. Kemikaaliriskit mm. vetysyanidi, rikkivety, typpidioksidi, risiini, organofosfaattiset torjunta-aineet, formaldehydi, asbesti, bentseeni, beryllium, kloorifluorihiilivedyt, syanidi, DDT, endokriiniset häiriöt, räjähteet, torjunta-aineet, hiilivedyt,  perkloraatti, pysyvät orgaaniset epäpuhtaudet, PBB-yhdisteet, PBDE-yhdisteet, myrkylliset raskasmetallit, arsenikki, elohopea, lyijy, PCB,  dioksiini, polysykliset aromaattiset hiilivedyt, radioaktiivinen kontaminaatio, haihtuvat orgaaniset yhdisteet.	Toksmosi, termojätsi tu biolo, almol, sivamlo, vam sipe, fis eönsi, bioautkaapte , biopopiirte. Kemmosi risksi intuasi moHsyanidmo, moSmoH, moNOis, risinmo, evmoPkusva  voögyyvtemosi, formaldehydmo, asbestmo, bentsenmo, moBe, moClmoFmoCHsi, syanidmo, DDT, ingländevva cuyvsi, homrekmosi, voögyyvtemosi, moCHsi, perkloratmo, auteoova evva ejklinvao, PBB-vimosi, PBDE-vimosi, toksva hevmetsi, moAS, moHg, moPb, PCB, dioksinmo, siringva rofiemva moCHsi, katiikte-siteva autahnilkmoote, tuhoomva evva vimosi.
Emissions from mining, environmental impact of the coal industry.	Kaivostoiminnan aiheuttamat päästöt, kivihiiliteollisuuden ympäristövaikutukset.	Momaplo ote syyenva fapasi, kammoC tolövao raulo yssi.
Acid rain, acidification of both water bodies and soil.	Happosateet, happamoituminen sekä vesistöjen että maaperän.	Hapmo vamlysi, authapmuute a sivamlosiof a almolof.
Genetic modification, biological contaminants, nanopollutants.	Geenimuuntelu, biologiset saasteet, nanosaasteet.	Gen sitemuute, biodäva ahnilkmosi, gusik ahnilkmosi.
Extinction of endangered species, destruction and fragmentation of ecosystems.	Uhanalaisten lajien katoaminen, ekosysteemien hävitys ja pirstoituminen.	Obriskalva vaiksi kayyrte, ekolijärsi häävte a autikreekte.
Health hazards, light and sound pollution.	Terveyshaitat, valo- ja äänisaasteet.	Terögrosi, kat- a hö-ögrosi.
Natural disasters, major accidents.	Luonnonkatastrofit, suuronnettomuudet.	Biolo kirekstasi, pikassi.
Nuclear accidents, weapons and pollution, wars.	Ydinonnettomuudet, -aseet ja -saasteet, sodat.	Ydinkassi, -sipvosi a –ahnilkmosi, sipsi.
God's work in man, repentance and forgiveness of sins	Jumalan työ ihmisessä, parannus ja syntien anteeksisaaminen	Hajo-of tö in mäm, hapiirte a ahosi ahhafali aafte
1. Man is in need of safety, the soul will not find peace until he finds the right flock in which Jesus walks in his/her own , and from there sins can be forgiven by the power of the Holy Spirit.	1. Ihmiselle tulee hätä turvasta, sielu ei saa rauhaa, ennen kuin löytää oikean lauman, jossa Jeesus kulkee omissaan ja sieltä voidaan julistaa synnit anteeksi Pyhän Hengen voimalla.	Mäm muu ahnid ob tur, hoj ej aaf pis, en na kees ratva sio, koin Jesus tuut in häof öfvasi a itel voota dihsasaa ahosi ahhafali vy po of Pyhva Ho.
2. Man enters through a narrow gate when he agrees to be reconciled by receiving the remission of sin from Jesus' own, from whom the oil and flame of the Holy Spirit gives oil to the extinguished lamp of faith of the gospel recipient and ignite faith.	2. Ihminen menee ahtaasta portista sisään, kun hän suostuu sovintoon ottamalla vastaan synninpäästön Jeesuksen omilta, joilta saatava Pyhän Hengen öljy ja liekki antavat evankeliumin vastaanottajan sammuneeseen uskon lamppuun öljyä ja sytyttävät uskon.	Mäm intuu litva pöouv, na hä hafatuu tu hasop vy ögaap ahofapa ut Jesusof öfvasi, kojoel pitaafva Pyhva Ho-of oilmo a kabön faa tu ögaapjo rossa, önböönen usof  katvö oilmo a tenöböön us.
For man cannot believe in his own sense and power, if she/he tried, it would be her/his own righteousness.	Sillä omasta järjestä ja voimasta ihminen ei voi uskoa, jos yrittäisikin, se olisi omaa vanhurskautta.	Syfor vy öfva vis a po mäm ej voo uus, if hä traaif, it ooif autushavao.
3. Peace, freedom of conscience, and joy fill the heart as the fruit of the Holy Ghost.	3. Kun ihminen saa näin ottaa vastaan synninpäästön, niin häneltä lähtee painolasti ja tulee kevyt olo. Rauha, tunnon vapaus ja ilo täyttävät sydämen Pyhän Hengen hedelminä.	Na mäm aaf täli ögaap ahofapa, itli urtuu el hä hevlod a muu vehva osta, pis, hahfiof frivao a ros fuul hemoev (hoj) li hedsi of Pyhva Ho.
4. He goes to follow Jesus' own flock, in the midst of which Jesus is a good shepherd.	4. Hän lähtee seuraamaan Jeesuksen omia, sitä laumaa, joiden keskellä Jeesus on hyvänä paimenena.	Hä urtuu dekaa Jesusof öfvasi, it sio, midin kojosi Jesus oo na hava ylpekaajo.
5. The Holy Ghost, through the church of Christ and in our own conscience, directs life, both righteousness through faith and life.	5. Pyhä Henki seurakunnan kautta ja omassa tunnossa ohjaa elämää, sekä uskon, että elämänvanhurskautta.	Pyhva Ho intuli usjosio a in hahfi tudiir eo, a us a eohavao.
6. And God shall prepare you from time to eternity.	6. Ja Jumala valmistaa lähtöön ajasta iäisyyteen.	A Hajo tefuul for urtuo ut no tu kikino.
How would the Russian government have benefited from acting for the success of the whole world?	Miten Venäjän hallinnon olisi kannattanut toimia koko maailman menestykseksi?	Koli Ruslo-of pöte ooif rogööen otee mu kio köl hasak?
When Russia had focused on creating prosperity in its current regions for its own citizens without a power policy towards its own citizens and the former Soviet republics.	Kun Venäjä olisi keskittynyt luomaan hyvinvointia nykyisille alueille omille kansalaisilleen ilman voimapolitiikkaa omia kansalaisiaan kohtaan ja entisiin neuvostotasavaltoihin.	Na Ruslo ooif autmiiden tu novtee halivoote le nenna leilosi tu öfva hyjjosi ejli popögöte obcu öfva hyjjosi a intu enva Lisasiovipölo talpöhylsi. 
